visa_record_id,employee_id,visa_status,effective_date,end_date,work_authorization_status,verification_status
VISA000089,DUD000087,Work Visa,2020-10-31,,Eligible,Verified
VISA000090,DUD000088,Work Visa,2021-10-19,,Eligible,Verified
VISA000091,DUD000089,Permanent Resident,2022-12-20,,Eligible,Verified
VISA000092,DUD000090,Long-Term Resident,2021-10-22,,Eligible,Verified
VISA000093,DUD000091,Spouse of Japanese National,2021-06-23,,Eligible,Verified
VISA000094,DUD000092,Work Visa,2022-10-14,,Eligible,Verified
VISA000095,DUD000093,Spouse of Japanese National,2023-02-20,,Eligible,Verified
VISA000096,DUD000094,Work Visa,2020-08-13,,Eligible,Verified
VISA000097,DUD000095,Work Visa,2020-01-19,,Eligible,Verified
VISA000098,DUD000096,Work Visa,2021-09-21,,Eligible,Verified
VISA000099,DUD000097,Work Visa,2020-07-29,2023-11-04,Eligible,Verified
VISA000100,DUD000097,Spouse of Japanese National,2023-11-05,,Eligible,Verified
VISA000101,DUD000098,Work Visa,2023-08-11,,Eligible,Verified
VISA000102,DUD000099,Long-Term Resident,2023-01-18,,Eligible,Verified
VISA000103,DUD000100,Long-Term Resident,2019-12-26,,Eligible,Verified
VISA000104,DUD100001,Permanent Resident,2023-02-11,,Eligible,Verified
VISA000105,DUD100002,Work Visa,2020-09-02,2025-02-11,Eligible,Verified
VISA000106,DUD100002,Spouse of Japanese National,2025-02-12,,Eligible,Verified
VISA000107,DUD100003,Permanent Resident,2021-10-13,,Eligible,Verified
VISA000108,DUD100004,Long-Term Resident,2021-12-15,,Eligible,Verified
VISA000109,DUD100005,Work Visa,2024-10-14,,Eligible,Verified
VISA000110,DUD100006,Work Visa,2023-05-31,,Eligible,Verified
VISA000111,DUD100007,Work Visa,2023-01-03,2026-02-11,Eligible,Verified
VISA000112,DUD100007,Spouse of Japanese National,2026-02-12,,Eligible,Verified
VISA000113,DUD100008,Work Visa,2020-10-01,,Eligible,Verified
VISA000114,DUD100009,Work Visa,2024-01-05,,Eligible,Verified
VISA000115,DUD100010,Permanent Resident,2025-02-12,,Eligible,Verified
VISA000116,DUD100011,Work Visa,2020-03-06,,Eligible,Verified
VISA000117,DUD100012,Other Work-Eligible Status,2020-08-08,,Eligible,Verified
VISA000118,DUD100013,Permanent Resident,2024-01-23,,Eligible,Verified
VISA000119,DUD100014,Work Visa,2025-11-27,,Eligible,Verified
VISA000120,DUD100015,Spouse of Japanese National,2024-12-14,,Eligible,Verified
VISA000121,DUD100016,Work Visa,2025-06-28,,Eligible,Verified
VISA000122,DUD100017,Long-Term Resident,2020-11-25,,Eligible,Verified
VISA000123,DUD100018,Work Visa,2022-12-13,,Eligible,Verified
VISA000124,DUD100019,Work Visa,2024-12-31,,Eligible,Verified
VISA000125,DUD100020,Permanent Resident,2021-07-25,,Eligible,Verified
VISA000126,DUD100021,Work Visa,2023-03-23,,Eligible,Verified
VISA000127,DUD100022,Long-Term Resident,2023-10-16,,Eligible,Verified
VISA000128,DUD100023,Permanent Resident,2022-10-15,,Eligible,Verified
VISA000129,DUD100024,Spouse of Japanese National,2021-11-26,,Eligible,Verified
VISA000130,DUD100025,Work Visa,2024-05-03,,Eligible,Verified
VISA000131,DUD100026,Work Visa,2020-02-07,,Eligible,Verified
VISA000132,DUD100027,Long-Term Resident,2019-09-30,,Eligible,Verified
VISA000133,DUD100028,Work Visa,2021-03-08,,Eligible,Verified
VISA000134,DUD100029,Permanent Resident,2019-11-26,,Eligible,Verified
VISA000135,DUD100030,Other Work-Eligible Status,2025-11-02,,Eligible,Verified
VISA000136,DUD100031,Work Visa,2023-01-01,,Eligible,Verified
VISA000137,DUD100032,Permanent Resident,2021-05-08,,Eligible,Verified
VISA000138,DUD100033,Work Visa,2025-02-25,,Eligible,Verified
VISA000139,DUD100034,Permanent Resident,2024-02-27,,Eligible,Verified
VISA000140,DUD100035,Other Work-Eligible Status,2021-06-14,,Eligible,Verified
VISA000141,DUD100036,Long-Term Resident,2024-09-16,,Eligible,Verified
VISA000142,DUD100037,Permanent Resident,2024-02-27,,Eligible,Verified
VISA000143,DUD100038,Work Visa,2020-06-05,,Eligible,Verified
VISA000144,DUD100039,Work Visa,2021-09-26,,Eligible,Verified
VISA000145,DUD100040,Work Visa,2024-11-26,,Eligible,Verified
VISA000146,DUD100041,Long-Term Resident,2021-05-28,,Eligible,Verified
VISA000147,DUD100042,Work Visa,2022-02-25,,Eligible,Verified
VISA000148,DUD100043,Work Visa,2021-04-13,2023-09-23,Eligible,Verified
VISA000149,DUD100043,Spouse of Japanese National,2023-09-24,,Eligible,Verified
VISA000150,DUD100044,Work Visa,2022-11-12,,Eligible,Verified
VISA000151,DUD100045,Work Visa,2020-09-16,2022-01-15,Eligible,Verified
VISA000152,DUD100045,Permanent Resident,2022-01-16,,Eligible,Verified
VISA000153,DUD100046,Spouse of Japanese National,2024-01-05,,Eligible,Verified
VISA000154,DUD100047,Work Visa,2024-04-03,,Eligible,Verified
VISA000155,DUD100048,Work Visa,2023-05-14,,Eligible,Verified
VISA000156,DUD100049,Long-Term Resident,2019-08-30,,Eligible,Verified
VISA000157,DUD100050,Permanent Resident,2020-07-08,,Eligible,Verified
VISA000158,DUD100051,Spouse of Japanese National,2024-10-08,,Eligible,Verified
VISA000159,DUD100052,Work Visa,2020-01-08,,Eligible,Verified
VISA000160,DUD100053,Long-Term Resident,2024-10-14,,Eligible,Verified
VISA000161,DUD100054,Work Visa,2024-08-28,,Pending,Verified
VISA000162,DUD100055,Work Visa,2025-06-26,,Eligible,Verified
VISA000163,DUD100056,Permanent Resident,2021-10-21,,Pending,Verified
VISA000164,DUD100057,Permanent Resident,2021-03-09,,Eligible,Verified
VISA000165,DUD100058,Work Visa,2025-09-12,,Eligible,Verified
VISA000166,DUD100059,Other Work-Eligible Status,2019-12-07,,Pending,Verified
VISA000167,DUD100060,Work Visa,2021-12-30,,Eligible,Verified
VISA000168,DUD100061,Work Visa,2022-10-08,,Eligible,Verified
VISA000169,DUD100062,Spouse of Japanese National,2019-11-03,,Eligible,Verified
VISA000170,DUD100063,Work Visa,2023-10-19,,Pending,Verified
VISA000171,DUD100064,Work Visa,2020-08-03,,Eligible,Verified
VISA000172,DUD100065,Spouse of Japanese National,2020-11-04,,Eligible,Verified
VISA000173,DUD100066,Work Visa,2022-08-26,,Eligible,Verified
VISA000174,DUD100067,Work Visa,2019-08-07,,Eligible,Verified
VISA000175,DUD100068,Other Work-Eligible Status,2019-08-26,,Eligible,Verified
VISA000176,DUD100069,Work Visa,2020-01-03,2024-05-11,Eligible,Verified
VISA000177,DUD100069,Spouse of Japanese National,2024-05-12,,Eligible,Verified
VISA000178,DUD100070,Permanent Resident,2022-04-06,,Pending,Verified
VISA000179,DUD100071,Work Visa,2025-08-11,,Eligible,Verified
VISA000180,DUD100072,Work Visa,2022-07-22,2024-02-08,Eligible,Verified
VISA000181,DUD100072,Permanent Resident,2024-02-09,,Eligible,Verified
VISA000182,DUD100073,Permanent Resident,2020-10-17,,Eligible,Verified
VISA000183,DUD100074,Permanent Resident,2020-10-15,,Eligible,Verified
VISA000184,DUD100075,Work Visa,2019-09-29,,Eligible,Verified
VISA000185,DUD100076,Work Visa,2025-09-01,,Eligible,Verified
VISA000186,DUD100077,Work Visa,2022-12-20,,Eligible,Verified
VISA000187,DUD100078,Spouse of Japanese National,2025-01-19,,Eligible,Verified
VISA000188,DUD100079,Work Visa,2022-04-28,,Eligible,Verified
VISA000189,DUD100080,Work Visa,2024-12-17,,Eligible,Verified
VISA000190,DUD100081,Permanent Resident,2026-01-26,,Eligible,Verified
VISA000191,DUD100082,Permanent Resident,2025-03-25,,Eligible,Verified
VISA000192,DUD100083,Long-Term Resident,2021-08-11,,Eligible,Verified
VISA000193,DUD100084,Permanent Resident,2019-07-11,,Eligible,Verified
VISA000194,DUD100085,Work Visa,2024-07-17,2025-08-05,Eligible,Verified
VISA000195,DUD100085,Spouse of Japanese National,2025-08-06,,Eligible,Verified
VISA000196,DUD100086,Work Visa,2025-04-21,,Eligible,Verified
VISA000197,DUD100087,Permanent Resident,2022-08-19,,Eligible,Verified
VISA000198,DUD100088,Long-Term Resident,2019-06-11,,Eligible,Verified
VISA000199,DUD100089,Work Visa,2019-11-22,,Eligible,Verified
VISA000200,DUD100090,Work Visa,2019-12-23,,Eligible,Verified
VISA000201,DUD100091,Long-Term Resident,2021-05-17,,Eligible,Verified
VISA000202,DUD100092,Dependent Visa with Work Permission,2022-02-14,,Eligible,Verified
VISA000203,DUD100093,Work Visa,2021-06-04,,Eligible,Verified
VISA000204,DUD100094,Spouse of Japanese National,2024-09-11,,Eligible,Verified
VISA000205,DUD100095,Work Visa,2023-04-29,,Pending,Verified
VISA000206,DUD100096,Permanent Resident,2019-06-14,,Eligible,Verified
VISA000207,DUD100097,Permanent Resident,2023-01-20,,Eligible,Verified
VISA000208,DUD100098,Work Visa,2025-05-19,,Eligible,Verified
VISA000209,DUD100099,Work Visa,2021-09-28,,Eligible,Verified
VISA000210,DUD100100,Spouse of Japanese National,2025-04-12,,Eligible,Verified
VISA000211,DUD100101,Permanent Resident,2023-09-14,,Eligible,Verified
VISA000212,DUD100102,Long-Term Resident,2023-07-14,,Eligible,Verified
VISA000213,DUD100103,Permanent Resident,2019-09-29,,Eligible,Verified
VISA000214,DUD100104,Work Visa,2021-05-03,,Eligible,Verified
VISA000215,DUD100105,Permanent Resident,2023-08-14,,Eligible,Verified
VISA000216,DUD100106,Work Visa,2025-12-16,,Eligible,Verified
VISA000217,DUD100107,Work Visa,2023-07-07,,Eligible,Verified
VISA000218,DUD100108,Work Visa,2020-06-12,,Eligible,Verified
VISA000219,DUD100109,Work Visa,2020-04-13,,Pending,Verified
VISA000220,DUD100110,Work Visa,2025-09-14,,Eligible,Verified
VISA000221,DUD100111,Long-Term Resident,2024-09-29,,Eligible,Verified
VISA000222,DUD100112,Work Visa,2023-09-17,,Eligible,Verified
VISA000223,DUD100113,Student Visa with Work Permission,2021-04-27,,Eligible,Verified
VISA000224,DUD100114,Work Visa,2021-07-15,,Eligible,Verified
VISA000225,DUD100115,Permanent Resident,2023-11-22,,Eligible,Verified
VISA000226,DUD100116,Spouse of Japanese National,2023-12-26,,Eligible,Verified
VISA000227,DUD100117,Spouse of Japanese National,2025-08-13,,Eligible,Verified
VISA000228,DUD100118,Spouse of Japanese National,2021-10-06,,Eligible,Verified
VISA000229,DUD100119,Permanent Resident,2020-11-12,,Eligible,Verified
VISA000230,DUD100120,Work Visa,2020-07-15,2023-05-06,Eligible,Verified
VISA000231,DUD100120,Permanent Resident,2023-05-07,,Eligible,Verified
VISA000232,DUD100121,Work Visa,2023-11-05,,Eligible,Verified
VISA000233,DUD100122,Work Visa,2019-12-31,2024-08-24,Eligible,Verified
VISA000234,DUD100122,Permanent Resident,2024-08-25,,Eligible,Verified
VISA000235,DUD100123,Student Visa with Work Permission,2023-09-12,,Eligible,Verified
VISA000236,DUD100124,Spouse of Japanese National,2022-09-05,,Eligible,Verified
VISA000237,DUD100125,Other Work-Eligible Status,2024-10-05,,Eligible,Verified
VISA000238,DUD100126,Permanent Resident,2024-12-20,,Eligible,Verified
VISA000239,DUD100127,Work Visa,2022-05-07,,Eligible,Verified
VISA000240,DUD100128,Work Visa,2024-03-29,,Eligible,Verified
VISA000241,DUD100129,Permanent Resident,2021-12-02,,Eligible,Verified
VISA000242,DUD100130,Work Visa,2025-03-28,,Eligible,Verified
VISA000243,DUD100131,Work Visa,2020-11-06,,Eligible,Verified
VISA000244,DUD100132,Work Visa,2024-09-29,,Eligible,Verified
VISA000245,DUD100133,Work Visa,2022-06-05,,Eligible,Verified
VISA000246,DUD100134,Spouse of Japanese National,2023-09-22,,Eligible,Verified
VISA000247,DUD100135,Dependent Visa with Work Permission,2019-10-09,,Eligible,Verified
VISA000248,DUD100136,Work Visa,2022-08-24,,Eligible,Verified
VISA000249,DUD100137,Work Visa,2020-04-30,2022-12-13,Eligible,Verified
VISA000250,DUD100137,Spouse of Japanese National,2022-12-14,,Eligible,Verified
VISA000251,DUD100138,Work Visa,2024-01-16,,Eligible,Verified
VISA000252,DUD100139,Work Visa,2020-10-17,,Eligible,Verified
VISA000253,DUD100140,Other Work-Eligible Status,2024-04-13,,Eligible,Verified
VISA000254,DUD100141,Permanent Resident,2020-03-18,,Eligible,Verified
VISA000255,DUD100142,Permanent Resident,2019-12-05,,Eligible,Verified
VISA000256,DUD100143,Work Visa,2020-10-04,,Eligible,Verified
VISA000257,DUD100144,Work Visa,2020-01-03,2021-02-07,Eligible,Verified
VISA000258,DUD100144,Long-Term Resident,2021-02-08,,Eligible,Verified
VISA000259,DUD100145,Long-Term Resident,2025-01-22,,Eligible,Verified
VISA000260,DUD100146,Work Visa,2020-04-17,,Eligible,Verified
VISA000261,DUD100147,Work Visa,2023-03-07,,Eligible,Verified
VISA000262,DUD100148,Other Work-Eligible Status,2019-12-26,,Eligible,Verified
VISA000263,DUD100149,Spouse of Japanese National,2020-06-23,,Eligible,Verified
VISA000264,DUD100150,Work Visa,2019-09-09,,Eligible,Verified
VISA000265,DUD100151,Spouse of Japanese National,2019-11-05,,Eligible,Verified
VISA000266,DUD100152,Work Visa,2022-01-02,,Eligible,Verified
VISA000267,DUD100153,Work Visa,2019-06-09,,Eligible,Verified
VISA000268,DUD100154,Work Visa,2020-11-26,,Eligible,Verified
VISA000269,DUD100155,Other Work-Eligible Status,2023-09-04,,Eligible,Verified
VISA000270,DUD100156,Work Visa,2022-04-25,,Eligible,Verified
VISA000271,DUD100157,Work Visa,2021-08-12,,Eligible,Verified
VISA000272,DUD100158,Work Visa,2022-02-10,,Eligible,Verified
VISA000273,DUD100159,Spouse of Japanese National,2020-06-16,,Eligible,Verified
VISA000274,DUD100160,Permanent Resident,2022-03-25,,Eligible,Verified
VISA000275,DUD100161,Work Visa,2023-09-19,,Eligible,Verified
VISA000276,DUD100162,Dependent Visa with Work Permission,2024-11-16,,Eligible,Verified
VISA000277,DUD100163,Work Visa,2025-05-30,,Eligible,Verified
VISA000278,DUD100164,Work Visa,2025-12-17,,Eligible,Verified
VISA000279,DUD100165,Work Visa,2021-12-21,,Eligible,Verified
VISA000280,DUD100166,Work Visa,2023-05-08,,Eligible,Verified
VISA000281,DUD100167,Work Visa,2021-11-27,,Eligible,Verified
VISA000282,DUD100168,Student Visa with Work Permission,2020-11-25,,Eligible,Verified
VISA000283,DUD100169,Spouse of Japanese National,2024-03-19,,Eligible,Verified
VISA000284,DUD100170,Work Visa,2020-09-08,,Eligible,Verified
VISA000285,DUD100171,Work Visa,2025-08-06,,Eligible,Verified
VISA000286,DUD100172,Work Visa,2023-01-19,,Eligible,Verified
VISA000287,DUD100173,Work Visa,2024-11-07,,Eligible,Verified
VISA000288,DUD100174,Spouse of Japanese National,2022-11-04,,Eligible,Verified
VISA000289,DUD100175,Work Visa,2024-03-01,,Eligible,Verified
VISA000290,DUD100176,Work Visa,2022-08-08,,Eligible,Verified
VISA000291,DUD100177,Work Visa,2019-07-21,,Eligible,Verified
VISA000292,DUD100178,Work Visa,2023-06-26,,Eligible,Verified
VISA000293,DUD100179,Spouse of Japanese National,2023-03-04,,Eligible,Verified
VISA000294,DUD100180,Student Visa with Work Permission,2024-08-11,,Eligible,Verified
VISA000295,DUD100181,Spouse of Japanese National,2020-08-30,,Eligible,Verified
VISA000296,DUD100182,Work Visa,2025-07-08,,Eligible,Verified
VISA000297,DUD100183,Student Visa with Work Permission,2025-08-15,,Eligible,Verified
VISA000298,DUD100184,Permanent Resident,2022-05-15,,Eligible,Verified
VISA000299,DUD100185,Permanent Resident,2022-09-02,,Eligible,Verified
VISA000300,DUD100186,Permanent Resident,2023-12-22,,Eligible,Verified
VISA000301,DUD100187,Other Work-Eligible Status,2024-12-17,,Eligible,Verified
VISA000302,DUD100188,Work Visa,2023-05-08,2024-07-15,Eligible,Verified
VISA000303,DUD100188,Long-Term Resident,2024-07-16,,Eligible,Verified
VISA000304,DUD100189,Work Visa,2024-08-13,,Eligible,Verified
VISA000305,DUD100190,Work Visa,2021-08-02,,Eligible,Verified
VISA000306,DUD100191,Work Visa,2026-02-19,,Eligible,Verified
VISA000307,DUD100192,Permanent Resident,2023-10-01,,Eligible,Verified
VISA000308,DUD100193,Dependent Visa with Work Permission,2022-05-17,,Eligible,Verified
VISA000309,DUD100194,Other Work-Eligible Status,2022-11-21,,Eligible,Verified
VISA000310,DUD100195,Other Work-Eligible Status,2021-10-18,,Eligible,Verified
VISA000311,DUD100196,Permanent Resident,2022-03-18,,Pending,Verified
VISA000312,DUD100197,Work Visa,2024-07-09,,Eligible,Verified
VISA000313,DUD100198,Long-Term Resident,2020-12-12,,Eligible,Verified
VISA000314,DUD100199,Work Visa,2021-04-04,,Eligible,Verified
VISA000315,DUD100200,Work Visa,2023-10-22,,Eligible,Verified
VISA000316,DUD100201,Work Visa,2022-10-04,,Eligible,Verified
VISA000317,DUD100202,Work Visa,2020-10-10,,Eligible,Verified
VISA000318,DUD100203,Work Visa,2025-11-26,,Eligible,Verified
VISA000319,DUD100204,Work Visa,2020-07-06,,Eligible,Verified
VISA000320,DUD100205,Work Visa,2020-06-08,,Eligible,Verified
VISA000321,DUD100206,Dependent Visa with Work Permission,2022-04-08,,Eligible,Verified
VISA000322,DUD100207,Work Visa,2020-04-28,2024-02-23,Eligible,Verified
VISA000323,DUD100207,Spouse of Japanese National,2024-02-24,,Eligible,Verified
VISA000324,DUD100208,Dependent Visa with Work Permission,2022-08-03,,Eligible,Verified
VISA000325,DUD100209,Work Visa,2019-10-05,,Eligible,Verified
VISA000326,DUD100210,Work Visa,2024-05-21,,Pending,Verified
VISA000327,DUD100211,Work Visa,2024-09-23,,Eligible,Verified
VISA000328,DUD100212,Permanent Resident,2023-11-24,,Eligible,Verified
VISA000329,DUD100213,Work Visa,2024-09-05,,Eligible,Verified
VISA000330,DUD100214,Spouse of Japanese National,2021-02-08,,Eligible,Verified
VISA000331,DUD100215,Spouse of Japanese National,2024-04-11,,Eligible,Verified
VISA000332,DUD100216,Permanent Resident,2020-05-02,,Eligible,Verified
VISA000333,DUD100217,Permanent Resident,2023-01-06,,Eligible,Verified
VISA000334,DUD100218,Spouse of Japanese National,2020-06-10,,Eligible,Verified
VISA000335,DUD100219,Work Visa,2021-06-11,,Eligible,Verified
VISA000336,DUD100220,Spouse of Japanese National,2019-11-02,,Eligible,Verified
VISA000337,DUD100221,Work Visa,2026-02-26,,Eligible,Verified
VISA000338,DUD100222,Long-Term Resident,2025-06-18,,Eligible,Verified
VISA000339,DUD100223,Permanent Resident,2020-10-17,,Eligible,Verified
VISA000340,DUD100224,Work Visa,2025-04-04,,Eligible,Verified
VISA000341,DUD100225,Student Visa with Work Permission,2021-01-28,,Eligible,Verified
VISA000342,DUD100226,Permanent Resident,2025-07-28,,Eligible,Verified
VISA000343,DUD100227,Long-Term Resident,2019-06-16,,Eligible,Verified
VISA000344,DUD100228,Spouse of Japanese National,2020-02-05,,Eligible,Verified
VISA000345,DUD100229,Other Work-Eligible Status,2020-12-26,,Eligible,Verified
VISA000346,DUD100230,Work Visa,2021-10-17,,Eligible,Verified
VISA000347,DUD100231,Spouse of Japanese National,2023-04-26,,Eligible,Verified
VISA000348,DUD100232,Work Visa,2022-11-17,,Eligible,Verified
VISA000349,DUD100233,Work Visa,2021-06-07,,Eligible,Verified
VISA000350,DUD100234,Long-Term Resident,2024-01-28,,Eligible,Verified
VISA000351,DUD100235,Work Visa,2020-01-27,2023-06-01,Eligible,Verified
VISA000352,DUD100235,Permanent Resident,2023-06-02,,Eligible,Verified
VISA000353,DUD100236,Work Visa,2025-03-30,,Eligible,Verified
VISA000354,DUD100237,Long-Term Resident,2022-09-05,,Eligible,Verified
VISA000355,DUD100238,Spouse of Japanese National,2025-05-23,,Eligible,Verified
VISA000356,DUD100239,Work Visa,2023-09-18,,Eligible,Verified
VISA000357,DUD100240,Permanent Resident,2022-02-05,,Eligible,Verified
VISA000358,DUD100241,Other Work-Eligible Status,2021-07-10,,Eligible,Verified
VISA000359,DUD100242,Work Visa,2022-09-26,,Eligible,Verified
VISA000360,DUD100243,Work Visa,2024-02-28,,Eligible,Verified
VISA000361,DUD100244,Work Visa,2020-11-22,,Eligible,Verified
VISA000362,DUD100245,Work Visa,2025-11-17,,Eligible,Verified
VISA000363,DUD100246,Permanent Resident,2025-12-03,,Eligible,Verified
VISA000364,DUD100247,Permanent Resident,2020-11-09,,Eligible,Verified
VISA000365,DUD100248,Work Visa,2019-10-14,,Eligible,Verified
VISA000366,DUD100249,Long-Term Resident,2022-05-21,,Eligible,Verified
VISA000367,DUD100250,Work Visa,2021-10-15,,Eligible,Verified
VISA000368,DUD100251,Spouse of Japanese National,2021-08-18,,Eligible,Verified
VISA000369,DUD100252,Long-Term Resident,2025-11-19,,Eligible,Verified
VISA000370,DUD100253,Work Visa,2022-03-22,,Pending,Verified
VISA000371,DUD100254,Dependent Visa with Work Permission,2021-03-06,,Eligible,Verified
VISA000372,DUD100255,Permanent Resident,2023-07-10,,Eligible,Verified
VISA000373,DUD100256,Work Visa,2020-07-27,,Eligible,Verified
