employment_history_id,employee_id,employment_start_date,employment_end_date,employment_status,employment_type,position,career_level,start_reason,end_reason,assignment_status
EMPLOY000033,DUD100033,2026-03-12,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000034,DUD100034,2025-04-28,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000035,DUD100035,2025-01-25,2026-02-21,Inactive,Full-time,Senior Teacher,3,Initial Hire,Voluntary Resignation,Assigned
EMPLOY000036,DUD100036,2025-05-12,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000037,DUD100037,2022-07-02,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Awaiting Assignment
EMPLOY000038,DUD100038,2022-02-12,2023-12-13,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Performance,Assigned
EMPLOY000039,DUD100039,2021-12-04,,Active,Full-time,Lead Trainer,6,Initial Hire,,Assigned
EMPLOY000040,DUD100040,2024-02-12,,Active,Full-time,Senior Teacher,3,Initial Hire,,Assigned
EMPLOY000041,DUD100041,2024-10-24,,Active,Full-time,Senior Teacher,3,Initial Hire,,Assigned
EMPLOY000042,DUD100042,2025-04-13,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000043,DUD100043,2021-07-09,2021-12-25,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Personal Reasons,Assigned
EMPLOY000044,DUD100044,2024-09-14,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Assigned
EMPLOY000045,DUD100045,2024-01-18,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Awaiting Assignment
EMPLOY000046,DUD100046,2025-01-19,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000047,DUD100047,2022-01-31,2022-11-19,Inactive,Full-time,Experienced Teacher,2,Initial Hire,Performance,Awaiting Assignment
EMPLOY000048,DUD100048,2022-03-17,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Awaiting Assignment
EMPLOY000049,DUD100049,2024-11-25,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000050,DUD100050,2025-08-16,,Active,Full-time,Lead Trainer,6,Initial Hire,,Awaiting Assignment
EMPLOY000051,DUD100051,2022-09-21,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Awaiting Assignment
EMPLOY000052,DUD100052,2022-12-28,2025-01-24,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Performance,Assigned
EMPLOY000053,DUD100053,2022-02-24,2024-02-21,Inactive,Full-time,Experienced Teacher,2,Initial Hire,Performance,Awaiting Assignment
EMPLOY000054,DUD100054,2024-11-22,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000055,DUD100055,2023-02-11,2024-12-20,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Relocation,Awaiting Assignment
EMPLOY000056,DUD100056,2022-12-12,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Awaiting Assignment
EMPLOY000057,DUD100057,2022-02-06,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000058,DUD100058,2025-05-30,,Active,Full-time,Lead Trainer,6,Initial Hire,,Assigned
EMPLOY000059,DUD100059,2024-03-11,2025-01-07,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Career Change,Assigned
EMPLOY000060,DUD100060,2026-01-03,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Awaiting Assignment
EMPLOY000061,DUD100061,2022-08-12,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000062,DUD100062,2022-01-07,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000063,DUD100063,2021-04-01,2022-02-01,Inactive,Full-time,Trainer,4,Initial Hire,Performance,Assigned
EMPLOY000064,DUD100064,2021-06-06,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Awaiting Assignment
EMPLOY000065,DUD100065,2023-09-05,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Assigned
EMPLOY000066,DUD100066,2024-02-12,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Assigned
EMPLOY000067,DUD100067,2024-05-20,,Active,Full-time,Senior Teacher,3,Initial Hire,,Awaiting Assignment
EMPLOY000068,DUD100068,2026-07-16,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000069,DUD100069,2026-03-22,2027-07-03,Inactive,Full-time,Experienced Teacher,2,Initial Hire,Relocation,Assigned
EMPLOY000070,DUD100070,2023-03-07,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Assigned
EMPLOY000071,DUD100071,2023-06-20,,Active,Full-time,Lead Trainer,6,Initial Hire,,Assigned
EMPLOY000072,DUD100072,2021-01-10,,Active,Full-time,Lead Trainer,6,Initial Hire,,Assigned
EMPLOY000073,DUD100073,2026-04-22,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Assigned
EMPLOY000074,DUD100074,2024-01-28,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Assigned
EMPLOY000075,DUD100075,2024-09-29,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000076,DUD100076,2023-02-07,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Awaiting Assignment
EMPLOY000077,DUD100077,2023-03-01,2025-07-22,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Relocation,Assigned
EMPLOY000078,DUD100078,2025-02-16,2026-11-07,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Performance,Assigned
EMPLOY000079,DUD100079,2022-12-09,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000080,DUD100080,2023-04-18,2025-09-24,Inactive,Full-time,Trainer,4,Initial Hire,Relocation,Assigned
EMPLOY000081,DUD100081,2022-01-02,2023-09-12,Inactive,Full-time,Experienced Teacher,2,Initial Hire,Contract End,Awaiting Assignment
EMPLOY000082,DUD100082,2023-07-19,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000083,DUD100083,2023-07-02,,Active,Full-time,Trainer,4,Initial Hire,,Assigned
EMPLOY000084,DUD100084,2022-11-09,,Active,Full-time,Trainer,4,Initial Hire,,Assigned
EMPLOY000085,DUD100085,2024-03-18,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Awaiting Assignment
EMPLOY000086,DUD100086,2025-03-27,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Awaiting Assignment
EMPLOY000087,DUD100087,2023-08-01,2024-12-23,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Relocation,Awaiting Assignment
EMPLOY000088,DUD100088,2026-05-05,,Active,Full-time,Trainer,4,Initial Hire,,Assigned
EMPLOY000089,DUD100089,2024-07-25,,Active,Full-time,Senior Teacher,3,Initial Hire,,Awaiting Assignment
EMPLOY000090,DUD100090,2025-09-15,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000091,DUD100091,2025-11-03,2027-02-11,Inactive,Full-time,Lead Trainer,6,Initial Hire,Contract End,Assigned
EMPLOY000092,DUD100092,2025-09-01,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000093,DUD100093,2023-02-17,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Assigned
EMPLOY000094,DUD100094,2025-12-17,,Active,Full-time,Senior Teacher,3,Initial Hire,,Assigned
EMPLOY000095,DUD100095,2026-08-12,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000096,DUD100096,2022-08-01,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Assigned
EMPLOY000097,DUD100097,2023-07-08,2024-07-25,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Relocation,Assigned
EMPLOY000098,DUD100098,2026-03-03,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Awaiting Assignment
EMPLOY000099,DUD100099,2026-07-01,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000100,DUD100100,2021-01-17,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000101,DUD100101,2021-10-03,,Active,Full-time,Lead Trainer,6,Initial Hire,,Assigned
EMPLOY000102,DUD100102,2022-07-04,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000103,DUD100103,2022-12-16,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Awaiting Assignment
EMPLOY000104,DUD100104,2021-12-16,2024-02-02,Inactive,Full-time,Trainer,4,Initial Hire,Career Change,Assigned
EMPLOY000105,DUD100105,2026-04-05,2028-03-18,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Contract End,Assigned
EMPLOY000106,DUD100106,2021-02-21,2023-01-16,Inactive,Full-time,Senior Teacher,3,Initial Hire,Personal Reasons,Assigned
EMPLOY000107,DUD100107,2026-08-01,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Assigned
EMPLOY000108,DUD100108,2024-05-23,,Active,Full-time,Trainer,4,Initial Hire,,Assigned
EMPLOY000109,DUD100109,2023-03-19,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Awaiting Assignment
EMPLOY000110,DUD100110,2021-07-14,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000111,DUD100111,2022-05-11,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000112,DUD100112,2024-01-03,2025-05-23,Inactive,Full-time,Lead Trainer,6,Initial Hire,Contract End,Awaiting Assignment
EMPLOY000113,DUD100113,2021-03-13,2022-02-15,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Relocation,Assigned
EMPLOY000114,DUD100114,2023-06-24,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000115,DUD100115,2022-09-08,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000116,DUD100116,2025-08-14,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000117,DUD100117,2023-10-03,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000118,DUD100118,2023-01-06,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Awaiting Assignment
EMPLOY000119,DUD100119,2023-03-12,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000120,DUD100120,2022-08-08,2024-06-23,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Voluntary Resignation,Awaiting Assignment
EMPLOY000121,DUD100121,2026-06-16,2027-03-28,Inactive,Full-time,Experienced Teacher,2,Initial Hire,Relocation,Assigned
EMPLOY000122,DUD100122,2026-04-08,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Awaiting Assignment
EMPLOY000123,DUD100123,2022-09-07,2024-06-25,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Career Change,Assigned
EMPLOY000124,DUD100124,2023-11-18,2024-06-30,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Performance,Awaiting Assignment
EMPLOY000125,DUD100125,2021-05-24,,Active,Full-time,Senior Teacher,3,Initial Hire,,Assigned
EMPLOY000126,DUD100126,2021-09-15,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000127,DUD100127,2021-04-01,,Active,Full-time,Senior Teacher,3,Initial Hire,,Assigned
EMPLOY000128,DUD100128,2023-03-21,,Active,Full-time,Senior Teacher,3,Initial Hire,,Assigned
EMPLOY000129,DUD100129,2021-04-13,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000130,DUD100130,2022-11-26,,Active,Full-time,Senior Teacher,3,Initial Hire,,Awaiting Assignment
EMPLOY000131,DUD100131,2025-03-26,,Active,Full-time,Senior Trainer,5,Initial Hire,,Assigned
EMPLOY000132,DUD100132,2023-08-03,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000133,DUD100133,2021-11-08,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000134,DUD100134,2022-09-11,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000135,DUD100135,2023-12-05,,Active,Full-time,Senior Teacher,3,Initial Hire,,Assigned
EMPLOY000136,DUD100136,2026-01-25,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Awaiting Assignment
EMPLOY000137,DUD100137,2024-09-15,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000138,DUD100138,2025-08-29,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Assigned
EMPLOY000139,DUD100139,2023-10-04,2024-04-26,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Voluntary Resignation,Assigned
EMPLOY000140,DUD100140,2024-12-10,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000141,DUD100141,2021-09-30,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000142,DUD100142,2024-12-16,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000143,DUD100143,2022-10-14,2023-02-25,Inactive,Full-time,Senior Teacher,3,Initial Hire,Personal Reasons,Assigned
EMPLOY000144,DUD100144,2023-06-23,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000145,DUD100145,2025-08-08,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Awaiting Assignment
EMPLOY000146,DUD100146,2022-05-10,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000147,DUD100147,2022-10-25,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000148,DUD100148,2025-08-15,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Assigned
EMPLOY000149,DUD100149,2022-05-19,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000150,DUD100150,2025-03-29,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Awaiting Assignment
EMPLOY000151,DUD100151,2023-06-04,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Awaiting Assignment
EMPLOY000152,DUD100152,2022-03-24,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Awaiting Assignment
EMPLOY000153,DUD100153,2021-03-08,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000154,DUD100154,2025-10-26,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000155,DUD100155,2021-02-04,2022-10-22,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Voluntary Resignation,Assigned
EMPLOY000156,DUD100156,2021-01-08,,Active,Full-time,Trainer,4,Initial Hire,,Awaiting Assignment
EMPLOY000157,DUD100157,2023-03-12,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000158,DUD100158,2021-10-02,2023-06-10,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Career Change,Assigned
EMPLOY000159,DUD100159,2024-03-22,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Awaiting Assignment
EMPLOY000160,DUD100160,2024-08-30,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000161,DUD100161,2023-06-07,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000162,DUD100162,2025-02-20,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000163,DUD100163,2023-10-27,2024-05-09,Inactive,Full-time,Experienced Teacher,2,Initial Hire,Performance,Awaiting Assignment
EMPLOY000164,DUD100164,2023-07-01,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000165,DUD100165,2025-07-06,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000166,DUD100166,2023-05-12,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000167,DUD100167,2025-01-05,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000168,DUD100168,2023-08-26,,Active,Full-time,Senior Trainer,5,Initial Hire,,Assigned
EMPLOY000169,DUD100169,2023-03-12,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000170,DUD100170,2025-08-04,2027-05-03,Inactive,Full-time,Experienced Teacher,2,Initial Hire,Career Change,Assigned
EMPLOY000171,DUD100171,2022-05-14,2023-04-14,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Voluntary Resignation,Assigned
EMPLOY000172,DUD100172,2024-12-10,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Assigned
EMPLOY000173,DUD100173,2021-11-05,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Awaiting Assignment
EMPLOY000174,DUD100174,2022-06-14,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000175,DUD100175,2024-08-24,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000176,DUD100176,2024-04-23,,Active,Full-time,Lead Trainer,6,Initial Hire,,Assigned
EMPLOY000177,DUD100177,2021-10-04,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Assigned
EMPLOY000178,DUD100178,2022-12-09,,Active,Full-time,Trainer,4,Initial Hire,,Assigned
EMPLOY000179,DUD100179,2021-05-28,,Active,Full-time,Senior Teacher,3,Initial Hire,,Assigned
EMPLOY000180,DUD100180,2021-08-13,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000181,DUD100181,2025-02-12,2026-11-30,Inactive,Full-time,Experienced Teacher,2,Initial Hire,Career Change,Assigned
EMPLOY000182,DUD100182,2022-12-20,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Awaiting Assignment
EMPLOY000183,DUD100183,2024-06-02,,Active,Full-time,Trainer,4,Initial Hire,,Awaiting Assignment
EMPLOY000184,DUD100184,2024-02-05,,Active,Full-time,Senior Teacher,3,Initial Hire,,Awaiting Assignment
EMPLOY000185,DUD100185,2026-06-11,2027-12-23,Inactive,Full-time,Experienced Teacher,2,Initial Hire,Voluntary Resignation,Awaiting Assignment
EMPLOY000186,DUD100186,2022-10-30,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Assigned
EMPLOY000187,DUD100187,2021-03-06,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000188,DUD100188,2022-09-16,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000189,DUD100189,2024-03-29,,Active,Full-time,Senior Teacher,3,Initial Hire,,Awaiting Assignment
EMPLOY000190,DUD100190,2022-03-08,,Active,Full-time,Trainer,4,Initial Hire,,Assigned
EMPLOY000191,DUD100191,2023-01-04,2023-10-30,Inactive,Full-time,Experienced Teacher,2,Initial Hire,Contract End,Awaiting Assignment
EMPLOY000192,DUD100192,2024-10-13,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000193,DUD100193,2025-08-18,,Active,Full-time,Senior Trainer,5,Initial Hire,,Assigned
EMPLOY000194,DUD100194,2021-09-20,2024-02-15,Inactive,Full-time,Trainer,4,Initial Hire,Voluntary Resignation,Assigned
EMPLOY000195,DUD100195,2026-04-24,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000196,DUD100196,2025-02-02,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000197,DUD100197,2021-10-04,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Awaiting Assignment
EMPLOY000198,DUD100198,2025-12-15,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Awaiting Assignment
EMPLOY000199,DUD100199,2024-02-12,2024-08-18,Inactive,Full-time,Senior Trainer,5,Initial Hire,Personal Reasons,Assigned
EMPLOY000200,DUD100200,2022-05-26,2024-09-16,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Contract End,Awaiting Assignment
EMPLOY000201,DUD100201,2026-05-23,,Active,Full-time,Senior Trainer,5,Initial Hire,,Awaiting Assignment
EMPLOY000202,DUD100202,2022-12-06,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000203,DUD100203,2023-12-18,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Assigned
EMPLOY000204,DUD100204,2021-08-26,,Active,Full-time,Lead Trainer,6,Initial Hire,,Assigned
EMPLOY000205,DUD100205,2024-04-02,2025-06-30,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Performance,Awaiting Assignment
EMPLOY000206,DUD100206,2023-03-30,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Awaiting Assignment
EMPLOY000207,DUD100207,2025-11-29,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Assigned
EMPLOY000208,DUD100208,2026-02-20,2028-04-23,Inactive,Full-time,Experienced Teacher,2,Initial Hire,Relocation,Assigned
EMPLOY000209,DUD100209,2025-10-03,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000210,DUD100210,2021-05-21,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000211,DUD100211,2023-04-26,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Assigned
EMPLOY000212,DUD100212,2024-08-14,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Awaiting Assignment
EMPLOY000213,DUD100213,2026-06-27,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Assigned
EMPLOY000214,DUD100214,2021-07-25,,Active,Full-time,Senior Teacher,3,Initial Hire,,Assigned
EMPLOY000215,DUD100215,2021-04-11,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Awaiting Assignment
EMPLOY000216,DUD100216,2022-09-29,2023-10-30,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Relocation,Assigned
EMPLOY000217,DUD100217,2022-12-09,,Active,Full-time,Lead Trainer,6,Initial Hire,,Awaiting Assignment
EMPLOY000218,DUD100218,2025-03-30,2027-06-03,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Career Change,Awaiting Assignment
EMPLOY000219,DUD100219,2025-08-31,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000220,DUD100220,2024-05-27,,Active,Full-time,Trainer,4,Initial Hire,,Assigned
EMPLOY000221,DUD100221,2023-01-11,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000222,DUD100222,2021-11-29,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Assigned
EMPLOY000223,DUD100223,2025-10-18,,Active,Full-time,Senior Teacher,3,Initial Hire,,Assigned
EMPLOY000224,DUD100224,2023-08-22,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000225,DUD100225,2023-06-07,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Assigned
EMPLOY000226,DUD100226,2024-03-22,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000227,DUD100227,2024-09-12,,Active,Full-time,Lead Trainer,6,Initial Hire,,Assigned
EMPLOY000228,DUD100228,2022-05-21,2024-05-27,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Performance,Assigned
EMPLOY000229,DUD100229,2021-05-18,,Active,Full-time,Lead Trainer,6,Initial Hire,,Awaiting Assignment
EMPLOY000230,DUD100230,2022-11-08,,Active,Full-time,Senior Teacher,3,Initial Hire,,Awaiting Assignment
EMPLOY000231,DUD100231,2021-09-05,2022-07-17,Inactive,Full-time,Experienced Teacher,2,Initial Hire,Relocation,Assigned
EMPLOY000232,DUD100232,2021-05-11,2022-09-05,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Career Change,Assigned
EMPLOY000233,DUD100233,2023-08-27,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000234,DUD100234,2022-02-18,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
