offboarding_id,employee_id,employment_history_id,offboarding_date,departure_type,leaving_reason,exit_interview_completed,exit_satisfaction,would_recommend,would_return,rehire_eligible,comments
OFF000107,DUD100506,EMPLOY000506,2025-08-11,Voluntary,Assignment Issues,True,1,True,False,True,
OFF000108,DUD100516,EMPLOY000516,2027-03-07,Voluntary,Career Development,True,2,True,True,True,
OFF000109,DUD100528,EMPLOY000528,2024-07-03,Involuntary,Client Request,True,2,True,False,False,
OFF000110,DUD100535,EMPLOY000535,2026-03-19,Voluntary,Work-Life Balance,True,1,True,False,True,
OFF000111,DUD100542,EMPLOY000542,2023-10-21,Voluntary,Personal Reasons,True,2,True,False,True,
OFF000112,DUD100546,EMPLOY000546,2027-08-25,Voluntary,Returning Home,False,,,,True,
OFF000113,DUD100557,EMPLOY000557,2025-05-10,Voluntary,Personal Reasons,True,3,True,False,True,
OFF000114,DUD100567,EMPLOY000567,2028-02-19,Voluntary,Personal Reasons,True,4,False,True,True,
OFF000115,DUD100575,EMPLOY000575,2024-05-05,Voluntary,Returning Home,True,2,True,False,True,
OFF000116,DUD100576,EMPLOY000576,2027-01-30,Voluntary,Work-Life Balance,True,1,True,True,True,
OFF000117,DUD100580,EMPLOY000580,2025-08-02,Voluntary,Work-Life Balance,False,,,,True,
OFF000118,DUD100592,EMPLOY000592,2026-01-06,Voluntary,Commute,True,1,True,False,True,
OFF000119,DUD100593,EMPLOY000593,2025-01-26,Voluntary,Career Change,True,1,True,True,True,
OFF000120,DUD100595,EMPLOY000595,2025-10-18,Voluntary,Commute,False,,,,True,
OFF000121,DUD100598,EMPLOY000598,2026-08-27,Voluntary,Assignment Issues,True,5,True,True,True,
OFF000122,DUD100599,EMPLOY000599,2025-04-21,Involuntary,Attendance,False,,,,False,
OFF000123,DUD100609,EMPLOY000609,2023-09-07,Voluntary,Work-Life Balance,True,2,True,True,True,
OFF000124,DUD100611,EMPLOY000611,2021-12-09,Voluntary,Work-Life Balance,True,4,True,True,True,
OFF000125,DUD100612,EMPLOY000612,2025-11-13,Voluntary,Commute,True,4,True,False,True,
OFF000126,DUD100613,EMPLOY000613,2024-09-05,Voluntary,Career Change,True,3,True,False,True,
OFF000127,DUD100622,EMPLOY000622,2024-11-30,Voluntary,Compensation,True,1,False,False,True,
OFF000128,DUD100625,EMPLOY000625,2024-03-14,Voluntary,Relocation,False,,,,True,
OFF000129,DUD100629,EMPLOY000629,2027-05-14,Voluntary,Assignment Issues,False,,,,True,
OFF000130,DUD100630,EMPLOY000630,2024-07-15,Voluntary,Compensation,True,1,True,False,True,
OFF000131,DUD100631,EMPLOY000631,2027-05-10,Voluntary,Compensation,True,3,True,True,True,
OFF000132,DUD100642,EMPLOY000642,2024-11-24,Voluntary,Personal Reasons,True,5,True,True,True,
OFF000133,DUD100643,EMPLOY000643,2022-10-20,Voluntary,Relocation,True,2,True,False,True,
OFF000134,DUD100644,EMPLOY000644,2024-12-03,Voluntary,Work-Life Balance,True,4,False,True,True,
OFF000135,DUD100647,EMPLOY000647,2023-05-12,Voluntary,Personal Reasons,True,1,False,True,True,
OFF000136,DUD100651,EMPLOY000651,2024-12-25,Voluntary,Relocation,True,4,True,False,True,
OFF000137,DUD100652,EMPLOY000652,2025-09-27,Voluntary,Career Change,False,,,,True,
OFF000138,DUD100654,EMPLOY000654,2023-05-16,Voluntary,Personal Reasons,True,3,True,True,True,
OFF000139,DUD100655,EMPLOY000655,2025-05-02,Voluntary,Commute,False,,,,True,
OFF000140,DUD100657,EMPLOY000657,2024-08-04,Voluntary,Career Development,True,5,True,True,True,
OFF000141,DUD100658,EMPLOY000658,2023-10-09,Voluntary,Returning Home,True,1,False,False,True,
OFF000142,DUD100662,EMPLOY000662,2022-03-14,Voluntary,Personal Reasons,True,5,False,True,True,
OFF000143,DUD100667,EMPLOY000667,2024-11-26,Voluntary,Personal Reasons,True,1,True,False,True,
OFF000144,DUD100685,EMPLOY000685,2022-09-06,Involuntary,Client Request,True,1,False,False,False,
OFF000145,DUD100686,EMPLOY000686,2027-08-27,Voluntary,Work-Life Balance,False,,,,True,
OFF000146,DUD100687,EMPLOY000687,2024-09-01,Voluntary,Returning Home,False,,,,True,
OFF000147,DUD100689,EMPLOY000689,2023-05-28,Involuntary,Attendance,True,5,True,True,False,
OFF000148,DUD100690,EMPLOY000690,2024-03-10,Voluntary,Relocation,True,5,False,True,True,
OFF000149,DUD100695,EMPLOY000695,2026-04-13,Voluntary,Commute,True,4,True,False,True,
OFF000150,DUD100703,EMPLOY000703,2023-03-10,Involuntary,Client Request,True,3,True,True,False,
OFF000151,DUD100705,EMPLOY000705,2023-11-24,Voluntary,Assignment Issues,True,1,True,True,True,
OFF000152,DUD100708,EMPLOY000708,2025-12-31,Voluntary,Personal Reasons,True,5,False,True,True,
OFF000153,DUD100714,EMPLOY000714,2022-04-21,Voluntary,Returning Home,True,5,True,True,True,
OFF000154,DUD100716,EMPLOY000716,2025-04-21,Involuntary,Attendance,True,4,True,False,False,
OFF000155,DUD100724,EMPLOY000724,2023-10-26,Involuntary,Contract End,True,3,False,True,False,
OFF000156,DUD100734,EMPLOY000734,2024-12-09,Voluntary,Personal Reasons,False,,,,True,
OFF000157,DUD100749,EMPLOY000749,2025-06-03,Voluntary,Career Change,True,1,True,True,True,
OFF000158,DUD100752,EMPLOY000752,2021-10-16,Voluntary,Work-Life Balance,True,5,False,False,True,
OFF000159,DUD100760,EMPLOY000760,2025-03-01,Involuntary,Contract End,True,2,True,False,False,
OFF000160,DUD100764,EMPLOY000764,2024-06-24,Voluntary,Relocation,True,5,True,True,True,
OFF000161,DUD100773,EMPLOY000773,2025-12-14,Voluntary,Assignment Issues,True,1,True,True,True,
OFF000162,DUD100778,EMPLOY000778,2025-01-15,Voluntary,Compensation,True,5,True,True,True,
OFF000163,DUD100786,EMPLOY000786,2023-05-18,Involuntary,Policy Violation,True,3,True,True,False,
OFF000164,DUD100791,EMPLOY000791,2026-03-04,Voluntary,Relocation,True,2,True,True,True,
OFF000165,DUD100798,EMPLOY000798,2025-02-16,Voluntary,Work-Life Balance,True,4,True,True,True,
OFF000166,DUD100807,EMPLOY000807,2023-06-02,Voluntary,Compensation,True,5,True,True,True,
OFF000167,DUD100812,EMPLOY000812,2023-09-08,Voluntary,Relocation,True,3,True,True,True,
OFF000168,DUD100813,EMPLOY000813,2026-06-23,Voluntary,Career Change,True,5,True,False,True,
OFF000169,DUD100815,EMPLOY000815,2026-02-09,Involuntary,Attendance,True,4,True,False,False,
OFF000170,DUD100816,EMPLOY000816,2024-04-03,Voluntary,Assignment Issues,True,3,False,True,True,
OFF000171,DUD100818,EMPLOY000818,2023-10-23,Voluntary,Compensation,True,3,True,False,True,
OFF000172,DUD100819,EMPLOY000819,2023-02-01,Voluntary,Relocation,True,3,False,True,True,
OFF000173,DUD100822,EMPLOY000822,2023-09-17,Voluntary,Relocation,True,1,True,False,True,
OFF000174,DUD100824,EMPLOY000824,2024-09-19,Voluntary,Relocation,False,,,,True,
OFF000175,DUD100829,EMPLOY000829,2026-01-15,Involuntary,Client Request,False,,,,False,
OFF000176,DUD100832,EMPLOY000832,2023-12-11,Voluntary,Assignment Issues,True,1,True,True,True,
OFF000177,DUD100833,EMPLOY000833,2022-08-21,Voluntary,Commute,True,3,True,True,True,
OFF000178,DUD100835,EMPLOY000835,2024-05-01,Voluntary,Career Change,False,,,,True,
OFF000179,DUD100836,EMPLOY000836,2025-07-13,Voluntary,Career Development,True,4,True,False,True,
OFF000180,DUD100851,EMPLOY000851,2027-02-26,Voluntary,Returning Home,True,2,False,True,True,
OFF000181,DUD100857,EMPLOY000857,2025-03-10,Voluntary,Returning Home,True,2,True,False,True,
OFF000182,DUD100858,EMPLOY000858,2023-11-03,Voluntary,Personal Reasons,True,1,True,False,True,
OFF000183,DUD100861,EMPLOY000861,2027-10-28,Involuntary,Contract End,True,2,True,True,False,
OFF000184,DUD100862,EMPLOY000862,2028-07-21,Involuntary,Performance,True,2,True,True,False,
OFF000185,DUD100863,EMPLOY000863,2026-03-13,Involuntary,Contract End,True,4,True,False,False,
OFF000186,DUD100865,EMPLOY000865,2024-09-03,Voluntary,Assignment Issues,True,1,True,True,True,
OFF000187,DUD100866,EMPLOY000866,2024-03-15,Involuntary,Performance,True,3,True,True,False,
OFF000188,DUD100867,EMPLOY000867,2023-07-19,Voluntary,Commute,True,4,True,True,True,
OFF000189,DUD100868,EMPLOY000868,2028-02-23,Voluntary,Returning Home,False,,,,True,
OFF000190,DUD100873,EMPLOY000873,2024-01-03,Involuntary,Client Request,False,,,,False,
OFF000191,DUD100883,EMPLOY000883,2023-05-04,Voluntary,Career Change,True,2,True,True,True,
OFF000192,DUD100887,EMPLOY000887,2027-09-15,Voluntary,Commute,True,1,True,True,True,
OFF000193,DUD100891,EMPLOY000891,2022-12-01,Voluntary,Relocation,True,1,True,False,True,
OFF000194,DUD100893,EMPLOY000893,2027-04-20,Voluntary,Career Development,True,3,True,False,True,
OFF000195,DUD100895,EMPLOY000895,2026-11-14,Involuntary,Contract End,False,,,,False,
OFF000196,DUD100901,EMPLOY000901,2026-03-09,Voluntary,Career Change,True,2,False,True,True,
OFF000197,DUD100922,EMPLOY000922,2025-09-10,Voluntary,Work-Life Balance,True,2,True,True,True,
OFF000198,DUD100925,EMPLOY000925,2028-08-26,Involuntary,Client Request,True,1,True,False,False,
OFF000199,DUD100938,EMPLOY000938,2024-06-22,Voluntary,Personal Reasons,True,2,True,True,True,
OFF000200,DUD100946,EMPLOY000946,2026-07-05,Voluntary,Compensation,True,2,False,True,True,
OFF000201,DUD100949,EMPLOY000949,2025-05-03,Voluntary,Compensation,True,5,True,True,True,
OFF000202,DUD100956,EMPLOY000956,2024-09-18,Voluntary,Career Change,True,4,True,False,True,
OFF000203,DUD100962,EMPLOY000962,2025-04-16,Involuntary,Contract End,False,,,,False,
OFF000204,DUD100963,EMPLOY000963,2023-01-05,Involuntary,Policy Violation,True,5,True,False,False,
OFF000205,DUD100969,EMPLOY000969,2026-05-16,Voluntary,Work-Life Balance,True,5,False,True,True,
OFF000206,DUD100970,EMPLOY000970,2025-09-07,Involuntary,Contract End,True,2,True,True,False,
OFF000207,DUD100972,EMPLOY000972,2024-04-23,Voluntary,Compensation,False,,,,True,
OFF000208,DUD100978,EMPLOY000978,2024-07-26,Voluntary,Career Development,True,3,False,True,True,
OFF000209,DUD100989,EMPLOY000989,2027-06-30,Voluntary,Personal Reasons,True,1,False,True,True,
OFF000210,DUD101001,EMPLOY001001,2027-01-06,Voluntary,Work-Life Balance,True,1,True,True,True,
OFF000211,DUD101005,EMPLOY001005,2023-11-08,Involuntary,Contract End,True,2,True,True,False,
OFF000212,DUD101011,EMPLOY001011,2028-02-28,Voluntary,Compensation,False,,,,True,
OFF000213,DUD101014,EMPLOY001014,2022-09-13,Voluntary,Career Change,True,2,True,False,True,
OFF000214,DUD101015,EMPLOY001015,2026-10-24,Voluntary,Work-Life Balance,True,2,True,True,True,
OFF000215,DUD101017,EMPLOY001017,2023-07-10,Voluntary,Career Development,False,,,,True,
OFF000216,DUD101020,EMPLOY001020,2025-01-19,Voluntary,Personal Reasons,True,2,True,False,True,
OFF000217,DUD101030,EMPLOY001030,2028-04-24,Involuntary,Policy Violation,True,4,True,True,False,
OFF000218,DUD101031,EMPLOY001031,2024-09-22,Voluntary,Compensation,True,1,False,True,True,
OFF000219,DUD101033,EMPLOY001033,2021-08-04,Voluntary,Compensation,False,,,,True,
OFF000220,DUD101037,EMPLOY001037,2025-07-08,Voluntary,Work-Life Balance,True,5,True,False,True,
OFF000221,DUD101042,EMPLOY001042,2023-02-17,Voluntary,Personal Reasons,False,,,,True,
OFF000222,DUD101049,EMPLOY001049,2025-05-12,Voluntary,Career Change,True,2,False,True,True,
OFF000223,DUD101053,EMPLOY001053,2023-03-16,Voluntary,Work-Life Balance,True,5,True,True,True,
OFF000224,DUD101056,EMPLOY001056,2022-01-14,Voluntary,Work-Life Balance,True,1,True,True,True,
OFF000225,DUD101057,EMPLOY001057,2022-06-29,Voluntary,Work-Life Balance,False,,,,True,
OFF000226,DUD101058,EMPLOY001058,2022-10-05,Involuntary,Attendance,True,3,True,False,False,
OFF000227,DUD101059,EMPLOY001059,2025-03-29,Voluntary,Commute,True,5,False,True,True,
OFF000228,DUD101064,EMPLOY001064,2026-08-11,Voluntary,Returning Home,True,5,True,False,True,
OFF000229,DUD101065,EMPLOY001065,2028-07-27,Voluntary,Returning Home,True,4,False,False,True,
OFF000230,DUD101070,EMPLOY001070,2027-10-14,Involuntary,Performance,True,4,False,True,False,
OFF000231,DUD101078,EMPLOY001078,2027-02-14,Voluntary,Career Change,True,5,True,False,True,
OFF000232,DUD101083,EMPLOY001083,2024-04-25,Involuntary,Policy Violation,True,3,False,True,False,
OFF000233,DUD101084,EMPLOY001084,2027-01-27,Voluntary,Relocation,True,5,True,True,True,
OFF000234,DUD101089,EMPLOY001089,2027-09-15,Voluntary,Assignment Issues,False,,,,True,
OFF000235,DUD101117,EMPLOY001117,2025-11-07,Voluntary,Career Change,False,,,,True,
OFF000236,DUD101118,EMPLOY001118,2025-11-05,Voluntary,Commute,True,4,True,True,True,
OFF000237,DUD101119,EMPLOY001119,2026-01-13,Involuntary,Client Request,True,1,True,True,False,
OFF000238,DUD101120,EMPLOY001120,2026-11-11,Voluntary,Relocation,True,1,True,True,True,
OFF000239,DUD101134,EMPLOY001134,2026-04-16,Voluntary,Relocation,True,5,True,True,True,
OFF000240,DUD101139,EMPLOY001139,2027-09-02,Voluntary,Personal Reasons,True,3,False,True,True,
OFF000241,DUD101146,EMPLOY001146,2026-02-22,Voluntary,Compensation,True,3,True,False,True,
OFF000242,DUD101148,EMPLOY001148,2023-04-09,Voluntary,Commute,True,5,True,True,True,
OFF000243,DUD101149,EMPLOY001149,2022-09-29,Voluntary,Work-Life Balance,True,5,False,True,True,
OFF000244,DUD101159,EMPLOY001159,2024-03-07,Involuntary,Contract End,True,4,True,True,False,
OFF000245,DUD101160,EMPLOY001160,2024-02-04,Involuntary,Policy Violation,True,3,True,True,False,
OFF000246,DUD101163,EMPLOY001163,2025-02-19,Voluntary,Commute,True,1,True,False,True,
OFF000247,DUD101164,EMPLOY001164,2023-04-25,Voluntary,Relocation,True,4,True,True,True,
OFF000248,DUD101177,EMPLOY001177,2026-11-15,Voluntary,Compensation,True,5,False,True,True,
OFF000249,DUD101182,EMPLOY001182,2026-07-20,Voluntary,Career Change,False,,,,True,
OFF000250,DUD101183,EMPLOY001183,2023-03-08,Voluntary,Commute,True,2,True,False,True,
OFF000251,DUD101197,EMPLOY001197,2026-09-16,Voluntary,Compensation,False,,,,True,
OFF000252,DUD101198,EMPLOY001198,2025-10-30,Involuntary,Client Request,True,1,True,True,False,
OFF000253,DUD101201,EMPLOY001201,2025-08-23,Voluntary,Compensation,True,3,True,True,True,
OFF000254,DUD101203,EMPLOY001203,2026-04-24,Voluntary,Career Development,False,,,,True,
OFF000255,DUD101205,EMPLOY001205,2026-11-09,Involuntary,Performance,True,5,False,False,False,
OFF000256,DUD101207,EMPLOY001207,2026-10-14,Voluntary,Career Change,True,2,True,False,True,
OFF000257,DUD101208,EMPLOY001208,2026-08-28,Voluntary,Assignment Issues,True,4,True,True,True,
OFF000258,DUD101213,EMPLOY001213,2023-06-15,Voluntary,Compensation,True,5,False,False,True,
OFF000259,DUD101218,EMPLOY001218,2027-01-11,Voluntary,Relocation,True,2,True,True,True,
OFF000260,DUD101219,EMPLOY001219,2023-02-23,Voluntary,Commute,True,1,False,False,True,
OFF000261,DUD101220,EMPLOY001220,2026-07-15,Voluntary,Career Development,False,,,,True,
OFF000262,DUD101224,EMPLOY001224,2023-10-01,Voluntary,Personal Reasons,True,1,False,True,True,
OFF000263,DUD101230,EMPLOY001230,2024-04-23,Voluntary,Career Change,True,3,True,False,True,
OFF000264,DUD101232,EMPLOY001232,2025-07-18,Voluntary,Relocation,True,4,True,False,True,
OFF000265,DUD101238,EMPLOY001238,2028-07-16,Voluntary,Work-Life Balance,True,4,False,True,True,
OFF000266,DUD101240,EMPLOY001240,2028-03-19,Involuntary,Policy Violation,True,4,True,True,False,
OFF000267,DUD101241,EMPLOY001241,2027-03-13,Voluntary,Commute,True,4,False,True,True,
OFF000268,DUD101242,EMPLOY001242,2025-05-22,Voluntary,Assignment Issues,True,2,True,False,True,
OFF000269,DUD101248,EMPLOY001248,2027-03-08,Voluntary,Relocation,False,,,,True,
OFF000270,DUD101250,EMPLOY001250,2024-08-01,Voluntary,Personal Reasons,True,4,True,False,True,
OFF000271,DUD101255,EMPLOY001255,2027-08-07,Voluntary,Work-Life Balance,True,3,True,True,True,
OFF000272,DUD101259,EMPLOY001259,2025-12-18,Voluntary,Returning Home,True,2,False,False,True,
OFF000273,DUD101263,EMPLOY001263,2024-09-10,Voluntary,Assignment Issues,True,3,False,False,True,
OFF000274,DUD101267,EMPLOY001267,2024-01-23,Voluntary,Compensation,False,,,,True,
