client_feedback_id,client_id,assignment_id,employee_id,feedback_date,overall_satisfaction,teacher_performance,reliability,communication,lesson_quality,professionalism,assignment_satisfaction,renewal_intention,complaint_flag,complaint_category,comments
CFB0000057,CLI0226,ASG000022,DUD100016,2022-05-31,3,4,3,2,3,3,2,Maybe,False,,
CFB0000058,CLI0226,ASG000022,DUD100016,2022-05-09,5,5,5,5,5,5,5,Yes,False,,
CFB0000059,CLI0279,ASG000023,DUD100016,2023-07-02,5,5,5,5,5,5,4,Yes,False,,
CFB0000060,CLI0279,ASG000023,DUD100016,2024-09-04,4,3,5,4,3,4,4,Yes,False,,
CFB0000061,CLI0279,ASG000023,DUD100016,2023-07-30,4,4,4,5,4,5,3,No,False,,
CFB0000062,CLI0279,ASG000023,DUD100016,2023-11-15,5,5,5,5,5,4,5,Yes,False,,
CFB0000063,CLI0242,ASG000024,DUD100017,2023-10-05,5,5,4,5,4,5,5,No,False,,
CFB0000064,CLI0242,ASG000024,DUD100017,2025-04-16,2,1,2,3,1,3,2,No,False,,
CFB0000065,CLI0156,ASG000025,DUD100018,2025-11-24,3,2,3,4,3,2,4,No,False,,
CFB0000066,CLI0156,ASG000025,DUD100018,2026-01-20,5,5,4,4,4,5,5,Yes,False,,
CFB0000067,CLI0156,ASG000025,DUD100018,2026-03-30,1,2,2,1,2,2,1,Maybe,False,,
CFB0000068,CLI0156,ASG000025,DUD100018,2026-06-14,1,1,1,1,1,2,1,No,False,,
CFB0000069,CLI0017,ASG000026,DUD100019,2023-01-15,4,4,5,5,5,4,5,Yes,True,Attendance,
CFB0000070,CLI0156,ASG000027,DUD100019,2026-07-02,5,5,5,5,5,5,5,Yes,False,,
CFB0000071,CLI0247,ASG000028,DUD100020,2022-11-29,4,4,4,4,4,4,5,No,False,,
CFB0000072,CLI0247,ASG000028,DUD100020,2023-11-01,5,4,5,5,5,4,5,Maybe,False,,
CFB0000073,CLI0027,ASG000029,DUD100020,2024-09-01,5,4,4,5,5,4,4,Yes,False,,
CFB0000074,CLI0045,ASG000030,DUD100021,2025-11-11,1,2,1,1,2,1,1,No,False,,
CFB0000075,CLI0158,ASG000031,DUD100021,2026-08-16,4,4,3,5,4,3,4,Yes,False,,
CFB0000076,CLI0158,ASG000031,DUD100021,2026-08-17,2,3,2,1,1,2,3,No,False,,
CFB0000077,CLI0158,ASG000031,DUD100021,2026-08-11,5,5,5,5,4,4,5,Yes,False,,
CFB0000078,CLI0218,ASG000032,DUD100022,2025-09-08,4,4,4,3,3,3,4,Yes,False,,
CFB0000079,CLI0102,ASG000033,DUD100023,2026-03-12,3,3,3,4,2,3,4,Maybe,False,,
CFB0000080,CLI0102,ASG000033,DUD100023,2025-08-19,5,5,4,4,5,5,5,Yes,False,,
CFB0000081,CLI0027,ASG000034,DUD100024,2024-06-22,4,3,4,4,4,4,4,Yes,False,,
CFB0000082,CLI0027,ASG000034,DUD100024,2024-08-14,3,3,3,2,2,3,3,Maybe,False,,
CFB0000083,CLI0075,ASG000035,DUD100025,2024-04-22,4,5,5,5,3,3,3,Yes,False,,
CFB0000084,CLI0118,ASG000036,DUD100026,2022-11-06,2,2,2,3,2,2,3,Maybe,False,,
CFB0000085,CLI0118,ASG000036,DUD100026,2023-01-25,4,5,3,3,4,4,4,Maybe,False,,
CFB0000086,CLI0118,ASG000036,DUD100026,2023-01-02,5,5,5,5,5,5,5,Yes,False,,
CFB0000087,CLI0118,ASG000036,DUD100026,2022-11-10,4,3,5,5,3,3,3,Yes,False,,
CFB0000088,CLI0006,ASG000037,DUD100026,2024-01-10,5,5,5,5,5,5,5,Maybe,False,,
CFB0000089,CLI0243,ASG000038,DUD100027,2024-05-30,4,4,5,5,3,4,3,Maybe,False,,
CFB0000090,CLI0243,ASG000038,DUD100027,2024-07-07,3,3,2,4,3,3,2,Maybe,True,Attendance,
CFB0000091,CLI0243,ASG000038,DUD100027,2024-04-08,4,4,3,3,3,3,4,Yes,False,,
CFB0000092,CLI0288,ASG000039,DUD100028,2026-01-14,4,5,5,3,4,5,3,Yes,False,,
CFB0000093,CLI0288,ASG000039,DUD100028,2025-10-26,4,5,4,5,3,4,3,Yes,False,,
CFB0000094,CLI0288,ASG000039,DUD100028,2025-12-11,3,3,3,3,4,3,2,Yes,False,,
CFB0000095,CLI0288,ASG000039,DUD100028,2026-02-27,4,4,4,5,3,3,4,Maybe,False,,
CFB0000096,CLI0056,ASG000040,DUD100028,2026-06-10,4,4,5,5,4,3,4,Yes,False,,
CFB0000097,CLI0056,ASG000040,DUD100028,2026-09-22,2,2,2,3,3,3,2,Yes,False,,
CFB0000098,CLI0056,ASG000040,DUD100028,2027-02-14,2,1,2,2,3,3,2,Yes,False,,
CFB0000099,CLI0056,ASG000040,DUD100028,2026-05-13,4,5,4,3,4,5,4,Yes,False,,
CFB0000100,CLI0141,ASG000041,DUD100028,2027-06-14,4,3,3,4,4,3,3,Yes,False,,
CFB0000101,CLI0141,ASG000041,DUD100028,2027-06-14,5,5,5,5,5,4,5,Yes,False,,
CFB0000102,CLI0141,ASG000041,DUD100028,2027-06-14,5,5,5,5,5,5,5,Yes,False,,
CFB0000103,CLI0118,ASG000042,DUD100029,2026-03-01,4,4,5,5,4,3,5,Yes,False,,
CFB0000104,CLI0118,ASG000042,DUD100029,2026-03-23,5,5,5,4,4,4,4,Yes,False,,
CFB0000105,CLI0159,ASG000043,DUD100030,2023-03-11,5,5,5,5,5,5,5,No,False,,
CFB0000106,CLI0159,ASG000043,DUD100030,2022-12-22,4,3,3,5,4,5,4,Yes,False,,
CFB0000107,CLI0159,ASG000043,DUD100030,2023-05-27,2,3,2,1,2,2,2,Maybe,False,,
CFB0000108,CLI0159,ASG000043,DUD100030,2023-06-09,3,3,3,3,3,2,4,No,False,,
CFB0000109,CLI0271,ASG000044,DUD100030,2024-02-11,5,5,5,4,5,4,5,Yes,False,,
CFB0000110,CLI0127,ASG000045,DUD100031,2024-11-18,4,4,5,3,4,3,4,Maybe,False,,
CFB0000111,CLI0127,ASG000045,DUD100031,2025-05-01,5,4,4,5,5,5,5,Yes,False,,
CFB0000112,CLI0127,ASG000045,DUD100031,2023-11-13,3,4,3,4,2,3,3,No,False,,
CFB0000113,CLI0127,ASG000045,DUD100031,2025-01-07,4,4,4,5,5,5,3,Yes,False,,
CFB0000114,CLI0036,ASG000046,DUD100032,2025-11-23,5,4,5,5,5,5,5,Maybe,False,,
CFB0000115,CLI0036,ASG000046,DUD100032,2026-01-21,4,5,4,3,4,4,4,Yes,False,,
CFB0000116,CLI0168,ASG000047,DUD100033,2026-08-23,5,5,5,5,5,5,5,Yes,False,,
CFB0000117,CLI0168,ASG000047,DUD100033,2026-10-05,5,4,5,4,4,4,5,Yes,False,,
CFB0000118,CLI0098,ASG000048,DUD100033,2027-07-11,5,4,5,4,5,5,4,Yes,False,,
CFB0000119,CLI0098,ASG000048,DUD100033,2027-07-11,3,4,3,2,4,3,3,Maybe,False,,
CFB0000120,CLI0098,ASG000048,DUD100033,2027-07-11,3,3,4,3,4,3,2,Maybe,False,,
CFB0000121,CLI0172,ASG000049,DUD100034,2021-10-13,3,3,2,3,3,2,4,Maybe,True,Professionalism,
CFB0000122,CLI0029,ASG000050,DUD100034,2022-06-13,2,2,1,2,2,1,2,Maybe,True,Punctuality,
CFB0000123,CLI0130,ASG000051,DUD100034,2023-01-14,1,1,1,2,1,2,1,No,True,Punctuality,
CFB0000124,CLI0130,ASG000051,DUD100034,2023-02-27,4,4,4,5,5,4,4,Yes,False,,
CFB0000125,CLI0130,ASG000051,DUD100034,2023-04-09,3,3,3,4,4,3,3,No,False,,
CFB0000126,CLI0252,ASG000052,DUD100035,2024-06-04,4,4,4,5,4,4,4,Yes,False,,
CFB0000127,CLI0252,ASG000052,DUD100035,2026-02-15,5,5,4,5,5,4,4,Yes,False,,
CFB0000128,CLI0277,ASG000053,DUD100036,2024-04-11,4,4,4,5,5,3,5,Yes,False,,
CFB0000129,CLI0277,ASG000053,DUD100036,2024-01-28,4,4,4,3,4,4,4,Yes,False,,
CFB0000130,CLI0277,ASG000053,DUD100036,2026-01-08,5,5,5,5,4,5,4,Yes,True,Lesson Quality,
CFB0000131,CLI0289,ASG000054,DUD100037,2023-11-15,5,5,5,5,5,4,5,Yes,False,,
CFB0000132,CLI0289,ASG000054,DUD100037,2023-11-14,4,3,4,4,4,5,3,Yes,False,,
CFB0000133,CLI0289,ASG000054,DUD100037,2023-10-29,4,4,3,4,3,5,3,Yes,False,,
CFB0000134,CLI0139,ASG000055,DUD100037,2024-02-08,4,4,4,5,5,4,3,Yes,False,,
CFB0000135,CLI0139,ASG000055,DUD100037,2024-05-06,3,3,2,4,4,3,3,No,False,,
CFB0000136,CLI0139,ASG000055,DUD100037,2024-02-21,5,5,5,5,5,5,5,Yes,False,,
CFB0000137,CLI0035,ASG000056,DUD100038,2024-03-09,4,3,4,4,4,4,4,Yes,False,,
CFB0000138,CLI0035,ASG000056,DUD100038,2026-07-25,2,2,2,2,3,2,2,No,False,,
CFB0000139,CLI0035,ASG000056,DUD100038,2026-03-14,3,3,3,3,3,4,2,No,False,,
CFB0000140,CLI0297,ASG000057,DUD100039,2025-01-17,1,1,2,1,2,2,1,Maybe,False,,
CFB0000141,CLI0297,ASG000057,DUD100039,2026-06-06,4,4,3,4,3,5,3,Maybe,False,,
CFB0000142,CLI0174,ASG000058,DUD100040,2024-04-29,5,5,5,5,4,5,5,Maybe,False,,
CFB0000143,CLI0174,ASG000058,DUD100040,2023-11-20,4,3,5,3,5,4,3,Yes,False,,
CFB0000144,CLI0214,ASG000059,DUD100041,2023-06-18,5,5,5,5,4,5,5,Maybe,False,,
CFB0000145,CLI0205,ASG000060,DUD100041,2024-03-06,4,3,4,4,4,5,4,Yes,False,,
CFB0000146,CLI0205,ASG000060,DUD100041,2026-08-10,4,5,4,5,3,3,5,Yes,False,,
CFB0000147,CLI0205,ASG000060,DUD100041,2025-02-15,5,5,5,5,5,5,5,Yes,False,,
CFB0000148,CLI0205,ASG000060,DUD100041,2026-01-24,4,4,4,4,3,4,4,Yes,False,,
CFB0000149,CLI0099,ASG000061,DUD100042,2023-11-10,3,3,3,3,3,4,3,Maybe,False,,
CFB0000150,CLI0099,ASG000061,DUD100042,2023-11-25,4,4,3,4,5,4,4,Yes,False,,
CFB0000151,CLI0029,ASG000062,DUD100042,2024-07-05,2,3,2,3,3,1,1,Maybe,True,Professionalism,
CFB0000152,CLI0029,ASG000062,DUD100042,2025-01-12,5,5,5,5,5,5,5,No,False,,
CFB0000153,CLI0117,ASG000063,DUD100043,2025-12-03,2,2,3,2,2,2,1,Yes,False,,
CFB0000154,CLI0008,ASG000064,DUD100044,2024-01-22,4,4,3,5,4,4,4,Yes,False,,
CFB0000155,CLI0008,ASG000064,DUD100044,2024-01-03,5,5,5,4,5,5,5,Yes,False,,
CFB0000156,CLI0008,ASG000064,DUD100044,2023-07-13,2,2,2,2,3,2,3,Maybe,False,,
CFB0000157,CLI0008,ASG000064,DUD100044,2022-01-11,4,4,4,4,4,4,4,Yes,False,,
CFB0000158,CLI0106,ASG000065,DUD100045,2025-11-11,4,5,3,5,4,4,5,Yes,False,,
CFB0000159,CLI0106,ASG000065,DUD100045,2026-03-19,4,4,4,4,4,3,3,Yes,False,,
CFB0000160,CLI0106,ASG000065,DUD100045,2026-12-14,4,5,5,3,4,4,3,Maybe,False,,
CFB0000161,CLI0106,ASG000065,DUD100045,2026-12-19,4,5,3,3,4,4,3,Yes,False,,
CFB0000162,CLI0280,ASG000066,DUD100045,2027-01-27,4,4,4,3,5,4,4,Maybe,False,,
CFB0000163,CLI0280,ASG000066,DUD100045,2027-01-27,4,4,3,5,4,5,4,Yes,False,,
CFB0000164,CLI0280,ASG000066,DUD100045,2027-01-27,4,4,5,5,3,5,5,Yes,False,,
CFB0000165,CLI0280,ASG000067,DUD100046,2026-03-29,5,4,5,4,5,4,5,No,False,,
CFB0000166,CLI0254,ASG000068,DUD100047,2025-09-09,4,3,4,4,4,4,4,Yes,False,,
CFB0000167,CLI0027,ASG000069,DUD100048,2026-04-17,4,4,4,5,3,3,5,Yes,False,,
CFB0000168,CLI0027,ASG000069,DUD100048,2023-01-08,5,5,5,5,5,5,5,Yes,False,,
CFB0000169,CLI0027,ASG000069,DUD100048,2026-01-24,2,2,2,2,2,2,1,Yes,False,,
CFB0000170,CLI0027,ASG000069,DUD100048,2024-01-29,4,4,4,4,3,4,3,Maybe,False,,
CFB0000171,CLI0290,ASG000070,DUD100049,2026-05-14,3,3,3,2,3,4,2,Maybe,False,,
CFB0000172,CLI0290,ASG000070,DUD100049,2026-06-27,4,3,5,4,4,5,3,Yes,False,,
CFB0000173,CLI0119,ASG000071,DUD100050,2024-10-06,3,2,4,2,2,4,3,Maybe,False,,
CFB0000174,CLI0131,ASG000072,DUD100051,2022-04-13,3,3,4,3,3,2,3,Yes,False,,
CFB0000175,CLI0007,ASG000073,DUD100052,2025-04-15,4,4,4,4,3,5,4,Yes,False,,
CFB0000176,CLI0007,ASG000073,DUD100052,2026-04-08,5,5,4,5,5,5,5,Yes,False,,
CFB0000177,CLI0007,ASG000073,DUD100052,2024-06-05,3,4,3,2,4,2,3,No,False,,
CFB0000178,CLI0142,ASG000074,DUD100053,2025-02-02,5,5,5,5,5,5,5,Yes,False,,
CFB0000179,CLI0142,ASG000074,DUD100053,2023-11-23,4,5,3,4,4,4,5,Yes,False,,
CFB0000180,CLI0142,ASG000074,DUD100053,2025-05-06,2,2,3,2,3,2,2,Yes,False,,
CFB0000181,CLI0122,ASG000075,DUD100054,2024-01-31,2,3,2,3,3,1,2,Maybe,False,,
CFB0000182,CLI0122,ASG000075,DUD100054,2024-06-29,4,4,5,4,3,4,5,Yes,False,,
CFB0000183,CLI0122,ASG000075,DUD100054,2025-03-19,3,3,2,3,4,3,3,Yes,False,,
CFB0000184,CLI0142,ASG000076,DUD100055,2022-08-10,3,4,3,3,2,2,3,Maybe,True,Attendance,
CFB0000185,CLI0142,ASG000076,DUD100055,2022-10-04,5,5,4,5,4,4,4,Yes,False,,
CFB0000186,CLI0095,ASG000077,DUD100055,2024-04-24,3,3,3,3,4,2,3,Maybe,False,,
CFB0000187,CLI0172,ASG000078,DUD100055,2025-01-25,5,5,5,5,5,5,4,No,False,,
CFB0000188,CLI0172,ASG000078,DUD100055,2025-05-28,2,2,2,2,3,2,1,Yes,True,Punctuality,
CFB0000189,CLI0172,ASG000078,DUD100055,2025-08-10,4,4,3,4,4,5,4,Maybe,False,,
CFB0000190,CLI0172,ASG000078,DUD100055,2024-11-28,3,4,3,3,4,3,3,Maybe,False,,
CFB0000191,CLI0228,ASG000079,DUD100056,2021-06-06,4,4,4,4,4,3,5,Maybe,True,Professionalism,
CFB0000192,CLI0228,ASG000079,DUD100056,2021-05-02,4,4,4,4,5,4,3,Yes,False,,
CFB0000193,CLI0228,ASG000079,DUD100056,2021-01-25,4,3,4,4,4,3,4,Yes,False,,
CFB0000194,CLI0228,ASG000079,DUD100056,2021-02-16,4,3,4,4,3,4,4,Yes,False,,
CFB0000195,CLI0097,ASG000080,DUD100056,2022-01-11,3,3,4,3,4,3,2,Maybe,False,,
CFB0000196,CLI0165,ASG000081,DUD100057,2021-06-15,4,4,4,5,4,4,4,Yes,False,,
CFB0000197,CLI0075,ASG000082,DUD100058,2025-12-28,4,5,4,4,4,4,5,Yes,False,,
CFB0000198,CLI0075,ASG000082,DUD100058,2025-11-04,4,3,3,5,5,4,4,No,False,,
CFB0000199,CLI0075,ASG000082,DUD100058,2024-09-09,3,3,3,3,3,3,4,Maybe,False,,
CFB0000200,CLI0075,ASG000082,DUD100058,2026-01-30,5,4,5,5,5,5,5,Yes,False,,
CFB0000201,CLI0089,ASG000083,DUD100059,2025-11-06,4,4,3,4,4,4,5,Yes,False,,
CFB0000202,CLI0089,ASG000083,DUD100059,2025-10-03,4,3,4,3,3,3,5,Yes,True,Lesson Quality,
CFB0000203,CLI0089,ASG000083,DUD100059,2025-02-20,3,2,3,4,4,4,4,Yes,False,,
CFB0000204,CLI0089,ASG000083,DUD100059,2025-04-11,5,5,5,5,5,5,4,Yes,False,,
CFB0000205,CLI0221,ASG000084,DUD100060,2025-09-21,3,3,3,4,3,3,4,No,False,,
CFB0000206,CLI0221,ASG000084,DUD100060,2025-07-26,4,3,4,4,4,4,4,Yes,False,,
CFB0000207,CLI0221,ASG000084,DUD100060,2025-08-26,5,5,5,4,5,5,5,Yes,False,,
CFB0000208,CLI0119,ASG000085,DUD100061,2023-07-16,4,4,5,3,4,4,3,Yes,False,,
CFB0000209,CLI0119,ASG000085,DUD100061,2023-04-16,4,3,3,4,4,5,4,Yes,False,,
CFB0000210,CLI0168,ASG000086,DUD100061,2024-05-09,4,4,3,4,3,5,4,Yes,False,,
CFB0000211,CLI0232,ASG000087,DUD100062,2022-04-09,4,4,4,4,3,5,5,Yes,False,,
CFB0000212,CLI0232,ASG000087,DUD100062,2022-08-22,3,4,3,3,4,3,3,Yes,False,,
CFB0000213,CLI0232,ASG000087,DUD100062,2026-03-10,4,4,5,5,4,4,4,Maybe,False,,
CFB0000214,CLI0286,ASG000088,DUD100063,2025-02-14,3,3,4,2,3,3,4,Maybe,False,,
CFB0000215,CLI0033,ASG000089,DUD100064,2025-01-02,2,2,1,2,3,1,2,Yes,True,Lesson Quality,
CFB0000216,CLI0055,ASG000090,DUD100065,2024-07-12,4,4,4,5,5,5,4,Maybe,False,,
CFB0000217,CLI0055,ASG000090,DUD100065,2024-06-24,5,4,5,5,4,4,5,Maybe,False,,
CFB0000218,CLI0055,ASG000090,DUD100065,2024-11-07,5,5,4,5,4,5,5,Yes,False,,
CFB0000219,CLI0272,ASG000091,DUD100066,2025-12-15,2,2,2,2,1,2,2,No,False,,
CFB0000220,CLI0272,ASG000091,DUD100066,2025-07-26,4,4,4,3,3,5,5,Yes,False,,
CFB0000221,CLI0272,ASG000091,DUD100066,2025-09-08,4,4,5,3,5,5,5,Yes,False,,
CFB0000222,CLI0272,ASG000091,DUD100066,2025-12-01,2,3,1,3,3,2,3,Maybe,False,,
CFB0000223,CLI0151,ASG000092,DUD100066,2026-06-28,4,4,5,4,4,3,5,Yes,False,,
CFB0000224,CLI0166,ASG000093,DUD100066,2026-09-07,5,4,5,5,5,5,5,Maybe,False,,
CFB0000225,CLI0166,ASG000093,DUD100066,2026-09-07,4,4,5,4,5,4,3,Maybe,False,,
CFB0000226,CLI0282,ASG000094,DUD100067,2024-07-11,4,4,4,4,5,4,4,Maybe,False,,
CFB0000227,CLI0282,ASG000094,DUD100067,2024-01-28,5,5,5,4,4,5,4,No,False,,
CFB0000228,CLI0129,ASG000095,DUD100068,2022-06-16,5,5,5,5,4,4,4,Yes,False,,
CFB0000229,CLI0129,ASG000095,DUD100068,2022-02-11,3,4,3,4,2,2,3,Yes,False,,
CFB0000230,CLI0225,ASG000096,DUD100068,2025-05-06,4,4,4,4,3,4,4,Yes,False,,
CFB0000231,CLI0225,ASG000096,DUD100068,2024-10-17,2,2,1,3,3,1,2,Maybe,False,,
CFB0000232,CLI0225,ASG000096,DUD100068,2024-04-11,4,3,5,4,4,3,5,Yes,False,,
CFB0000233,CLI0225,ASG000096,DUD100068,2023-12-18,3,4,4,3,2,2,3,Yes,False,,
CFB0000234,CLI0135,ASG000097,DUD100069,2023-11-14,4,3,4,5,5,4,3,Yes,False,,
CFB0000235,CLI0135,ASG000097,DUD100069,2024-03-28,4,5,4,4,4,4,4,Maybe,False,,
CFB0000236,CLI0135,ASG000097,DUD100069,2023-12-10,4,3,4,4,4,5,4,No,False,,
CFB0000237,CLI0135,ASG000097,DUD100069,2024-07-20,5,5,5,5,5,5,5,Yes,False,,
CFB0000238,CLI0297,ASG000098,DUD100069,2025-07-08,4,4,5,5,4,5,5,Yes,False,,
CFB0000239,CLI0210,ASG000099,DUD100070,2026-07-20,4,4,4,4,3,3,5,Maybe,False,,
CFB0000240,CLI0210,ASG000099,DUD100070,2026-05-20,1,1,1,1,1,2,2,Maybe,False,,
CFB0000241,CLI0062,ASG000100,DUD100070,2027-01-08,4,3,3,5,3,5,3,Yes,False,,
CFB0000242,CLI0062,ASG000100,DUD100070,2027-03-29,4,4,3,3,3,4,5,Yes,False,,
CFB0000243,CLI0091,ASG000101,DUD100071,2024-05-31,4,4,3,5,4,3,3,Maybe,False,,
CFB0000244,CLI0091,ASG000101,DUD100071,2025-08-07,3,2,4,4,3,3,4,Maybe,False,,
CFB0000245,CLI0091,ASG000101,DUD100071,2024-08-13,4,5,5,3,4,4,4,Yes,True,Classroom Management,
CFB0000246,CLI0091,ASG000101,DUD100071,2024-09-13,4,4,4,5,3,3,3,Yes,False,,
CFB0000247,CLI0203,ASG000102,DUD100072,2021-09-22,4,4,4,4,4,4,5,Maybe,False,,
CFB0000248,CLI0203,ASG000102,DUD100072,2022-03-28,2,3,2,2,2,2,1,Maybe,True,Punctuality,
CFB0000249,CLI0203,ASG000102,DUD100072,2022-01-22,1,1,2,1,1,1,1,Maybe,False,,
CFB0000250,CLI0203,ASG000102,DUD100072,2021-12-16,3,3,3,2,2,3,3,Yes,False,,
CFB0000251,CLI0260,ASG000103,DUD100072,2022-07-23,5,5,5,4,5,5,5,Maybe,False,,
CFB0000252,CLI0270,ASG000104,DUD100073,2026-07-30,3,3,4,2,4,4,3,Maybe,True,Classroom Management,
CFB0000253,CLI0270,ASG000104,DUD100073,2026-06-30,5,5,5,5,5,5,5,Yes,False,,
