training_record_id,employee_id,training_date,training_type,delivery_mode,trainer_employee_id,completion_status,result,training_notes
TRN000022,DUD100002,2022-08-13,General Zoom Training,Zoom,DUD100835,Completed,Passed,Reinforced communication and professionalism
TRN000023,DUD100002,2022-11-11,General Zoom Training,Zoom,DUD100795,Completed,Passed,Reinforced classroom management
TRN000024,DUD100002,2023-01-13,General Zoom Training,Zoom,DUD100181,Completed,Passed,Reinforced classroom management
TRN000025,DUD100002,2023-04-11,General Zoom Training,Zoom,DUD100045,Completed,Passed,General teaching skills refresher
TRN000026,DUD100002,2023-06-29,General Zoom Training,Zoom,DUD101247,Completed,Passed,Teaching ideas and classroom techniques
TRN000027,DUD100002,2023-12-04,General Zoom Training,Zoom,DUD100466,Completed,Passed,Reinforced communication and professionalism
TRN000028,DUD100002,2024-02-09,General Zoom Training,Zoom,DUD100350,Completed,Passed,Reinforced classroom management
TRN000029,DUD100002,2024-04-17,General Zoom Training,Zoom,DUD100090,Completed,Passed,Reinforced lesson preparation
TRN000030,DUD100002,2024-07-05,General Zoom Training,Zoom,DUD100062,Completed,Passed,Teaching ideas and classroom techniques
TRN000031,DUD100002,2024-09-14,General Zoom Training,Zoom,DUD101314,Completed,Passed,Reinforced lesson preparation
TRN000032,DUD100002,2024-12-02,General Zoom Training,Zoom,DUD100346,Completed,Passed,Reinforced classroom management
TRN000033,DUD100002,2025-03-03,General Zoom Training,Zoom,DUD101247,Completed,Passed,Teaching ideas and classroom techniques
TRN000034,DUD100002,2025-05-11,General Zoom Training,Zoom,DUD101190,Completed,Passed,Reinforced classroom management
TRN000035,DUD100002,2026-01-05,General Zoom Training,Zoom,DUD101090,Completed,Passed,General teaching skills refresher
TRN000036,DUD100002,2026-03-24,General Zoom Training,Zoom,DUD100697,Completed,Passed,Reinforced classroom management
TRN000038,DUD100003,2021-10-13,Orientation,In Person,DUD100278,Completed,Passed,Initial training completed
TRN000039,DUD100003,2021-10-20,On-the-Job Training,In Person,DUD101267,Completed,Passed,Two-week initial training
TRN000040,DUD100003,2021-12-21,General Zoom Training,Zoom,DUD101425,Completed,Passed,Teaching ideas and classroom techniques
TRN000041,DUD100003,2022-06-06,General Zoom Training,Zoom,DUD100597,Completed,Passed,General teaching skills refresher
TRN000042,DUD100003,2022-11-01,General Zoom Training,Zoom,DUD100141,Completed,Passed,Reinforced lesson preparation
TRN000043,DUD100003,2023-02-04,General Zoom Training,Zoom,DUD100295,Completed,Passed,Reinforced lesson preparation
TRN000044,DUD100003,2023-04-22,General Zoom Training,Zoom,DUD100650,Completed,Passed,Reinforced classroom management
TRN000045,DUD100003,2023-10-04,General Zoom Training,Zoom,DUD101113,Completed,Passed,Reinforced lesson preparation
TRN000046,DUD100003,2023-12-28,General Zoom Training,Zoom,DUD101193,Completed,Passed,Reinforced classroom management
TRN000047,DUD100003,2024-03-16,General Zoom Training,Zoom,DUD100378,Completed,Passed,Reinforced lesson preparation
TRN000048,DUD100003,2024-06-05,General Zoom Training,Zoom,DUD100534,Completed,Passed,Reinforced classroom management
TRN000049,DUD100003,2024-08-16,General Zoom Training,Zoom,DUD101059,Completed,Passed,Teaching ideas and classroom techniques
TRN000050,DUD100003,2024-11-18,General Zoom Training,Zoom,DUD100499,Completed,Passed,Reinforced classroom management
TRN000051,DUD100003,2025-01-19,General Zoom Training,Zoom,DUD100223,Completed,Passed,Reinforced lesson preparation
TRN000052,DUD100003,2025-04-03,General Zoom Training,Zoom,DUD100297,Completed,Passed,Reinforced communication and professionalism
TRN000053,DUD100003,2025-06-18,General Zoom Training,Zoom,DUD100382,Completed,Passed,Reinforced lesson preparation
TRN000054,DUD100003,2025-11-11,General Zoom Training,Zoom,DUD100795,Completed,Passed,Reinforced classroom management
TRN000055,DUD100003,2026-02-04,General Zoom Training,Zoom,DUD100135,Completed,Passed,Reinforced classroom management
TRN000056,DUD100004,2021-12-15,Orientation,In Person,DUD100697,Completed,Passed,Initial training completed
TRN000057,DUD100004,2021-12-22,On-the-Job Training,In Person,DUD100934,Completed,Passed,Two-week initial training
TRN000058,DUD100004,2022-03-16,General Zoom Training,Zoom,DUD101057,Completed,Passed,Reinforced communication and professionalism
TRN000059,DUD100004,2022-05-30,General Zoom Training,Zoom,DUD101208,Completed,Passed,General teaching skills refresher
TRN000060,DUD100004,2022-08-05,General Zoom Training,Zoom,DUD100589,Completed,Passed,Reinforced classroom management
TRN000061,DUD100004,2022-10-13,General Zoom Training,Zoom,DUD100665,Completed,Passed,Reinforced communication and professionalism
TRN000062,DUD100004,2022-12-31,General Zoom Training,Zoom,DUD100829,Completed,Passed,General teaching skills refresher
TRN000063,DUD100004,2023-06-28,General Zoom Training,Zoom,DUD100335,Completed,Passed,General teaching skills refresher
TRN000064,DUD100004,2023-08-29,General Zoom Training,Zoom,DUD100823,Completed,Passed,Reinforced communication and professionalism
TRN000065,DUD100004,2023-11-14,General Zoom Training,Zoom,DUD100750,Completed,Passed,Teaching ideas and classroom techniques
TRN000066,DUD100004,2024-02-01,General Zoom Training,Zoom,DUD100348,Completed,Passed,Reinforced communication and professionalism
TRN000067,DUD100004,2024-04-07,General Zoom Training,Zoom,DUD101215,Completed,Passed,General teaching skills refresher
TRN000068,DUD100004,2024-06-27,General Zoom Training,Zoom,DUD100869,Completed,Passed,Reinforced communication and professionalism
TRN000069,DUD100004,2024-09-25,General Zoom Training,Zoom,DUD100487,Completed,Passed,Reinforced communication and professionalism
TRN000070,DUD100004,2024-12-03,General Zoom Training,Zoom,DUD101054,Completed,Passed,Teaching ideas and classroom techniques
TRN000071,DUD100004,2025-02-22,General Zoom Training,Zoom,DUD100350,Completed,Passed,Reinforced lesson preparation
TRN000072,DUD100004,2025-05-08,General Zoom Training,Zoom,DUD100808,Completed,Passed,Reinforced classroom management
TRN000073,DUD100004,2025-07-22,General Zoom Training,Zoom,DUD100845,Completed,Passed,General teaching skills refresher
TRN000074,DUD100004,2025-10-17,General Zoom Training,Zoom,DUD100758,Completed,Passed,General teaching skills refresher
TRN000075,DUD100004,2026-01-13,General Zoom Training,Zoom,DUD100414,Completed,Passed,Reinforced lesson preparation
TRN000076,DUD100005,2024-10-14,Orientation,In Person,DUD100835,Completed,Passed,Initial training completed
TRN000077,DUD100005,2024-10-21,On-the-Job Training,In Person,DUD101056,Completed,Passed,Two-week initial training
TRN000078,DUD100005,2025-04-09,General Zoom Training,Zoom,DUD100939,Completed,Passed,General teaching skills refresher
TRN000079,DUD100005,2025-06-11,General Zoom Training,Zoom,DUD100278,Completed,Passed,Reinforced lesson preparation
TRN000080,DUD100005,2025-08-12,General Zoom Training,Zoom,DUD101449,Completed,Passed,General teaching skills refresher
TRN000081,DUD100005,2025-11-09,General Zoom Training,Zoom,DUD101090,Completed,Passed,General teaching skills refresher
TRN000083,DUD100005,2025-11-24,Performance Improvement Training,In Person,DUD100758,Completed,Passed,Additional support following performance review
TRN000082,DUD100005,2026-01-19,General Zoom Training,Zoom,DUD100625,Completed,Passed,Reinforced communication and professionalism
TRN000084,DUD100006,2023-05-31,Orientation,In Person,DUD100204,Completed,Passed,Initial training completed
TRN000085,DUD100006,2023-06-07,On-the-Job Training,In Person,DUD100808,Completed,Passed,Two-week initial training
TRN000086,DUD100006,2023-08-30,General Zoom Training,Zoom,DUD100805,Completed,Passed,Reinforced classroom management
TRN000087,DUD100006,2023-11-02,General Zoom Training,Zoom,DUD101316,Completed,Passed,Reinforced classroom management
TRN000088,DUD100006,2024-01-19,General Zoom Training,Zoom,DUD100318,Completed,Passed,Reinforced classroom management
TRN000089,DUD100006,2024-04-19,General Zoom Training,Zoom,DUD101251,Completed,Passed,Reinforced lesson preparation
TRN000090,DUD100006,2024-10-03,General Zoom Training,Zoom,DUD100141,Completed,Passed,Reinforced classroom management
TRN000091,DUD100006,2025-03-15,General Zoom Training,Zoom,DUD101020,Completed,Passed,General teaching skills refresher
TRN000092,DUD100006,2025-06-17,General Zoom Training,Zoom,DUD100522,Completed,Passed,Reinforced lesson preparation
TRN000093,DUD100006,2025-09-03,General Zoom Training,Zoom,DUD100795,Completed,Passed,Teaching ideas and classroom techniques
TRN000094,DUD100006,2025-11-16,General Zoom Training,Zoom,DUD101122,Completed,Passed,General teaching skills refresher
TRN000095,DUD100006,2026-02-08,General Zoom Training,Zoom,DUD100649,Completed,Passed,Reinforced communication and professionalism
TRN000096,DUD100007,2023-01-03,Orientation,In Person,DUD100765,Completed,Passed,Initial training completed
TRN000097,DUD100007,2023-01-10,On-the-Job Training,In Person,DUD100537,Completed,Passed,Two-week initial training
TRN000098,DUD100007,2023-07-04,General Zoom Training,Zoom,DUD101190,Completed,Passed,General teaching skills refresher
TRN000099,DUD100007,2023-09-19,General Zoom Training,Zoom,DUD100248,Completed,Passed,Reinforced lesson preparation
TRN000100,DUD100007,2023-11-27,General Zoom Training,Zoom,DUD100248,Completed,Passed,General teaching skills refresher
TRN000101,DUD100007,2024-02-12,General Zoom Training,Zoom,DUD101190,Completed,Passed,Reinforced communication and professionalism
TRN000102,DUD100007,2024-07-24,General Zoom Training,Zoom,DUD100761,Completed,Passed,Reinforced classroom management
TRN000103,DUD100007,2024-10-23,General Zoom Training,Zoom,DUD100103,Completed,Passed,Reinforced classroom management
TRN000104,DUD100007,2025-01-06,General Zoom Training,Zoom,DUD101245,Completed,Passed,Reinforced classroom management
TRN000105,DUD100007,2025-04-04,General Zoom Training,Zoom,DUD100382,Completed,Passed,Teaching ideas and classroom techniques
TRN000106,DUD100007,2025-06-03,General Zoom Training,Zoom,DUD101382,Completed,Passed,Teaching ideas and classroom techniques
TRN000107,DUD100007,2025-08-25,General Zoom Training,Zoom,DUD100151,Completed,Passed,General teaching skills refresher
TRN000108,DUD100007,2025-11-24,General Zoom Training,Zoom,DUD101494,Completed,Passed,General teaching skills refresher
TRN000109,DUD100007,2026-01-24,General Zoom Training,Zoom,DUD101324,Completed,Passed,Teaching ideas and classroom techniques
TRN000110,DUD100008,2020-10-01,Orientation,In Person,DUD100829,Completed,Passed,Initial training completed
TRN000111,DUD100008,2020-10-08,On-the-Job Training,In Person,DUD100414,Completed,Passed,Two-week initial training
TRN000112,DUD100008,2021-03-17,General Zoom Training,Zoom,DUD100650,Completed,Passed,Reinforced classroom management
TRN000113,DUD100008,2021-06-12,General Zoom Training,Zoom,DUD100282,Completed,Passed,General teaching skills refresher
TRN000114,DUD100008,2022-01-28,General Zoom Training,Zoom,DUD100473,Completed,Passed,Reinforced communication and professionalism
TRN000115,DUD100008,2022-04-26,General Zoom Training,Zoom,DUD100808,Completed,Passed,General teaching skills refresher
TRN000116,DUD100008,2022-07-03,General Zoom Training,Zoom,DUD100131,Completed,Passed,Reinforced lesson preparation
TRN000117,DUD100008,2022-10-06,General Zoom Training,Zoom,DUD100808,Completed,Passed,Reinforced communication and professionalism
TRN000118,DUD100008,2023-01-05,General Zoom Training,Zoom,DUD101056,Completed,Passed,General teaching skills refresher
TRN000119,DUD100008,2023-04-07,General Zoom Training,Zoom,DUD100378,Completed,Passed,Teaching ideas and classroom techniques
TRN000120,DUD100008,2023-07-06,General Zoom Training,Zoom,DUD100153,Completed,Passed,Teaching ideas and classroom techniques
TRN000121,DUD100008,2023-09-07,General Zoom Training,Zoom,DUD100650,Completed,Passed,Reinforced classroom management
TRN000122,DUD100008,2024-02-10,General Zoom Training,Zoom,DUD101122,Completed,Passed,General teaching skills refresher
TRN000123,DUD100008,2024-05-13,General Zoom Training,Zoom,DUD101324,Completed,Passed,General teaching skills refresher
TRN000124,DUD100008,2024-10-11,General Zoom Training,Zoom,DUD101303,Completed,Passed,Reinforced communication and professionalism
TRN000125,DUD100008,2024-12-21,General Zoom Training,Zoom,DUD100845,Completed,Passed,Reinforced communication and professionalism
TRN000126,DUD100008,2025-03-25,General Zoom Training,Zoom,DUD100672,Completed,Passed,Teaching ideas and classroom techniques
TRN000127,DUD100008,2025-06-01,General Zoom Training,Zoom,DUD101056,Completed,Passed,Teaching ideas and classroom techniques
TRN000128,DUD100008,2025-08-30,General Zoom Training,Zoom,DUD101122,Completed,Passed,Reinforced communication and professionalism
TRN000129,DUD100008,2025-11-26,General Zoom Training,Zoom,DUD101113,Completed,Passed,Teaching ideas and classroom techniques
TRN000130,DUD100008,2026-02-05,General Zoom Training,Zoom,DUD101303,Completed,Passed,Reinforced lesson preparation
TRN000131,DUD100009,2024-01-05,Orientation,In Person,DUD101355,Completed,Passed,Initial training completed
TRN000132,DUD100009,2024-01-12,On-the-Job Training,In Person,DUD101245,Completed,Passed,Two-week initial training
TRN000133,DUD100009,2024-04-05,General Zoom Training,Zoom,DUD101120,Completed,Passed,Reinforced lesson preparation
TRN000134,DUD100009,2024-06-05,General Zoom Training,Zoom,DUD100012,Completed,Passed,Reinforced lesson preparation
TRN000135,DUD100009,2024-08-29,General Zoom Training,Zoom,DUD100934,Completed,Passed,Reinforced classroom management
TRN000136,DUD100009,2024-11-08,General Zoom Training,Zoom,DUD101303,Completed,Passed,Reinforced classroom management
TRN000137,DUD100009,2025-02-11,General Zoom Training,Zoom,DUD101382,Completed,Passed,Reinforced communication and professionalism
TRN000138,DUD100009,2025-07-25,General Zoom Training,Zoom,DUD100589,Completed,Passed,General teaching skills refresher
TRN000139,DUD100009,2025-10-22,General Zoom Training,Zoom,DUD100290,Completed,Passed,General teaching skills refresher
TRN000140,DUD100009,2026-01-22,General Zoom Training,Zoom,DUD101208,Completed,Passed,Teaching ideas and classroom techniques
TRN000141,DUD100010,2025-02-12,Orientation,In Person,DUD100012,Completed,Passed,Initial training completed
TRN000142,DUD100010,2025-02-19,On-the-Job Training,In Person,DUD100227,Completed,Passed,Two-week initial training
TRN000143,DUD100010,2025-05-19,General Zoom Training,Zoom,DUD100650,Completed,Passed,Teaching ideas and classroom techniques
TRN000144,DUD100010,2025-08-17,General Zoom Training,Zoom,DUD101176,Completed,Passed,Reinforced lesson preparation
TRN000145,DUD100010,2025-11-15,General Zoom Training,Zoom,DUD101316,Completed,Passed,General teaching skills refresher
TRN000146,DUD100010,2026-01-29,General Zoom Training,Zoom,DUD101402,Completed,Passed,General teaching skills refresher
TRN000147,DUD100011,2020-03-06,Orientation,In Person,DUD100220,Completed,Passed,Initial training completed
TRN000148,DUD100011,2020-03-13,On-the-Job Training,In Person,DUD100346,Completed,Passed,Two-week initial training
TRN000149,DUD100011,2020-06-06,General Zoom Training,Zoom,DUD101151,Completed,Passed,Teaching ideas and classroom techniques
TRN000150,DUD100011,2020-08-25,General Zoom Training,Zoom,DUD101293,Completed,Passed,Reinforced communication and professionalism
TRN000151,DUD100011,2020-11-10,General Zoom Training,Zoom,DUD100151,Completed,Passed,General teaching skills refresher
TRN000152,DUD100011,2021-04-22,General Zoom Training,Zoom,DUD100216,Completed,Passed,Reinforced communication and professionalism
TRN000153,DUD100011,2021-07-23,General Zoom Training,Zoom,DUD100090,Completed,Passed,General teaching skills refresher
TRN000154,DUD100011,2021-10-15,General Zoom Training,Zoom,DUD101190,Completed,Passed,Teaching ideas and classroom techniques
TRN000155,DUD100011,2021-12-16,General Zoom Training,Zoom,DUD100181,Completed,Passed,Reinforced classroom management
TRN000156,DUD100011,2022-03-18,General Zoom Training,Zoom,DUD101247,Completed,Passed,Reinforced lesson preparation
TRN000157,DUD100011,2022-09-04,General Zoom Training,Zoom,DUD100939,Completed,Passed,General teaching skills refresher
TRN000158,DUD100011,2022-11-12,General Zoom Training,Zoom,DUD100795,Completed,Passed,General teaching skills refresher
TRN000159,DUD100011,2023-01-22,General Zoom Training,Zoom,DUD100822,Completed,Passed,Reinforced communication and professionalism
TRN000160,DUD100011,2023-07-07,General Zoom Training,Zoom,DUD101173,Completed,Passed,General teaching skills refresher
TRN000161,DUD100011,2023-09-13,General Zoom Training,Zoom,DUD101251,Completed,Passed,Teaching ideas and classroom techniques
TRN000162,DUD100011,2023-12-02,General Zoom Training,Zoom,DUD100045,Completed,Passed,Teaching ideas and classroom techniques
TRN000163,DUD100011,2024-02-24,General Zoom Training,Zoom,DUD101208,Completed,Passed,Reinforced lesson preparation
TRN000164,DUD100011,2024-06-29,General Zoom Training,Zoom,DUD100457,Completed,Passed,Reinforced lesson preparation
TRN000165,DUD100011,2024-09-16,General Zoom Training,Zoom,DUD101355,Completed,Passed,Teaching ideas and classroom techniques
TRN000166,DUD100011,2024-12-10,General Zoom Training,Zoom,DUD101324,Completed,Passed,Reinforced communication and professionalism
TRN000167,DUD100011,2025-02-24,General Zoom Training,Zoom,DUD101245,Completed,Passed,Teaching ideas and classroom techniques
TRN000168,DUD100011,2025-05-23,General Zoom Training,Zoom,DUD100750,Completed,Passed,Reinforced communication and professionalism
TRN000169,DUD100011,2025-08-02,General Zoom Training,Zoom,DUD100939,Completed,Passed,Reinforced lesson preparation
TRN000170,DUD100011,2025-10-21,General Zoom Training,Zoom,DUD100633,Completed,Passed,Reinforced communication and professionalism
TRN000171,DUD100011,2026-01-17,General Zoom Training,Zoom,DUD101020,Completed,Passed,General teaching skills refresher
TRN000172,DUD100011,2026-03-22,General Zoom Training,Zoom,DUD100896,Completed,Passed,Reinforced lesson preparation
TRN000173,DUD100012,2020-08-08,Orientation,In Person,DUD101251,Completed,Passed,Initial training completed
TRN000174,DUD100012,2020-08-15,On-the-Job Training,In Person,DUD100747,Completed,Passed,Two-week initial training
TRN000191,DUD100012,2021-02-15,Trainer School Visit,In Person,DUD101482,Completed,Passed,Performance observation and client-service support
TRN000175,DUD100012,2021-04-28,General Zoom Training,Zoom,DUD100984,Completed,Passed,General teaching skills refresher
TRN000176,DUD100012,2021-07-07,General Zoom Training,Zoom,DUD101056,Completed,Passed,Reinforced communication and professionalism
TRN000177,DUD100012,2021-10-02,General Zoom Training,Zoom,DUD100312,Completed,Passed,General teaching skills refresher
TRN000178,DUD100012,2021-12-10,General Zoom Training,Zoom,DUD101020,Completed,Passed,Reinforced communication and professionalism
TRN000179,DUD100012,2022-05-16,General Zoom Training,Zoom,DUD100927,Completed,Passed,Reinforced lesson preparation
TRN000180,DUD100012,2022-08-11,General Zoom Training,Zoom,DUD100350,Completed,Passed,General teaching skills refresher
TRN000181,DUD100012,2023-01-17,General Zoom Training,Zoom,DUD100522,Completed,Passed,Teaching ideas and classroom techniques
TRN000182,DUD100012,2023-04-14,General Zoom Training,Zoom,DUD100644,Completed,Passed,Reinforced communication and professionalism
TRN000183,DUD100012,2023-07-16,General Zoom Training,Zoom,DUD101056,Completed,Passed,Reinforced classroom management
TRN000184,DUD100012,2024-06-28,General Zoom Training,Zoom,DUD101382,Completed,Passed,Reinforced lesson preparation
TRN000185,DUD100012,2024-10-01,General Zoom Training,Zoom,DUD100151,Completed,Passed,Reinforced lesson preparation
TRN000186,DUD100012,2024-12-25,General Zoom Training,Zoom,DUD100227,Completed,Passed,Reinforced communication and professionalism
TRN000187,DUD100012,2025-03-26,General Zoom Training,Zoom,DUD100761,Completed,Passed,Teaching ideas and classroom techniques
TRN000188,DUD100012,2025-06-29,General Zoom Training,Zoom,DUD100747,Completed,Passed,Reinforced lesson preparation
TRN000189,DUD100012,2025-09-24,General Zoom Training,Zoom,DUD100290,Completed,Passed,General teaching skills refresher
TRN000190,DUD100012,2025-11-30,General Zoom Training,Zoom,DUD101176,Completed,Passed,Reinforced communication and professionalism
TRN000192,DUD100013,2024-01-23,Orientation,In Person,DUD100348,Completed,Passed,Initial training completed
TRN000193,DUD100013,2024-01-30,On-the-Job Training,In Person,DUD100282,Completed,Passed,Two-week initial training
TRN000194,DUD100013,2024-04-17,General Zoom Training,Zoom,DUD100248,Completed,Passed,Reinforced classroom management
TRN000195,DUD100013,2024-07-08,General Zoom Training,Zoom,DUD100335,Completed,Passed,Reinforced classroom management
TRN000196,DUD100013,2024-09-20,General Zoom Training,Zoom,DUD101262,Completed,Passed,Reinforced lesson preparation
TRN000197,DUD100013,2024-12-02,General Zoom Training,Zoom,DUD101402,Completed,Passed,General teaching skills refresher
TRN000198,DUD100013,2025-02-16,General Zoom Training,Zoom,DUD100318,Completed,Passed,General teaching skills refresher
TRN000199,DUD100013,2025-05-06,General Zoom Training,Zoom,DUD100141,Completed,Passed,Reinforced classroom management
TRN000200,DUD100013,2025-07-05,General Zoom Training,Zoom,DUD100103,Completed,Passed,General teaching skills refresher
TRN000201,DUD100013,2026-03-15,General Zoom Training,Zoom,DUD101266,Completed,Passed,Teaching ideas and classroom techniques
TRN000202,DUD100014,2025-11-27,Orientation,In Person,DUD101056,Completed,Passed,Initial training completed
TRN000203,DUD100014,2025-12-04,On-the-Job Training,In Person,DUD100721,Completed,Passed,Two-week initial training
TRN000204,DUD100014,2026-02-06,General Zoom Training,Zoom,DUD100672,Completed,Passed,Reinforced lesson preparation
TRN000205,DUD100015,2024-12-14,Orientation,In Person,DUD100667,Completed,Passed,Initial training completed
TRN000206,DUD100015,2024-12-21,On-the-Job Training,In Person,DUD100805,Completed,Passed,Two-week initial training
TRN000207,DUD100015,2025-03-05,General Zoom Training,Zoom,DUD100817,Completed,Passed,General teaching skills refresher
TRN000208,DUD100015,2025-05-27,General Zoom Training,Zoom,DUD101402,Completed,Passed,General teaching skills refresher
TRN000209,DUD100015,2025-08-05,General Zoom Training,Zoom,DUD101173,Completed,Passed,Reinforced classroom management
TRN000210,DUD100015,2025-11-03,General Zoom Training,Zoom,DUD100761,Completed,Passed,Teaching ideas and classroom techniques
TRN000211,DUD100015,2026-03-08,General Zoom Training,Zoom,DUD101208,Completed,Passed,Reinforced lesson preparation
TRN000212,DUD100016,2025-06-28,Orientation,In Person,DUD100570,Completed,Passed,Initial training completed
TRN000213,DUD100016,2025-07-05,On-the-Job Training,In Person,DUD101482,Completed,Passed,Two-week initial training
TRN000214,DUD100016,2025-09-08,General Zoom Training,Zoom,DUD100829,Completed,Passed,Teaching ideas and classroom techniques
TRN000215,DUD100016,2025-12-01,General Zoom Training,Zoom,DUD101077,Completed,Passed,General teaching skills refresher
TRN000216,DUD100016,2026-03-02,General Zoom Training,Zoom,DUD100067,Completed,Passed,Reinforced communication and professionalism
TRN000217,DUD100017,2020-11-25,Orientation,In Person,DUD101176,Completed,Passed,Initial training completed
TRN000218,DUD100017,2020-12-02,On-the-Job Training,In Person,DUD101355,Completed,Passed,Two-week initial training
TRN000219,DUD100017,2021-02-16,General Zoom Training,Zoom,DUD100350,Completed,Passed,Reinforced classroom management
TRN000220,DUD100017,2021-07-28,General Zoom Training,Zoom,DUD100295,Completed,Passed,Reinforced classroom management
TRN000221,DUD100017,2021-12-12,General Zoom Training,Zoom,DUD100811,Completed,Passed,General teaching skills refresher
TRN000222,DUD100017,2022-02-22,General Zoom Training,Zoom,DUD101129,Completed,Passed,Reinforced classroom management
TRN000223,DUD100017,2022-05-02,General Zoom Training,Zoom,DUD101427,Completed,Passed,Reinforced lesson preparation
TRN000224,DUD100017,2022-08-05,General Zoom Training,Zoom,DUD100835,Completed,Passed,Reinforced classroom management
TRN000225,DUD100017,2022-10-07,General Zoom Training,Zoom,DUD101316,Completed,Passed,Reinforced lesson preparation
TRN000226,DUD100017,2022-12-20,General Zoom Training,Zoom,DUD100460,Completed,Passed,Teaching ideas and classroom techniques
TRN000227,DUD100017,2023-02-27,General Zoom Training,Zoom,DUD100649,Completed,Passed,Reinforced communication and professionalism
TRN000228,DUD100017,2023-05-25,General Zoom Training,Zoom,DUD100750,Completed,Passed,Reinforced communication and professionalism
TRN000229,DUD100017,2023-08-28,General Zoom Training,Zoom,DUD101303,Completed,Passed,Reinforced communication and professionalism
TRN000230,DUD100017,2023-11-13,General Zoom Training,Zoom,DUD100633,Completed,Passed,Reinforced lesson preparation
TRN000231,DUD100017,2024-02-08,General Zoom Training,Zoom,DUD100665,Completed,Passed,Reinforced classroom management
TRN000232,DUD100017,2024-07-22,General Zoom Training,Zoom,DUD101120,Completed,Passed,General teaching skills refresher
TRN000233,DUD100017,2024-11-23,General Zoom Training,Zoom,DUD100953,Completed,Passed,Reinforced communication and professionalism
TRN000234,DUD100017,2025-01-24,General Zoom Training,Zoom,DUD101088,Completed,Passed,Reinforced communication and professionalism
TRN000235,DUD100017,2025-04-06,General Zoom Training,Zoom,DUD100457,Completed,Passed,Reinforced lesson preparation
TRN000236,DUD100017,2025-06-12,General Zoom Training,Zoom,DUD100248,Completed,Passed,Reinforced lesson preparation
TRN000237,DUD100017,2025-11-18,General Zoom Training,Zoom,DUD100805,Completed,Passed,Teaching ideas and classroom techniques
TRN000238,DUD100018,2022-12-13,Orientation,In Person,DUD100075,Completed,Passed,Initial training completed
TRN000239,DUD100018,2022-12-20,On-the-Job Training,In Person,DUD100045,Completed,Passed,Two-week initial training
TRN000240,DUD100018,2023-05-23,General Zoom Training,Zoom,DUD100204,Completed,Passed,General teaching skills refresher
TRN000241,DUD100018,2023-08-18,General Zoom Training,Zoom,DUD101146,Completed,Passed,Reinforced lesson preparation
TRN000242,DUD100018,2023-10-30,General Zoom Training,Zoom,DUD101324,Completed,Passed,General teaching skills refresher
TRN000243,DUD100018,2024-01-13,General Zoom Training,Zoom,DUD100103,Completed,Passed,Reinforced communication and professionalism
TRN000244,DUD100018,2024-04-04,General Zoom Training,Zoom,DUD101251,Completed,Passed,Reinforced lesson preparation
