performance_id,employee_id,assignment_id,reviewer_id,review_date,review_type,lesson_quality,classroom_management,professionalism,communication,reliability,overall_score,improvement_required,comments
PERF0000061,DUD100031,ASG000045,DUD000100,2024-09-25,Six-Month Review,2,2,2,2,2,2.0,True,
PERF0000062,DUD100032,ASG000046,DUD000038,2026-04-30,Six-Month Review,3,2,2,2,3,2.4,True,
PERF0000063,DUD100032,ASG000046,DUD000072,2025-02-02,Six-Month Review,3,3,3,4,3,3.2,False,
PERF0000064,DUD100033,ASG000047,DUD000089,2026-06-11,Annual Review,5,5,5,5,5,5.0,False,
PERF0000065,DUD100033,ASG000047,DUD000079,2026-03-22,Performance Improvement Review,3,4,4,4,4,3.8,False,
PERF0000066,DUD100033,ASG000047,DUD000018,2027-01-25,School Visit,4,5,4,4,4,4.2,False,
PERF0000067,DUD100034,ASG000049,DUD000088,2021-06-10,Performance Improvement Review,4,3,3,3,2,3.0,False,
PERF0000068,DUD100034,ASG000050,DUD000096,2022-05-27,School Visit,4,2,4,3,3,3.2,False,
PERF0000069,DUD100034,ASG000049,DUD000041,2021-11-12,Performance Improvement Review,5,5,4,5,5,4.8,False,
PERF0000070,DUD100035,ASG000052,DUD000100,2024-05-22,Performance Improvement Review,3,3,4,4,5,3.8,False,
PERF0000071,DUD100035,ASG000052,DUD000091,2024-08-09,Annual Review,5,4,4,4,4,4.2,False,
PERF0000072,DUD100035,ASG000052,DUD000043,2025-07-29,Annual Review,4,4,5,5,4,4.4,False,
PERF0000073,DUD100036,ASG000053,DUD000047,2025-12-29,School Visit,4,3,4,5,4,4.0,False,
PERF0000074,DUD100036,ASG000053,DUD000086,2023-07-02,School Visit,4,3,3,4,3,3.4,False,
PERF0000075,DUD100036,ASG000053,DUD000053,2023-12-11,Annual Review,5,5,5,5,5,5.0,False,
PERF0000076,DUD100037,ASG000055,DUD000039,2024-03-09,Six-Month Review,1,3,3,3,1,2.2,True,
PERF0000077,DUD100038,ASG000056,DUD000059,2026-04-02,Six-Month Review,5,4,5,3,3,4.0,False,
PERF0000078,DUD100039,ASG000057,DUD000022,2025-09-20,Annual Review,4,4,3,3,4,3.6,False,
PERF0000079,DUD100039,ASG000057,DUD000047,2024-03-02,Six-Month Review,4,5,5,4,5,4.6,False,
PERF0000080,DUD100039,ASG000057,DUD000007,2024-12-19,Annual Review,3,4,5,4,4,4.0,False,
PERF0000081,DUD100040,ASG000058,DUD000063,2024-03-02,Performance Improvement Review,4,5,5,5,4,4.6,False,
PERF0000082,DUD100041,ASG000060,DUD000097,2024-10-12,Performance Improvement Review,4,5,5,4,5,4.6,False,
PERF0000083,DUD100041,ASG000060,DUD000043,2024-06-09,Six-Month Review,5,5,5,5,4,4.8,False,
PERF0000084,DUD100042,ASG000061,DUD000029,2023-11-15,School Visit,3,3,3,2,3,2.8,True,
PERF0000085,DUD100042,ASG000061,DUD000010,2023-11-11,Six-Month Review,4,5,5,5,5,4.8,False,
PERF0000086,DUD100042,ASG000062,DUD000082,2024-07-02,Annual Review,4,4,4,4,4,4.0,False,
PERF0000087,DUD100043,ASG000063,DUD000004,2026-07-28,Six-Month Review,4,4,3,4,4,3.8,False,
PERF0000088,DUD100043,ASG000063,DUD000075,2026-05-18,Performance Improvement Review,4,3,5,4,4,4.0,False,
PERF0000089,DUD100044,ASG000064,DUD000086,2022-11-29,Annual Review,3,3,4,5,4,3.8,False,
PERF0000090,DUD100044,ASG000064,DUD000049,2024-04-23,Annual Review,5,5,5,5,4,4.8,False,
PERF0000091,DUD100044,ASG000064,DUD000068,2024-04-12,School Visit,2,2,4,3,3,2.8,True,
PERF0000092,DUD100045,ASG000065,DUD000021,2025-12-09,Performance Improvement Review,2,4,4,4,2,3.2,False,
PERF0000093,DUD100045,ASG000065,DUD000055,2026-12-16,School Visit,2,3,2,3,3,2.6,True,
PERF0000094,DUD100046,ASG000067,DUD000007,2026-04-03,Annual Review,3,4,5,4,4,4.0,False,
PERF0000095,DUD100047,ASG000068,DUD000021,2025-04-25,Annual Review,4,3,4,4,3,3.6,False,
PERF0000096,DUD100047,ASG000068,DUD000075,2026-07-13,Six-Month Review,5,4,3,4,5,4.2,False,
PERF0000097,DUD100048,ASG000069,DUD000064,2022-08-17,Six-Month Review,5,5,5,5,5,5.0,False,
PERF0000098,DUD100048,ASG000069,DUD000037,2022-08-15,Six-Month Review,4,4,4,4,5,4.2,False,
PERF0000099,DUD100049,ASG000070,DUD000007,2024-11-26,School Visit,3,4,4,4,4,3.8,False,
PERF0000100,DUD100050,ASG000071,DUD000080,2024-05-02,School Visit,5,3,4,5,3,4.0,False,
PERF0000101,DUD100050,ASG000071,DUD000031,2025-07-03,Performance Improvement Review,5,3,3,4,5,4.0,False,
PERF0000102,DUD100051,ASG000072,DUD000001,2021-10-31,Annual Review,5,5,5,4,4,4.6,False,
PERF0000103,DUD100051,ASG000072,DUD000100,2021-12-17,Performance Improvement Review,5,4,4,5,5,4.6,False,
PERF0000104,DUD100051,ASG000072,DUD000076,2021-07-21,Performance Improvement Review,4,5,5,4,4,4.4,False,
PERF0000105,DUD100052,ASG000073,DUD000080,2024-08-23,Annual Review,4,4,3,5,4,4.0,False,
PERF0000106,DUD100052,ASG000073,DUD000080,2025-02-28,School Visit,5,5,5,5,5,5.0,False,
PERF0000107,DUD100053,ASG000074,DUD000003,2026-01-25,Performance Improvement Review,3,4,3,4,3,3.4,False,
PERF0000108,DUD100053,ASG000074,DUD000038,2025-01-30,Performance Improvement Review,4,5,3,5,5,4.4,False,
PERF0000109,DUD100053,ASG000074,DUD000025,2025-07-04,Annual Review,5,5,5,5,5,5.0,False,
PERF0000110,DUD100054,ASG000075,DUD000075,2025-07-24,Annual Review,4,3,4,5,5,4.2,False,
PERF0000111,DUD100054,ASG000075,DUD000066,2024-08-23,School Visit,4,5,4,3,3,3.8,False,
PERF0000112,DUD100055,ASG000076,DUD000046,2023-01-29,Annual Review,3,4,4,5,4,4.0,False,
PERF0000113,DUD100055,ASG000078,DUD000088,2025-07-09,Six-Month Review,4,5,3,3,3,3.6,False,
PERF0000114,DUD100055,ASG000077,DUD000020,2023-11-28,Six-Month Review,5,5,4,4,5,4.6,False,
PERF0000115,DUD100056,ASG000080,DUD000021,2021-10-09,School Visit,5,3,3,4,4,3.8,False,
PERF0000116,DUD100056,ASG000080,DUD000031,2022-01-30,Performance Improvement Review,1,1,2,2,1,1.4,True,
PERF0000117,DUD100056,ASG000079,DUD000050,2021-06-15,School Visit,1,2,2,3,1,1.8,True,
PERF0000118,DUD100057,ASG000081,DUD000074,2021-08-10,Six-Month Review,4,4,4,5,5,4.4,False,
PERF0000119,DUD100057,ASG000081,DUD000054,2021-07-21,Performance Improvement Review,5,4,5,4,4,4.4,False,
PERF0000120,DUD100058,ASG000082,DUD000061,2025-02-14,School Visit,5,4,5,4,5,4.6,False,
PERF0000121,DUD100059,ASG000083,DUD000093,2025-02-25,Six-Month Review,3,3,3,2,3,2.8,True,
PERF0000122,DUD100059,ASG000083,DUD000003,2025-08-02,Annual Review,4,5,5,5,4,4.6,False,
PERF0000123,DUD100059,ASG000083,DUD000047,2025-03-21,Annual Review,4,3,4,3,4,3.6,False,
PERF0000124,DUD100060,ASG000084,DUD000024,2026-03-01,Six-Month Review,3,3,3,2,3,2.8,True,
PERF0000125,DUD100060,ASG000084,DUD000007,2026-02-19,School Visit,3,3,2,2,3,2.6,True,
PERF0000126,DUD100061,ASG000086,DUD000097,2025-02-23,School Visit,3,4,4,4,4,3.8,False,
PERF0000127,DUD100062,ASG000087,DUD000081,2023-01-08,Performance Improvement Review,4,4,3,4,4,3.8,False,
PERF0000128,DUD100062,ASG000087,DUD000091,2022-05-24,Performance Improvement Review,4,3,3,2,3,3.0,False,
PERF0000129,DUD100063,ASG000088,DUD000043,2024-04-13,Performance Improvement Review,4,5,5,5,4,4.6,False,
PERF0000130,DUD100064,ASG000089,DUD000084,2024-01-28,Annual Review,4,3,4,4,5,4.0,False,
PERF0000131,DUD100064,ASG000089,DUD000043,2024-04-04,Six-Month Review,3,3,4,3,4,3.4,False,
PERF0000132,DUD100064,ASG000089,DUD000088,2024-12-29,Performance Improvement Review,4,4,5,4,4,4.2,False,
PERF0000133,DUD100065,ASG000090,DUD000057,2024-07-20,Annual Review,5,5,5,5,5,5.0,False,
PERF0000134,DUD100066,ASG000093,DUD000035,2026-09-07,School Visit,5,4,4,4,5,4.4,False,
PERF0000135,DUD100067,ASG000094,DUD000075,2024-07-31,Six-Month Review,4,3,4,3,3,3.4,False,
PERF0000136,DUD100068,ASG000096,DUD000050,2023-09-21,Annual Review,5,5,5,5,5,5.0,False,
PERF0000137,DUD100069,ASG000098,DUD000011,2025-05-18,Six-Month Review,4,4,3,3,5,3.8,False,
PERF0000138,DUD100070,ASG000099,DUD000065,2026-05-24,Annual Review,4,3,2,4,3,3.2,False,
PERF0000139,DUD100071,ASG000101,DUD000093,2025-05-08,Performance Improvement Review,4,4,4,3,4,3.8,False,
PERF0000140,DUD100071,ASG000101,DUD000095,2025-09-11,Six-Month Review,4,4,3,4,3,3.6,False,
PERF0000141,DUD100072,ASG000102,DUD000015,2022-01-13,Performance Improvement Review,4,4,4,5,4,4.2,False,
PERF0000142,DUD100073,ASG000104,DUD000048,2026-05-23,School Visit,3,1,3,1,1,1.8,True,
PERF0000143,DUD100073,ASG000104,DUD000079,2026-06-13,Annual Review,3,1,3,1,1,1.8,True,
PERF0000144,DUD100073,ASG000104,DUD000056,2026-04-12,Six-Month Review,5,5,5,5,5,5.0,False,
PERF0000145,DUD100074,ASG000105,DUD000075,2024-12-05,School Visit,3,4,5,4,5,4.2,False,
PERF0000146,DUD100074,ASG000105,DUD000047,2024-04-06,Six-Month Review,4,5,4,3,4,4.0,False,
PERF0000147,DUD100075,ASG000106,DUD000041,2025-02-01,Performance Improvement Review,5,3,4,4,5,4.2,False,
PERF0000148,DUD100075,ASG000106,DUD000090,2026-03-01,Performance Improvement Review,4,4,4,5,5,4.4,False,
PERF0000149,DUD100075,ASG000106,DUD000018,2025-04-12,Annual Review,3,3,2,3,3,2.8,True,
PERF0000150,DUD100076,ASG000107,DUD000093,2024-06-22,School Visit,4,5,5,5,5,4.8,False,
PERF0000151,DUD100076,ASG000107,DUD000098,2024-05-07,Annual Review,4,5,5,5,4,4.6,False,
PERF0000152,DUD100076,ASG000107,DUD000065,2024-01-15,School Visit,4,5,5,5,4,4.6,False,
PERF0000153,DUD100077,ASG000108,DUD000006,2021-10-26,School Visit,5,5,5,5,5,5.0,False,
PERF0000154,DUD100077,ASG000108,DUD000002,2022-06-24,Performance Improvement Review,5,5,5,4,5,4.8,False,
PERF0000155,DUD100078,ASG000109,DUD000086,2022-06-13,School Visit,3,2,3,2,2,2.4,True,
PERF0000156,DUD100078,ASG000109,DUD000060,2023-03-08,Performance Improvement Review,3,4,4,5,4,4.0,False,
PERF0000157,DUD100078,ASG000109,DUD000057,2022-11-21,Six-Month Review,5,4,5,5,5,4.8,False,
PERF0000158,DUD100079,ASG000110,DUD000047,2025-09-07,Annual Review,4,3,3,4,4,3.6,False,
PERF0000159,DUD100079,ASG000110,DUD000095,2025-06-30,Annual Review,4,4,5,4,4,4.2,False,
PERF0000160,DUD100079,ASG000110,DUD000036,2025-07-30,School Visit,5,5,4,5,5,4.8,False,
PERF0000161,DUD100080,ASG000111,DUD000100,2025-06-29,Six-Month Review,5,5,5,4,5,4.8,False,
PERF0000162,DUD100080,ASG000111,DUD000061,2025-08-31,Annual Review,5,5,5,5,4,4.8,False,
PERF0000163,DUD100081,ASG000112,DUD000034,2023-04-25,School Visit,3,1,3,3,2,2.4,True,
PERF0000164,DUD100081,ASG000112,DUD000073,2023-09-30,Six-Month Review,4,4,4,2,2,3.2,False,
PERF0000165,DUD100082,ASG000115,DUD000055,2023-08-28,Performance Improvement Review,1,3,2,2,1,1.8,True,
PERF0000166,DUD100083,ASG000116,DUD000079,2024-07-06,Six-Month Review,5,5,4,4,4,4.4,False,
PERF0000167,DUD100084,ASG000117,DUD000020,2022-08-08,Annual Review,2,4,4,3,2,3.0,False,
PERF0000168,DUD100084,ASG000117,DUD000044,2023-01-16,Annual Review,3,3,2,4,3,3.0,False,
PERF0000169,DUD100084,ASG000118,DUD000027,2023-06-27,Performance Improvement Review,5,4,4,4,4,4.2,False,
PERF0000170,DUD100085,ASG000119,DUD000069,2025-12-18,Performance Improvement Review,4,4,3,3,3,3.4,False,
PERF0000171,DUD100085,ASG000119,DUD000018,2026-03-31,School Visit,2,3,2,1,2,2.0,True,
PERF0000172,DUD100085,ASG000119,DUD000029,2025-01-26,Performance Improvement Review,4,3,4,4,4,3.8,False,
PERF0000173,DUD100086,ASG000120,DUD000011,2025-11-11,Annual Review,3,5,4,4,4,4.0,False,
PERF0000174,DUD100087,ASG000121,DUD000072,2021-10-17,Annual Review,5,5,5,5,5,5.0,False,
PERF0000175,DUD100087,ASG000121,DUD000032,2021-10-17,School Visit,3,4,5,4,4,4.0,False,
PERF0000176,DUD100087,ASG000123,DUD000058,2024-10-29,Six-Month Review,3,4,3,2,3,3.0,False,
PERF0000177,DUD100088,ASG000124,DUD000001,2023-12-22,Six-Month Review,5,4,4,4,3,4.0,False,
PERF0000178,DUD100089,ASG000125,DUD000006,2025-09-09,Performance Improvement Review,5,4,4,4,5,4.4,False,
PERF0000179,DUD100089,ASG000126,DUD000075,2026-05-12,Six-Month Review,5,5,5,5,5,5.0,False,
PERF0000180,DUD100090,ASG000127,DUD000092,2022-02-17,School Visit,4,4,4,4,3,3.8,False,
PERF0000181,DUD100091,ASG000128,DUD000057,2024-07-22,Performance Improvement Review,5,5,5,5,5,5.0,False,
PERF0000182,DUD100091,ASG000128,DUD000093,2024-05-10,Performance Improvement Review,4,5,4,4,4,4.2,False,
PERF0000183,DUD100092,ASG000129,DUD000020,2024-09-08,Performance Improvement Review,2,2,3,3,2,2.4,True,
PERF0000184,DUD100092,ASG000129,DUD000015,2025-01-26,School Visit,2,1,2,3,1,1.8,True,
PERF0000185,DUD100092,ASG000129,DUD000028,2025-06-13,School Visit,3,4,3,4,3,3.4,False,
PERF0000186,DUD100093,ASG000130,DUD000014,2022-04-18,Performance Improvement Review,3,3,2,3,4,3.0,False,
PERF0000187,DUD100094,ASG000131,DUD000086,2021-05-20,Performance Improvement Review,4,4,4,4,5,4.2,False,
PERF0000188,DUD100094,ASG000131,DUD000054,2021-04-20,Six-Month Review,3,4,5,3,5,4.0,False,
PERF0000189,DUD100094,ASG000131,DUD000064,2021-04-21,Annual Review,5,4,5,5,5,4.8,False,
PERF0000190,DUD100095,ASG000132,DUD000014,2026-01-05,Annual Review,5,5,5,5,5,5.0,False,
PERF0000191,DUD100095,ASG000132,DUD000051,2026-05-15,Six-Month Review,5,5,4,4,5,4.6,False,
PERF0000192,DUD100096,ASG000134,DUD000023,2023-04-06,Performance Improvement Review,5,4,4,4,4,4.2,False,
PERF0000193,DUD100096,ASG000135,DUD000045,2023-12-05,Annual Review,5,5,5,5,5,5.0,False,
PERF0000194,DUD100096,ASG000134,DUD000073,2023-01-25,School Visit,5,5,5,5,5,5.0,False,
PERF0000195,DUD100097,ASG000138,DUD000016,2024-05-26,Six-Month Review,4,5,5,4,5,4.6,False,
PERF0000196,DUD100098,ASG000139,DUD000034,2026-03-01,School Visit,4,4,4,4,4,4.0,False,
PERF0000197,DUD100098,ASG000140,DUD000044,2027-05-14,Performance Improvement Review,1,2,3,2,3,2.2,True,
PERF0000198,DUD100099,ASG000142,DUD000091,2026-07-07,Annual Review,3,3,4,5,3,3.6,False,
PERF0000199,DUD100100,ASG000143,DUD000033,2025-02-27,Annual Review,4,4,4,4,5,4.2,False,
PERF0000200,DUD100100,ASG000143,DUD000087,2025-05-26,Performance Improvement Review,5,3,4,4,4,4.0,False,
PERF0000201,DUD100101,ASG000144,DUD000018,2026-01-26,Annual Review,5,4,4,5,4,4.4,False,
PERF0000202,DUD100101,ASG000144,DUD000043,2025-10-31,Annual Review,4,4,4,3,3,3.6,False,
PERF0000203,DUD100101,ASG000144,DUD000037,2026-02-12,Six-Month Review,3,4,3,2,4,3.2,False,
PERF0000204,DUD100102,ASG000145,DUD000083,2026-08-09,School Visit,4,4,3,4,4,3.8,False,
PERF0000205,DUD100103,ASG000146,DUD000030,2023-07-24,Six-Month Review,4,4,5,4,4,4.2,False,
PERF0000206,DUD100103,ASG000146,DUD000076,2023-04-13,School Visit,4,5,5,4,4,4.4,False,
PERF0000207,DUD100104,ASG000149,DUD000037,2026-03-31,Performance Improvement Review,2,3,2,4,2,2.6,True,
PERF0000208,DUD100104,ASG000150,DUD000018,2027-09-20,Six-Month Review,5,3,4,3,3,3.6,False,
PERF0000209,DUD100104,ASG000150,DUD000067,2027-10-23,Performance Improvement Review,2,2,2,3,2,2.2,True,
PERF0000210,DUD100105,ASG000151,DUD000003,2024-06-11,Annual Review,3,4,4,4,4,3.8,False,
PERF0000211,DUD100105,ASG000151,DUD000033,2024-10-18,Annual Review,5,5,5,5,5,5.0,False,
PERF0000212,DUD100106,ASG000152,DUD000094,2024-03-14,School Visit,3,4,4,4,4,3.8,False,
PERF0000213,DUD100107,ASG000156,DUD000071,2023-06-11,Six-Month Review,4,5,5,5,4,4.6,False,
PERF0000214,DUD100107,ASG000155,DUD000073,2022-09-01,Annual Review,5,4,4,4,4,4.2,False,
PERF0000215,DUD100108,ASG000157,DUD000011,2025-08-01,Six-Month Review,5,5,5,5,5,5.0,False,
PERF0000216,DUD100108,ASG000158,DUD000015,2025-10-09,Performance Improvement Review,4,4,5,5,4,4.4,False,
PERF0000217,DUD100109,ASG000160,DUD000098,2023-11-27,Performance Improvement Review,5,4,5,5,5,4.8,False,
PERF0000218,DUD100109,ASG000160,DUD000059,2023-10-21,Performance Improvement Review,4,4,5,5,5,4.6,False,
PERF0000219,DUD100109,ASG000160,DUD000011,2024-03-06,Performance Improvement Review,2,3,2,4,2,2.6,True,
PERF0000220,DUD100110,ASG000162,DUD000085,2026-04-19,Annual Review,3,4,4,5,4,4.0,False,
PERF0000221,DUD100111,ASG000164,DUD000079,2021-11-29,Performance Improvement Review,3,1,2,1,2,1.8,True,
PERF0000222,DUD100111,ASG000163,DUD000045,2021-02-10,Six-Month Review,3,5,4,4,5,4.2,False,
PERF0000223,DUD100111,ASG000164,DUD000002,2025-08-04,School Visit,5,4,5,5,4,4.6,False,
PERF0000224,DUD100112,ASG000165,DUD000050,2022-02-16,Six-Month Review,5,5,4,5,5,4.8,False,
PERF0000225,DUD100112,ASG000165,DUD000019,2023-11-04,Performance Improvement Review,4,5,4,5,5,4.6,False,
PERF0000226,DUD100112,ASG000165,DUD000028,2023-02-20,School Visit,3,3,3,5,5,3.8,False,
PERF0000227,DUD100113,ASG000166,DUD000087,2025-08-05,Annual Review,4,4,4,3,4,3.8,False,
PERF0000228,DUD100113,ASG000166,DUD000017,2025-08-04,Six-Month Review,4,4,4,4,5,4.2,False,
PERF0000229,DUD100114,ASG000167,DUD000032,2022-10-18,Annual Review,5,5,5,5,5,5.0,False,
PERF0000230,DUD100114,ASG000167,DUD000082,2022-07-20,School Visit,5,5,5,5,4,4.8,False,
PERF0000231,DUD100115,ASG000168,DUD000023,2025-05-14,Annual Review,4,5,4,4,5,4.4,False,
PERF0000232,DUD100116,ASG000170,DUD000015,2022-11-28,Six-Month Review,1,2,2,2,2,1.8,True,
PERF0000233,DUD100117,ASG000172,DUD000003,2021-12-06,Six-Month Review,3,3,4,3,3,3.2,False,
PERF0000234,DUD100117,ASG000172,DUD000032,2022-01-12,Performance Improvement Review,5,3,4,5,3,4.0,False,
PERF0000235,DUD100118,ASG000173,DUD000039,2025-07-25,Performance Improvement Review,3,4,4,4,3,3.6,False,
PERF0000236,DUD100118,ASG000173,DUD000044,2025-08-18,Six-Month Review,5,4,4,5,5,4.6,False,
PERF0000237,DUD100119,ASG000175,DUD000046,2022-09-20,Six-Month Review,5,4,5,5,4,4.6,False,
PERF0000238,DUD100119,ASG000175,DUD000058,2022-05-03,School Visit,3,3,3,4,3,3.2,False,
PERF0000239,DUD100120,ASG000178,DUD000064,2026-01-05,Performance Improvement Review,5,4,5,3,4,4.2,False,
PERF0000240,DUD100120,ASG000178,DUD000020,2026-06-28,Six-Month Review,4,3,2,4,3,3.2,False,
PERF0000241,DUD100121,ASG000179,DUD000014,2025-12-16,Annual Review,5,5,5,5,4,4.8,False,
PERF0000242,DUD100121,ASG000179,DUD000068,2025-10-27,Six-Month Review,5,5,5,5,5,5.0,False,
PERF0000243,DUD100122,ASG000180,DUD000050,2026-01-16,School Visit,5,4,3,3,3,3.6,False,
PERF0000244,DUD100123,ASG000182,DUD000099,2026-07-04,Annual Review,3,2,3,3,3,2.8,True,
PERF0000245,DUD100123,ASG000181,DUD000028,2021-09-06,School Visit,4,3,4,3,4,3.6,False,
PERF0000246,DUD100124,ASG000183,DUD000080,2024-10-11,Annual Review,4,5,5,4,5,4.6,False,
