onboarding_id,employee_id,onboarding_start_date,onboarding_end_date,onboarding_type,onboarding_method,duration_days,completion_status,result,onboarding_satisfaction,notes
ONB000211,DUD100211,2023-11-15,,Rehire Onboarding,Hybrid,20,Incomplete,Incomplete,,
ONB000212,DUD100212,2023-02-05,2023-02-23,Experienced Teacher Onboarding,Online,18,Delayed,Passed,2,
ONB000213,DUD100213,2026-03-31,2026-04-10,Rehire Onboarding,Hybrid,10,Completed,Satisfactory,4,
ONB000214,DUD100214,2025-05-26,2025-06-05,Experienced Teacher Onboarding,Online,10,Completed,Satisfactory,3,
ONB000215,DUD100215,2022-07-31,2022-08-19,Standard Teacher Onboarding,Hybrid,19,Completed,Satisfactory,2,
ONB000216,DUD100216,2021-01-14,2021-01-22,Experienced Teacher Onboarding,Hybrid,8,Delayed,Needs Improvement,4,
ONB000217,DUD100217,2021-06-27,2021-07-14,Experienced Teacher Onboarding,Online,17,Completed,Needs Improvement,1,
ONB000218,DUD100218,2025-03-19,2025-04-05,Standard Teacher Onboarding,In-person,17,Completed,Satisfactory,2,
ONB000219,DUD100219,2024-09-14,,Experienced Teacher Onboarding,In-person,21,Incomplete,Incomplete,,
ONB000220,DUD100220,2024-07-30,2024-08-08,Standard Teacher Onboarding,Hybrid,9,Completed,Satisfactory,2,
ONB000221,DUD100221,2021-03-18,,Standard Teacher Onboarding,Hybrid,19,Incomplete,Incomplete,,
ONB000222,DUD100222,2026-04-12,2026-04-27,Experienced Teacher Onboarding,Hybrid,15,Completed,Satisfactory,1,
ONB000223,DUD100223,2023-03-18,,Standard Teacher Onboarding,In-person,10,Incomplete,Incomplete,,
ONB000224,DUD100224,2022-08-03,2022-08-23,Rehire Onboarding,Hybrid,20,Completed,Needs Improvement,4,
ONB000225,DUD100225,2021-04-03,2021-04-22,Rehire Onboarding,In-person,19,Completed,Satisfactory,4,
ONB000226,DUD100226,2026-07-28,2026-08-05,Experienced Teacher Onboarding,Online,8,Delayed,Satisfactory,5,
ONB000227,DUD100227,2026-04-05,2026-04-16,Rehire Onboarding,In-person,11,Completed,Needs Improvement,2,
ONB000228,DUD100228,2022-01-12,2022-01-26,Experienced Teacher Onboarding,Online,14,Completed,Needs Improvement,5,
ONB000229,DUD100229,2023-09-17,2023-09-28,Experienced Teacher Onboarding,In-person,11,Completed,Passed,2,
ONB000230,DUD100230,2021-03-18,2021-03-27,Rehire Onboarding,Hybrid,9,Completed,Passed,3,
ONB000231,DUD100231,2024-06-19,2024-07-02,Experienced Teacher Onboarding,Hybrid,13,Completed,Satisfactory,5,
ONB000232,DUD100232,2025-12-28,,Experienced Teacher Onboarding,Hybrid,15,Incomplete,Incomplete,,
ONB000233,DUD100233,2021-02-10,2021-03-01,Rehire Onboarding,In-person,19,Delayed,Passed,2,
ONB000234,DUD100234,2023-01-20,2023-02-08,Experienced Teacher Onboarding,Hybrid,19,Delayed,Satisfactory,2,
ONB000235,DUD100235,2021-03-20,2021-03-29,Standard Teacher Onboarding,Hybrid,9,Completed,Passed,4,
ONB000236,DUD100236,2024-10-06,2024-10-21,Standard Teacher Onboarding,Hybrid,15,Completed,Satisfactory,2,
ONB000237,DUD100237,2024-02-07,2024-02-26,Rehire Onboarding,Online,19,Delayed,Needs Improvement,5,
ONB000238,DUD100238,2022-12-01,2022-12-15,Rehire Onboarding,Online,14,Delayed,Passed,5,
ONB000239,DUD100239,2026-05-03,2026-05-13,Experienced Teacher Onboarding,Online,10,Delayed,Satisfactory,3,
ONB000240,DUD100240,2023-02-26,2023-03-13,Rehire Onboarding,Hybrid,15,Completed,Needs Improvement,5,
ONB000241,DUD100241,2025-05-24,2025-06-01,Rehire Onboarding,Online,8,Completed,Passed,2,
ONB000242,DUD100242,2022-09-14,,Standard Teacher Onboarding,Hybrid,21,Incomplete,Incomplete,,
ONB000243,DUD100243,2025-10-18,2025-10-28,Standard Teacher Onboarding,Hybrid,10,Delayed,Passed,3,
ONB000244,DUD100244,2024-05-04,2024-05-22,Rehire Onboarding,In-person,18,Completed,Passed,4,
