application_id,candidate_id,application_date,position_applied,recruiter_id,screening_date,interview_date,offer_date,offer_response_date,rejection_date,application_status,rejection_reason
APP000023,CAN000385,2022-10-26,Experienced Teacher,REC010,2022-11-04,2022-11-07,,,2022-11-13,Rejected,Position Filled
APP000024,CAN000132,2023-08-15,Experienced Teacher,REC012,2023-08-23,2023-09-05,,,2023-08-28,Rejected,Availability
APP000025,CAN000207,2024-12-15,Experienced Teacher,REC014,2024-12-19,2024-12-27,2024-12-30,2025-01-02,,Hired,
APP000026,CAN000492,2025-05-17,ALT / English Teacher,REC005,2025-05-20,2025-05-23,,,2025-06-14,Rejected,Interview Result
APP000027,CAN000366,2026-11-19,ALT / English Teacher,REC009,2026-11-23,2026-12-01,,,2026-12-04,Rejected,Work Eligibility
APP000028,CAN001707,2021-12-17,Experienced Teacher,REC017,2021-12-19,,,,,Hired,
APP000029,CAN001552,2023-02-05,Senior Teacher,REC015,2023-02-14,2023-02-21,,,2023-02-26,Rejected,Position Filled
APP000030,CAN001151,2024-09-21,Experienced Teacher,REC003,2024-09-22,2024-09-30,,,,Interviewing,
APP000031,CAN000589,2021-11-24,ALT / English Teacher,REC006,2021-11-26,2021-12-05,2021-12-12,2021-12-16,,Hired,
APP000032,CAN000735,2021-02-09,ALT / English Teacher,REC021,2021-02-10,2021-02-19,2021-02-25,2021-02-27,,Hired,
APP000033,CAN000730,2022-06-28,ALT / English Teacher,REC007,2022-07-06,2022-07-17,2022-07-19,2022-07-21,,Hired,
APP000034,CAN001258,2022-04-02,ALT / English Teacher,REC004,,,,,,Withdrawn,
APP000035,CAN000204,2023-01-03,Senior Teacher,REC008,2023-01-12,2023-01-25,,,2023-01-31,Rejected,Language Requirements
APP000036,CAN000531,2023-07-20,Senior Teacher,REC014,2023-07-23,2023-07-29,2023-08-06,2023-08-13,,Hired,
APP000037,CAN001940,2026-12-28,Experienced Teacher,REC021,2027-01-03,2027-01-13,2027-01-17,2027-01-21,,Hired,
APP000038,CAN001706,2024-01-17,ALT / English Teacher,REC015,,,,,,Withdrawn,
APP000039,CAN000067,2025-03-25,ALT / English Teacher,REC004,2025-03-27,2025-04-04,,,,Interviewing,
APP000040,CAN000041,2026-05-23,ALT / English Teacher,REC011,2026-06-01,2026-06-09,,,2026-06-19,Rejected,Experience
APP000041,CAN000750,2021-07-03,Experienced Teacher,REC002,2021-07-12,2021-07-23,2021-07-25,2021-08-01,,Hired,
APP000042,CAN001393,2021-04-24,ALT / English Teacher,REC012,2021-05-03,2021-05-10,,,2021-05-22,Rejected,Work Eligibility
APP000043,CAN001435,2025-06-12,Senior Teacher,REC001,2025-06-19,2025-06-27,2025-06-29,2025-06-30,,Hired,
APP000044,CAN000121,2021-07-09,ALT / English Teacher,REC004,2021-07-18,2021-07-24,2021-08-01,2021-08-04,,Hired,
APP000045,CAN001924,2026-07-10,Experienced Teacher,REC003,,,,,,Withdrawn,
APP000046,CAN000724,2021-12-07,ALT / English Teacher,REC016,2021-12-14,2021-12-24,,,2021-12-24,Rejected,Availability
APP000047,CAN000732,2025-03-04,Experienced Teacher,REC009,2025-03-11,2025-03-15,2025-03-25,2025-03-31,,Hired,
APP000048,CAN001013,2026-07-04,Senior Teacher,REC017,2026-07-10,2026-07-23,,,,Interviewing,
APP000049,CAN001047,2026-08-25,Experienced Teacher,REC025,2026-09-02,2026-09-15,,,2026-09-23,Rejected,Language Requirements
APP000050,CAN000825,2021-01-21,ALT / English Teacher,REC010,,,,,,Withdrawn,
APP000051,CAN000390,2026-06-28,Experienced Teacher,REC019,2026-07-04,2026-07-14,,,2026-07-17,Rejected,Position Filled
APP000052,CAN000016,2023-11-08,Senior Teacher,REC006,2023-11-13,2023-11-25,,,2023-11-11,Rejected,Work Eligibility
APP000053,CAN000125,2023-12-28,ALT / English Teacher,REC021,2023-12-30,2024-01-11,2024-01-17,2024-01-20,,Hired,
APP000054,CAN000471,2021-11-26,ALT / English Teacher,REC006,2021-12-01,2021-12-09,2021-12-18,2021-12-25,,Hired,
APP000055,CAN000190,2024-05-18,ALT / English Teacher,REC012,2024-05-28,2024-06-11,,,2024-06-10,Rejected,Availability
APP000056,CAN001262,2024-11-12,Senior Teacher,REC016,,,,,,Withdrawn,
APP000057,CAN001212,2021-02-05,ALT / English Teacher,REC021,2021-02-12,2021-02-17,2021-02-18,2021-02-22,,Hired,
APP000058,CAN000937,2025-12-23,Senior Teacher,REC012,2026-01-02,,,,,Interviewing,
APP000059,CAN000646,2026-10-01,Senior Teacher,REC011,2026-10-05,,,,,Hired,
APP000060,CAN000190,2026-09-27,Senior Teacher,REC006,2026-09-28,2026-10-03,,,,Interviewing,
APP000061,CAN000496,2022-07-18,ALT / English Teacher,REC011,2022-07-25,,,,2022-07-28,Rejected,Language Requirements
APP000062,CAN000472,2024-02-10,Senior Teacher,REC011,2024-02-12,,,,,Hired,
APP000063,CAN000255,2024-01-01,ALT / English Teacher,REC024,2024-01-07,2024-01-08,2024-01-15,2024-01-20,,Hired,
APP000064,CAN001171,2023-01-02,Senior Teacher,REC025,2023-01-04,2023-01-07,,,2023-01-06,Rejected,Language Requirements
APP000065,CAN001167,2024-06-03,ALT / English Teacher,REC015,2024-06-07,2024-06-12,,,,Interviewing,
APP000066,CAN000198,2022-06-23,Senior Teacher,REC022,2022-07-01,2022-07-15,,,,Interviewing,
APP000067,CAN001320,2023-11-12,ALT / English Teacher,REC012,2023-11-14,2023-11-19,,,,Interviewing,
APP000068,CAN001255,2024-08-19,ALT / English Teacher,REC004,2024-08-29,,,,,Interviewing,
APP000069,CAN000786,2023-04-14,ALT / English Teacher,REC012,2023-04-17,2023-04-29,,,2023-05-06,Rejected,Work Eligibility
APP000070,CAN001908,2026-03-01,Experienced Teacher,REC014,2026-03-02,2026-03-09,,,2026-03-14,Rejected,Interview Result
APP000071,CAN000362,2024-09-02,Senior Teacher,REC024,2024-09-03,2024-09-15,2024-09-20,2024-09-25,,Hired,
APP000072,CAN000911,2023-03-26,Senior Teacher,REC018,2023-03-30,2023-04-06,,,,Interviewing,
APP000073,CAN001778,2025-10-12,Experienced Teacher,REC010,2025-10-21,,,,2025-10-27,Rejected,Experience
APP000074,CAN001925,2023-11-05,Senior Teacher,REC020,2023-11-13,,,,,Hired,
APP000075,CAN001709,2021-10-06,ALT / English Teacher,REC022,2021-10-15,2021-10-16,,,2021-10-27,Rejected,Availability
APP000076,CAN000334,2025-01-13,ALT / English Teacher,REC020,2025-01-20,2025-01-23,,,,Interviewing,
APP000077,CAN000901,2025-04-03,Experienced Teacher,REC009,2025-04-12,2025-04-14,2025-04-16,2025-04-18,,Hired,
APP000078,CAN001376,2024-05-17,Experienced Teacher,REC023,2024-05-23,2024-05-25,2024-05-27,2024-05-28,,Hired,
APP000079,CAN000174,2026-10-08,ALT / English Teacher,REC001,2026-10-09,2026-10-14,2026-10-21,2026-10-28,,Hired,
APP000080,CAN000251,2022-06-27,ALT / English Teacher,REC009,2022-07-05,2022-07-10,,,2022-07-26,Rejected,Availability
APP000081,CAN000164,2024-12-01,ALT / English Teacher,REC009,2024-12-07,,,,,Hired,
APP000082,CAN000813,2024-12-23,Experienced Teacher,REC004,2024-12-24,,,,2025-01-09,Rejected,Availability
APP000083,CAN001324,2025-02-02,Experienced Teacher,REC004,2025-02-08,2025-02-22,,,2025-02-11,Rejected,Position Filled
APP000084,CAN001214,2022-12-25,ALT / English Teacher,REC006,2023-01-04,2023-01-17,,,2023-01-08,Rejected,Position Filled
APP000085,CAN000051,2022-02-27,Senior Teacher,REC001,2022-03-06,2022-03-07,,,,Interviewing,
APP000086,CAN000937,2026-12-26,Experienced Teacher,REC004,2026-12-29,2027-01-02,,,,Interviewing,
APP000087,CAN000773,2021-01-10,Experienced Teacher,REC021,2021-01-16,2021-01-30,2021-02-02,2021-02-08,,Hired,
APP000088,CAN001990,2022-08-02,Senior Teacher,REC007,2022-08-10,2022-08-16,2022-08-20,2022-08-25,,Hired,
APP000089,CAN001758,2024-06-18,Senior Teacher,REC017,2024-06-27,,,,2024-07-07,Rejected,Availability
APP000090,CAN000224,2025-07-23,ALT / English Teacher,REC008,2025-08-02,,,,2025-08-18,Rejected,Availability
APP000091,CAN001820,2023-06-16,ALT / English Teacher,REC020,,,,,,Withdrawn,
APP000092,CAN000063,2026-08-01,Experienced Teacher,REC014,2026-08-09,2026-08-18,,,2026-08-27,Rejected,Availability
APP000093,CAN001312,2024-05-02,ALT / English Teacher,REC004,2024-05-03,2024-05-10,,,2024-05-23,Rejected,Work Eligibility
APP000094,CAN000002,2022-05-16,ALT / English Teacher,REC003,2022-05-22,2022-05-26,,,,Interviewing,
APP000095,CAN001041,2023-06-03,Experienced Teacher,REC006,2023-06-05,2023-06-08,,,2023-06-21,Rejected,Availability
APP000096,CAN001603,2025-11-06,Senior Teacher,REC011,,,,,,Withdrawn,
APP000097,CAN001718,2021-01-01,Experienced Teacher,REC020,2021-01-07,2021-01-09,2021-01-11,2021-01-18,,Hired,
APP000098,CAN000422,2026-09-27,Senior Teacher,REC018,2026-09-29,,,,,Interviewing,
APP000099,CAN000874,2025-04-27,Senior Teacher,REC014,2025-05-03,2025-05-08,2025-05-17,2025-05-18,,Hired,
APP000100,CAN000778,2022-01-01,Senior Teacher,REC002,2022-01-03,2022-01-05,,,2022-01-22,Rejected,Experience
APP000101,CAN000940,2021-10-08,ALT / English Teacher,REC001,,,,,,Withdrawn,
APP000102,CAN000080,2025-08-06,ALT / English Teacher,REC014,2025-08-09,2025-08-18,2025-08-24,2025-08-26,,Hired,
APP000103,CAN001648,2022-09-09,Senior Teacher,REC018,2022-09-18,2022-09-29,,,,Interviewing,
APP000104,CAN000486,2024-07-04,ALT / English Teacher,REC013,2024-07-10,2024-07-20,,,,Interviewing,
APP000105,CAN000566,2026-07-23,Experienced Teacher,REC012,2026-07-28,2026-07-30,2026-08-02,2026-08-09,,Hired,
APP000106,CAN000093,2021-08-10,ALT / English Teacher,REC018,2021-08-11,2021-08-21,,,,Interviewing,
APP000107,CAN001111,2024-06-02,Experienced Teacher,REC019,2024-06-08,2024-06-15,2024-06-18,2024-06-23,,Hired,
APP000108,CAN001549,2026-09-02,ALT / English Teacher,REC007,2026-09-07,,,,,Hired,
APP000109,CAN001197,2022-01-19,Senior Teacher,REC001,2022-01-26,2022-02-09,,,,Interviewing,
APP000110,CAN000786,2021-04-01,Senior Teacher,REC001,,,,,,Withdrawn,
APP000111,CAN000126,2026-09-06,Senior Teacher,REC003,2026-09-14,2026-09-18,2026-09-19,2026-09-22,,Hired,
APP000112,CAN000521,2023-02-22,ALT / English Teacher,REC010,2023-03-02,2023-03-03,2023-03-08,2023-03-14,,Hired,
APP000113,CAN000174,2024-05-11,Experienced Teacher,REC015,2024-05-14,2024-05-22,2024-06-01,2024-06-04,,Hired,
APP000114,CAN000184,2026-10-19,Experienced Teacher,REC008,2026-10-25,2026-10-30,2026-11-04,2026-11-05,,Hired,
APP000115,CAN000484,2025-11-18,Experienced Teacher,REC017,2025-11-21,,,,,Hired,
APP000116,CAN000655,2021-07-02,ALT / English Teacher,REC009,2021-07-07,2021-07-19,2021-07-27,2021-08-03,,Hired,
APP000117,CAN000256,2026-12-15,Experienced Teacher,REC014,2026-12-20,2026-12-31,2027-01-01,2027-01-04,,Hired,
APP000118,CAN001437,2022-06-26,Experienced Teacher,REC018,2022-06-30,2022-07-10,,,,Interviewing,
APP000119,CAN001272,2025-09-17,Senior Teacher,REC022,2025-09-27,2025-10-03,,,2025-09-22,Rejected,Availability
APP000120,CAN001097,2024-01-01,Senior Teacher,REC015,2024-01-06,2024-01-08,2024-01-12,2024-01-13,,Hired,
APP000121,CAN000201,2023-08-09,Experienced Teacher,REC024,2023-08-13,2023-08-21,,,2023-08-23,Rejected,Position Filled
APP000122,CAN000939,2026-08-27,Experienced Teacher,REC012,2026-09-04,2026-09-17,2026-09-27,2026-10-01,,Hired,
APP000123,CAN001954,2022-05-01,ALT / English Teacher,REC003,,,,,,Withdrawn,
APP000124,CAN000291,2025-01-15,Senior Teacher,REC003,2025-01-22,2025-02-01,,,,Interviewing,
APP000125,CAN001013,2021-12-09,Experienced Teacher,REC010,2021-12-12,2021-12-15,,,,Interviewing,
APP000126,CAN001740,2023-04-09,ALT / English Teacher,REC022,2023-04-16,2023-04-28,2023-05-07,2023-05-09,,Hired,
APP000127,CAN001151,2022-11-28,Senior Teacher,REC001,2022-12-04,2022-12-10,2022-12-11,2022-12-12,,Hired,
APP000128,CAN000212,2024-06-26,Experienced Teacher,REC023,2024-06-28,2024-07-02,,,,Interviewing,
APP000129,CAN000408,2024-10-10,Experienced Teacher,REC018,2024-10-16,,,,,Interviewing,
APP000130,CAN000945,2026-10-23,ALT / English Teacher,REC015,2026-10-29,2026-11-10,2026-11-19,2026-11-20,,Hired,
APP000131,CAN001897,2024-09-23,Experienced Teacher,REC012,2024-10-01,,,,2024-10-09,Rejected,Work Eligibility
APP000132,CAN000711,2024-01-24,Senior Teacher,REC024,2024-02-01,2024-02-15,,,2024-02-10,Rejected,Experience
APP000133,CAN000776,2021-06-09,Senior Teacher,REC006,2021-06-10,2021-06-22,2021-06-28,2021-07-04,,Hired,
APP000134,CAN000374,2022-05-24,ALT / English Teacher,REC025,2022-05-29,2022-06-10,,,2022-06-16,Rejected,Language Requirements
APP000135,CAN000630,2024-10-13,ALT / English Teacher,REC008,,,,,,Withdrawn,
APP000136,CAN001808,2021-03-24,Senior Teacher,REC001,2021-03-28,2021-04-01,,,2021-04-21,Rejected,Experience
APP000137,CAN001703,2023-06-17,Senior Teacher,REC009,2023-06-20,2023-07-03,2023-07-06,2023-07-10,,Hired,
APP000138,CAN000799,2023-09-20,Senior Teacher,REC024,2023-09-22,2023-10-01,,,2023-10-14,Rejected,Availability
APP000139,CAN001045,2025-06-03,Experienced Teacher,REC003,,,,,,Withdrawn,
APP000140,CAN000173,2026-10-09,Senior Teacher,REC010,2026-10-13,,,,2026-10-28,Rejected,Availability
APP000141,CAN000232,2024-10-22,Senior Teacher,REC012,2024-10-26,2024-10-27,2024-10-31,2024-11-03,,Hired,
APP000142,CAN001183,2025-02-22,ALT / English Teacher,REC007,2025-02-25,2025-03-05,2025-03-10,2025-03-17,,Hired,
APP000143,CAN000784,2023-05-02,ALT / English Teacher,REC007,2023-05-09,,,,,Interviewing,
APP000144,CAN001523,2025-09-04,ALT / English Teacher,REC023,2025-09-14,2025-09-17,,,2025-09-25,Rejected,Interview Result
APP000145,CAN001350,2021-04-02,ALT / English Teacher,REC013,2021-04-04,2021-04-18,2021-04-25,2021-05-01,,Hired,
APP000146,CAN001753,2022-10-21,Senior Teacher,REC016,,,,,,Withdrawn,
APP000147,CAN000727,2022-09-06,Experienced Teacher,REC007,2022-09-16,,,,,Hired,
APP000148,CAN001178,2021-08-05,Senior Teacher,REC009,2021-08-14,,,,,Hired,
APP000149,CAN001368,2021-11-18,Senior Teacher,REC013,2021-11-21,2021-12-01,,,2021-11-22,Rejected,Experience
APP000150,CAN001841,2022-03-25,ALT / English Teacher,REC006,2022-03-26,2022-03-27,,,2022-03-31,Rejected,Interview Result
APP000151,CAN000188,2022-08-24,Senior Teacher,REC012,2022-08-31,2022-09-12,,,,Interviewing,
APP000152,CAN001712,2021-09-20,Experienced Teacher,REC018,2021-09-25,2021-10-04,2021-10-08,2021-10-14,,Hired,
APP000153,CAN001428,2026-04-21,Experienced Teacher,REC011,2026-04-30,2026-05-06,2026-05-13,2026-05-20,,Hired,
APP000154,CAN000907,2021-12-19,Senior Teacher,REC014,2021-12-28,2022-01-08,,,2021-12-27,Rejected,Language Requirements
APP000155,CAN001955,2026-10-08,ALT / English Teacher,REC023,2026-10-16,2026-10-23,2026-10-29,2026-11-05,,Hired,
APP000156,CAN001421,2025-12-16,Senior Teacher,REC021,2025-12-23,,,,,Hired,
APP000157,CAN000216,2023-10-20,Senior Teacher,REC015,2023-10-30,,,,,Hired,
APP000158,CAN000519,2023-08-10,Experienced Teacher,REC010,2023-08-15,2023-08-21,2023-08-31,2023-09-02,,Hired,
APP000159,CAN000136,2025-02-06,ALT / English Teacher,REC012,2025-02-10,2025-02-13,,,2025-02-21,Rejected,Work Eligibility
APP000160,CAN001651,2023-04-28,Experienced Teacher,REC009,2023-04-30,2023-05-12,2023-05-17,2023-05-21,,Hired,
APP000161,CAN001155,2024-07-05,ALT / English Teacher,REC013,2024-07-12,2024-07-16,,,,Interviewing,
APP000162,CAN000557,2024-05-07,Experienced Teacher,REC020,2024-05-12,2024-05-24,2024-05-27,2024-05-29,,Hired,
APP000163,CAN001923,2024-06-04,ALT / English Teacher,REC013,2024-06-11,2024-06-22,,,2024-06-10,Rejected,Work Eligibility
APP000164,CAN000710,2024-08-17,ALT / English Teacher,REC009,2024-08-21,2024-08-30,,,2024-09-02,Rejected,Interview Result
APP000165,CAN001364,2024-03-16,Senior Teacher,REC019,2024-03-22,2024-04-05,2024-04-11,2024-04-15,,Hired,
APP000166,CAN000726,2021-06-10,ALT / English Teacher,REC004,2021-06-20,2021-06-28,2021-07-02,2021-07-03,,Hired,
APP000167,CAN000718,2025-05-07,Experienced Teacher,REC008,,,,,,Withdrawn,
APP000168,CAN000989,2021-02-28,ALT / English Teacher,REC022,2021-03-08,2021-03-17,,,2021-03-06,Rejected,Experience
APP000169,CAN001654,2024-04-10,Experienced Teacher,REC014,2024-04-12,2024-04-14,2024-04-16,2024-04-17,,Hired,
APP000170,CAN001678,2024-05-11,Senior Teacher,REC021,2024-05-19,2024-06-02,,,,Interviewing,
APP000171,CAN001717,2021-01-01,Experienced Teacher,REC001,2021-01-10,,,,,Interviewing,
APP000172,CAN001614,2023-08-25,Experienced Teacher,REC006,2023-09-01,2023-09-04,2023-09-09,2023-09-14,,Hired,
APP000173,CAN000438,2024-10-26,ALT / English Teacher,REC022,2024-10-31,2024-11-14,,,2024-11-20,Rejected,Position Filled
APP000174,CAN001809,2023-08-18,Experienced Teacher,REC013,2023-08-21,2023-08-30,2023-08-31,2023-09-05,,Hired,
APP000175,CAN001364,2021-12-14,ALT / English Teacher,REC015,2021-12-24,2021-12-29,2022-01-03,2022-01-09,,Hired,
APP000176,CAN000592,2023-03-27,Senior Teacher,REC025,2023-04-04,2023-04-16,2023-04-20,2023-04-23,,Hired,
APP000177,CAN000074,2021-02-21,Experienced Teacher,REC020,2021-03-03,,,,2021-03-14,Rejected,Position Filled
APP000178,CAN001877,2025-01-26,Senior Teacher,REC022,2025-02-04,2025-02-11,,,2025-02-16,Rejected,Experience
APP000179,CAN001836,2024-01-21,Senior Teacher,REC007,,,,,,Withdrawn,
APP000180,CAN001302,2022-12-11,Experienced Teacher,REC025,2022-12-18,2022-12-23,,,,Interviewing,
APP000181,CAN001269,2022-11-06,Experienced Teacher,REC013,2022-11-11,2022-11-14,2022-11-21,2022-11-23,,Hired,
APP000182,CAN001295,2021-01-26,Senior Teacher,REC007,2021-01-30,2021-01-31,,,2021-02-02,Rejected,Position Filled
APP000183,CAN001567,2022-12-07,ALT / English Teacher,REC022,2022-12-11,2022-12-23,2022-12-26,2022-12-28,,Hired,
APP000184,CAN001029,2022-07-08,ALT / English Teacher,REC011,2022-07-09,,,,,Hired,
APP000185,CAN001216,2024-08-18,Experienced Teacher,REC011,2024-08-28,2024-09-11,2024-09-21,2024-09-26,,Hired,
APP000186,CAN000852,2024-08-27,Senior Teacher,REC023,2024-08-29,2024-09-09,,,2024-09-12,Rejected,Work Eligibility
APP000187,CAN001871,2025-03-21,Experienced Teacher,REC007,2025-03-30,2025-04-11,,,,Interviewing,
APP000188,CAN000966,2022-11-28,ALT / English Teacher,REC014,2022-12-01,2022-12-09,2022-12-12,2022-12-13,,Hired,
APP000189,CAN000483,2024-09-27,Senior Teacher,REC016,,,,,,Withdrawn,
APP000190,CAN000400,2024-02-25,Experienced Teacher,REC017,2024-02-26,2024-03-05,2024-03-06,2024-03-11,,Hired,
APP000191,CAN001952,2022-05-07,Experienced Teacher,REC014,2022-05-13,2022-05-24,2022-05-29,2022-06-02,,Hired,
APP000192,CAN000366,2022-06-21,Experienced Teacher,REC003,2022-06-30,2022-07-01,2022-07-02,2022-07-09,,Hired,
APP000193,CAN001271,2025-06-01,Senior Teacher,REC014,2025-06-10,2025-06-13,,,2025-06-28,Rejected,Interview Result
APP000194,CAN001526,2021-06-06,Experienced Teacher,REC006,2021-06-16,2021-06-24,2021-07-04,2021-07-08,,Hired,
APP000195,CAN001208,2021-06-12,Experienced Teacher,REC023,2021-06-18,,,,2021-07-02,Rejected,Position Filled
APP000196,CAN001169,2026-03-03,ALT / English Teacher,REC009,2026-03-05,2026-03-16,2026-03-25,2026-03-31,,Hired,
APP000197,CAN001527,2026-03-19,Experienced Teacher,REC021,2026-03-28,2026-03-30,2026-04-09,2026-04-11,,Hired,
APP000198,CAN000076,2026-04-22,ALT / English Teacher,REC013,2026-04-27,2026-05-07,,,2026-04-26,Rejected,Work Eligibility
APP000199,CAN001845,2023-04-22,ALT / English Teacher,REC009,2023-05-01,,,,2023-05-10,Rejected,Interview Result
APP000200,CAN000206,2022-12-21,ALT / English Teacher,REC011,2022-12-31,2023-01-10,,,2023-01-07,Rejected,Work Eligibility
APP000201,CAN001937,2023-06-02,Senior Teacher,REC021,2023-06-11,,,,,Interviewing,
APP000202,CAN001953,2026-02-20,ALT / English Teacher,REC016,2026-03-02,2026-03-14,,,2026-03-08,Rejected,Work Eligibility
APP000203,CAN000349,2021-05-21,Senior Teacher,REC013,2021-05-30,,,,,Hired,
APP000204,CAN000082,2023-09-21,Senior Teacher,REC015,,,,,,Withdrawn,
APP000205,CAN000075,2026-12-18,Experienced Teacher,REC002,2026-12-26,2026-12-29,,,2027-01-04,Rejected,Work Eligibility
APP000206,CAN001204,2024-04-06,ALT / English Teacher,REC025,2024-04-09,2024-04-12,,,2024-04-19,Rejected,Experience
APP000207,CAN001713,2023-05-22,Senior Teacher,REC011,2023-05-29,2023-06-06,,,2023-05-25,Rejected,Work Eligibility
APP000208,CAN000324,2024-10-18,Experienced Teacher,REC013,2024-10-21,2024-11-02,2024-11-11,2024-11-18,,Hired,
APP000209,CAN000130,2023-04-03,Senior Teacher,REC019,2023-04-06,2023-04-12,2023-04-18,2023-04-21,,Hired,
APP000210,CAN000880,2023-12-03,ALT / English Teacher,REC022,2023-12-12,2023-12-24,,,2023-12-22,Rejected,Availability
APP000211,CAN001469,2023-06-27,Experienced Teacher,REC003,2023-06-28,,,,,Hired,
APP000212,CAN001511,2023-11-15,ALT / English Teacher,REC007,2023-11-17,2023-11-27,,,2023-11-18,Rejected,Language Requirements
APP000213,CAN001721,2025-02-20,Experienced Teacher,REC023,2025-02-21,2025-03-07,,,2025-02-25,Rejected,Interview Result
APP000214,CAN001197,2026-06-02,ALT / English Teacher,REC016,,,,,,Withdrawn,
APP000215,CAN001743,2023-08-18,Senior Teacher,REC020,2023-08-23,,,,,Hired,
APP000216,CAN000618,2021-06-15,ALT / English Teacher,REC012,2021-06-21,2021-07-03,,,2021-06-22,Rejected,Interview Result
APP000217,CAN001062,2021-05-16,Experienced Teacher,REC018,,,,,,Withdrawn,
APP000218,CAN001313,2022-09-28,Senior Teacher,REC007,2022-09-30,,,,2022-10-02,Rejected,Availability
APP000219,CAN001232,2026-08-08,Senior Teacher,REC013,2026-08-15,2026-08-22,,,2026-08-24,Rejected,Availability
APP000220,CAN000750,2025-08-19,Experienced Teacher,REC014,,,,,,Withdrawn,
APP000221,CAN001200,2024-11-09,Senior Teacher,REC018,2024-11-17,2024-11-22,2024-11-30,2024-12-07,,Hired,
APP000222,CAN000230,2026-05-26,Experienced Teacher,REC009,,,,,,Withdrawn,
APP000223,CAN001203,2022-07-22,Experienced Teacher,REC020,2022-07-24,,,,,Interviewing,
APP000224,CAN000585,2024-07-01,Experienced Teacher,REC010,2024-07-07,2024-07-11,2024-07-16,2024-07-22,,Hired,
APP000225,CAN001731,2023-05-09,ALT / English Teacher,REC025,2023-05-14,2023-05-20,,,2023-05-24,Rejected,Position Filled
APP000226,CAN000349,2025-01-27,Senior Teacher,REC015,2025-02-01,2025-02-07,,,2025-02-12,Rejected,Experience
APP000227,CAN001615,2023-02-04,ALT / English Teacher,REC017,2023-02-13,2023-02-15,2023-02-19,2023-02-22,,Hired,
APP000228,CAN001628,2021-10-15,ALT / English Teacher,REC015,2021-10-24,2021-11-05,2021-11-11,2021-11-16,,Hired,
APP000229,CAN000589,2022-02-17,ALT / English Teacher,REC019,2022-02-24,2022-02-26,2022-03-06,2022-03-08,,Hired,
APP000230,CAN001398,2022-02-06,Senior Teacher,REC004,2022-02-12,2022-02-14,2022-02-23,2022-02-25,,Hired,
APP000231,CAN001390,2022-05-01,Experienced Teacher,REC003,2022-05-11,2022-05-20,,,2022-05-18,Rejected,Work Eligibility
APP000232,CAN000667,2024-05-09,ALT / English Teacher,REC010,2024-05-16,2024-05-23,,,2024-06-01,Rejected,Experience
