survey_id,employee_id,survey_date,overall_satisfaction,management_satisfaction,compensation_satisfaction,training_satisfaction,assignment_satisfaction,work_life_balance,career_satisfaction,commute_satisfaction,engagement_score,would_recommend,comments
SURV0000038,DUD100005,2025-08-08,3,3,4,3,4,3,4,2,3,False,
SURV0000039,DUD100005,2025-09-09,4,4,5,4,5,5,5,4,4,True,
SURV0000040,DUD100006,2023-12-15,5,5,5,5,5,5,5,5,5,True,
SURV0000041,DUD100006,2024-01-03,4,4,5,4,3,4,4,5,3,True,
SURV0000042,DUD100006,2024-02-22,5,4,5,4,5,5,5,5,5,True,
SURV0000043,DUD100006,2024-03-11,4,3,5,5,3,4,4,3,4,True,
SURV0000044,DUD100006,2024-04-16,4,4,4,5,4,4,4,4,3,True,
SURV0000045,DUD100006,2024-05-27,4,4,3,5,3,3,5,3,3,True,
SURV0000046,DUD100006,2024-06-11,4,5,5,4,3,4,4,4,5,True,
SURV0000047,DUD100006,2024-07-11,5,5,5,5,5,4,5,5,5,True,
SURV0000048,DUD100006,2024-08-25,5,5,4,4,5,5,5,5,5,True,
SURV0000049,DUD100006,2024-09-26,4,3,3,4,3,3,5,3,4,True,
SURV0000050,DUD100007,2021-10-11,2,2,3,2,2,2,3,1,2,False,
SURV0000051,DUD100007,2021-11-04,4,3,4,3,3,4,4,4,5,True,
SURV0000052,DUD100007,2021-12-08,5,5,4,5,5,5,5,5,4,True,
SURV0000053,DUD100007,2022-01-04,4,5,4,5,5,3,4,4,5,True,
SURV0000054,DUD100007,2022-02-05,5,5,5,4,5,5,5,4,5,True,
SURV0000055,DUD100008,2021-10-17,1,1,1,1,1,1,2,1,1,False,
SURV0000056,DUD100008,2021-11-16,4,3,4,3,4,4,4,4,4,True,
SURV0000057,DUD100008,2021-12-07,3,3,4,2,2,3,3,4,3,False,
SURV0000058,DUD100008,2022-01-10,3,3,2,3,2,2,4,2,2,False,
SURV0000059,DUD100008,2022-02-01,4,4,4,3,4,4,4,4,3,True,
SURV0000060,DUD100008,2022-03-05,1,1,1,2,1,1,2,1,1,False,
SURV0000061,DUD100008,2022-04-08,5,4,4,5,4,5,5,5,5,True,
SURV0000062,DUD100008,2022-05-09,4,5,3,4,4,5,5,4,3,True,
SURV0000063,DUD100008,2022-06-14,4,4,4,4,4,4,4,4,4,True,
SURV0000064,DUD100008,2022-07-20,4,4,3,4,5,4,3,4,5,True,
SURV0000065,DUD100008,2022-08-10,4,4,4,3,4,3,3,4,3,True,
SURV0000066,DUD100008,2022-09-16,5,4,5,5,5,5,5,5,4,True,
SURV0000067,DUD100009,2021-06-09,3,4,3,2,3,3,4,4,3,False,
SURV0000068,DUD100009,2021-07-05,4,4,3,3,3,3,4,5,4,True,
SURV0000069,DUD100009,2021-08-09,4,4,3,4,4,5,4,5,4,True,
SURV0000070,DUD100009,2021-09-24,5,5,5,4,5,5,5,4,4,True,
SURV0000071,DUD100010,2024-06-13,4,5,5,3,4,4,3,3,3,True,
SURV0000072,DUD100010,2024-07-14,5,5,5,5,5,5,4,5,4,True,
SURV0000073,DUD100010,2024-08-01,5,4,4,4,5,4,5,5,5,True,
SURV0000074,DUD100010,2024-09-25,2,3,1,3,2,2,3,1,1,False,
SURV0000075,DUD100011,2022-08-11,4,4,5,4,4,5,5,3,5,True,
SURV0000076,DUD100011,2022-09-24,4,3,4,4,3,5,3,4,4,True,
SURV0000077,DUD100011,2022-10-21,5,5,4,4,5,5,5,5,5,True,
SURV0000078,DUD100011,2022-11-07,5,5,4,5,4,5,5,4,4,True,
SURV0000079,DUD100011,2022-12-22,4,4,5,4,4,3,3,4,4,True,
SURV0000080,DUD100011,2023-01-20,4,4,3,5,5,3,3,4,4,True,
SURV0000081,DUD100011,2023-02-21,3,3,2,2,3,3,2,2,3,False,
SURV0000082,DUD100012,2021-02-06,3,3,2,2,4,3,3,3,3,False,
SURV0000083,DUD100012,2021-03-12,4,4,4,4,4,4,4,4,3,True,
SURV0000084,DUD100012,2021-04-01,4,3,4,4,5,4,4,3,5,True,
SURV0000085,DUD100012,2021-05-13,3,3,4,3,2,3,2,2,3,False,
SURV0000086,DUD100012,2021-06-04,3,3,3,4,2,3,4,2,3,False,
SURV0000087,DUD100012,2021-07-27,4,4,5,3,3,3,4,5,4,True,
SURV0000088,DUD100012,2021-08-09,3,4,4,3,3,4,4,2,2,False,
SURV0000089,DUD100012,2021-09-03,4,5,3,5,5,4,4,4,4,True,
SURV0000090,DUD100013,2022-07-20,4,4,4,4,4,5,4,5,4,True,
SURV0000091,DUD100013,2022-08-28,4,4,3,3,5,4,4,4,4,True,
SURV0000092,DUD100013,2022-09-18,3,3,2,3,3,3,3,3,4,False,
SURV0000093,DUD100013,2022-10-19,4,5,5,3,3,5,5,5,4,True,
SURV0000094,DUD100013,2022-11-09,4,4,4,5,4,4,4,4,4,True,
SURV0000095,DUD100013,2022-12-10,4,4,3,4,3,4,5,3,5,True,
SURV0000096,DUD100014,2024-03-18,5,5,5,5,4,5,5,5,4,True,
SURV0000097,DUD100014,2024-04-17,3,3,3,3,3,4,4,4,3,False,
SURV0000098,DUD100014,2024-05-17,5,5,5,5,4,5,5,5,5,True,
SURV0000099,DUD100014,2024-06-08,3,2,4,3,4,4,3,3,4,False,
SURV0000100,DUD100014,2024-07-16,5,5,5,5,5,5,5,5,5,True,
SURV0000101,DUD100014,2024-08-02,4,3,4,4,4,5,3,4,3,True,
SURV0000102,DUD100014,2024-09-24,5,5,4,5,4,4,5,5,5,True,
SURV0000103,DUD100014,2024-10-16,3,2,3,3,3,4,4,4,4,False,
SURV0000104,DUD100014,2024-11-03,4,5,5,5,4,5,3,4,3,True,
SURV0000105,DUD100014,2024-12-24,4,5,3,4,3,3,4,4,5,True,
SURV0000106,DUD100014,2025-01-20,4,4,3,5,4,3,5,3,3,True,
SURV0000107,DUD100015,2024-01-26,3,4,2,3,4,4,3,3,3,False,
SURV0000108,DUD100015,2024-02-07,2,1,3,2,1,3,2,2,2,False,
SURV0000109,DUD100015,2024-03-04,2,1,2,2,3,2,2,1,3,False,
SURV0000110,DUD100015,2024-04-03,2,2,3,1,2,1,2,2,2,False,
SURV0000111,DUD100016,2023-04-26,5,4,5,5,4,4,5,5,4,True,
SURV0000112,DUD100016,2023-05-23,2,2,3,2,2,2,2,1,2,False,
SURV0000113,DUD100016,2023-06-09,3,3,4,4,3,3,2,3,4,False,
SURV0000114,DUD100016,2023-07-22,2,2,1,2,2,2,3,1,3,False,
SURV0000115,DUD100016,2023-08-26,2,2,1,1,2,2,1,2,2,False,
SURV0000116,DUD100017,2022-11-17,5,5,4,5,5,5,5,5,5,True,
SURV0000117,DUD100017,2022-12-23,5,5,5,4,4,5,5,5,5,True,
SURV0000118,DUD100017,2023-01-17,5,5,4,5,4,5,5,4,5,True,
SURV0000119,DUD100017,2023-02-22,3,2,2,2,2,2,4,4,2,False,
SURV0000120,DUD100017,2023-03-03,4,4,5,5,5,4,4,4,3,True,
SURV0000121,DUD100017,2023-04-27,4,3,4,4,4,3,5,4,5,True,
SURV0000122,DUD100018,2023-10-08,4,4,4,5,4,4,5,5,5,True,
SURV0000123,DUD100018,2023-11-27,4,3,5,4,4,5,5,4,5,True,
SURV0000124,DUD100018,2023-12-28,4,3,3,3,3,5,4,4,4,True,
SURV0000125,DUD100018,2024-01-15,4,4,5,4,4,5,5,4,4,True,
SURV0000126,DUD100018,2024-02-10,3,3,3,4,3,3,3,4,3,False,
SURV0000127,DUD100019,2023-12-12,4,4,4,5,3,3,4,4,3,True,
SURV0000128,DUD100019,2024-01-25,2,1,2,2,1,1,2,3,3,False,
SURV0000129,DUD100019,2024-02-22,3,2,3,2,2,4,3,3,4,False,
SURV0000130,DUD100019,2024-03-06,5,4,5,5,5,5,5,4,5,True,
SURV0000131,DUD100019,2024-04-02,4,3,4,3,4,4,5,3,3,True,
SURV0000132,DUD100019,2024-05-05,4,4,4,3,4,4,4,4,4,True,
SURV0000133,DUD100019,2024-06-28,1,1,1,1,2,1,1,1,2,False,
SURV0000134,DUD100020,2023-10-08,3,3,4,4,4,2,3,3,4,False,
SURV0000135,DUD100020,2023-11-01,3,4,2,4,3,3,3,3,2,False,
SURV0000136,DUD100020,2023-12-02,4,3,5,3,4,4,4,4,4,True,
SURV0000137,DUD100020,2024-01-07,4,4,4,5,4,4,4,3,4,True,
SURV0000138,DUD100020,2024-02-18,5,5,5,5,4,5,4,5,5,True,
SURV0000139,DUD100020,2024-03-28,3,2,2,3,3,2,4,4,3,False,
SURV0000140,DUD100020,2024-04-09,4,3,4,4,4,4,3,4,4,True,
SURV0000141,DUD100020,2024-05-09,4,5,4,3,5,4,3,4,5,True,
SURV0000142,DUD100020,2024-06-25,2,3,3,3,2,2,2,3,2,False,
SURV0000143,DUD100020,2024-07-10,3,3,4,3,2,4,4,3,3,False,
SURV0000144,DUD100020,2024-08-04,3,3,4,4,3,2,3,2,3,False,
SURV0000145,DUD100020,2024-09-21,4,3,4,4,3,4,4,4,4,True,
SURV0000146,DUD100021,2024-09-19,3,4,2,3,2,3,2,2,2,False,
SURV0000147,DUD100021,2024-10-17,3,2,4,4,3,3,3,3,2,False,
SURV0000148,DUD100021,2024-11-02,4,5,3,4,3,3,4,5,4,True,
SURV0000149,DUD100021,2024-12-11,4,4,4,4,4,4,4,5,4,True,
SURV0000150,DUD100021,2025-01-20,4,4,5,4,5,4,3,4,4,True,
SURV0000151,DUD100021,2025-02-14,4,5,3,4,3,5,4,4,4,True,
SURV0000152,DUD100022,2022-09-26,4,4,4,4,4,3,3,5,3,True,
SURV0000153,DUD100022,2022-10-17,5,5,5,5,5,5,5,4,5,True,
SURV0000154,DUD100022,2022-11-11,3,4,2,2,3,3,3,4,3,False,
SURV0000155,DUD100022,2022-12-20,5,5,5,5,5,5,5,5,5,True,
SURV0000156,DUD100022,2023-01-17,4,4,5,4,5,3,5,5,4,True,
SURV0000157,DUD100022,2023-02-07,3,3,3,4,3,3,2,3,4,False,
SURV0000158,DUD100022,2023-03-26,1,1,2,2,2,1,1,2,2,False,
SURV0000159,DUD100022,2023-04-13,4,5,4,5,4,3,4,4,3,True,
SURV0000160,DUD100022,2023-05-01,5,5,4,5,5,5,5,5,4,True,
SURV0000161,DUD100022,2023-06-11,4,5,4,3,4,4,4,4,3,True,
SURV0000162,DUD100022,2023-07-02,5,5,4,5,5,5,5,5,4,True,
SURV0000163,DUD100023,2024-09-17,4,4,5,3,5,4,5,3,4,True,
SURV0000164,DUD100023,2024-10-05,5,5,5,5,4,4,5,5,5,True,
SURV0000165,DUD100023,2024-11-08,4,5,5,4,4,5,4,3,3,True,
SURV0000166,DUD100023,2024-12-21,5,5,5,4,5,5,5,5,5,True,
SURV0000167,DUD100023,2025-01-08,4,3,5,3,3,3,5,3,4,True,
SURV0000168,DUD100023,2025-02-16,5,5,4,4,5,5,4,5,4,True,
SURV0000169,DUD100023,2025-03-07,4,4,4,4,4,4,5,4,5,True,
SURV0000170,DUD100023,2025-04-25,4,4,4,3,4,4,4,3,3,True,
SURV0000171,DUD100023,2025-05-24,4,4,5,3,5,4,4,5,5,True,
SURV0000172,DUD100023,2025-06-19,4,4,4,3,4,3,5,4,4,True,
SURV0000173,DUD100023,2025-07-23,3,3,4,3,4,3,3,3,2,False,
SURV0000174,DUD100024,2024-03-13,3,3,3,4,2,4,2,3,2,False,
SURV0000175,DUD100024,2024-04-03,3,3,3,3,2,3,2,4,3,False,
SURV0000176,DUD100024,2024-05-16,3,3,3,2,3,2,4,4,3,False,
SURV0000177,DUD100024,2024-06-15,4,4,4,4,4,5,3,3,4,True,
SURV0000178,DUD100024,2024-07-24,3,3,3,3,4,3,2,3,2,False,
SURV0000179,DUD100024,2024-08-10,4,4,4,5,5,4,3,5,4,True,
SURV0000180,DUD100024,2024-09-11,2,3,2,3,3,3,2,3,2,False,
SURV0000181,DUD100024,2024-10-28,5,5,5,5,5,5,5,5,4,True,
SURV0000182,DUD100024,2024-11-03,3,4,3,4,4,2,3,3,3,False,
SURV0000183,DUD100024,2024-12-02,4,4,5,4,5,4,4,5,5,True,
SURV0000184,DUD100024,2025-01-23,4,4,4,3,5,4,3,3,4,True,
SURV0000185,DUD100024,2025-02-24,3,3,3,2,3,3,3,3,3,False,
SURV0000186,DUD100025,2021-08-07,2,1,3,3,1,2,2,2,2,False,
SURV0000187,DUD100025,2021-09-09,4,4,3,4,4,4,5,4,4,True,
SURV0000188,DUD100025,2021-10-24,4,4,5,4,4,5,3,4,3,True,
SURV0000189,DUD100025,2021-11-20,3,3,3,2,3,3,3,2,3,False,
SURV0000190,DUD100025,2021-12-07,5,5,4,5,5,4,5,4,5,True,
SURV0000191,DUD100025,2022-01-15,4,4,4,4,3,4,3,5,4,True,
SURV0000192,DUD100025,2022-02-27,3,3,4,2,4,3,2,3,4,False,
SURV0000193,DUD100025,2022-03-08,4,5,4,3,5,5,3,4,4,True,
SURV0000194,DUD100025,2022-04-12,4,3,5,3,4,3,4,5,5,True,
SURV0000195,DUD100025,2022-05-25,4,4,4,4,5,3,5,5,3,True,
SURV0000196,DUD100025,2022-06-12,5,5,5,5,5,5,5,4,5,True,
SURV0000197,DUD100026,2022-06-06,5,5,5,4,5,4,5,5,5,True,
SURV0000198,DUD100026,2022-07-25,5,5,5,5,5,5,5,5,5,True,
SURV0000199,DUD100026,2022-08-01,1,1,1,1,1,2,2,1,1,False,
SURV0000200,DUD100026,2022-09-07,5,5,5,5,5,5,4,5,5,True,
SURV0000201,DUD100027,2024-09-16,4,4,4,4,5,4,4,4,4,True,
SURV0000202,DUD100027,2024-10-05,5,5,5,4,4,5,4,5,5,True,
SURV0000203,DUD100027,2024-11-02,4,3,5,5,3,4,3,3,5,True,
SURV0000204,DUD100027,2024-12-22,4,4,4,4,3,5,4,5,4,True,
SURV0000205,DUD100027,2025-01-07,4,5,5,5,4,4,5,4,4,True,
SURV0000206,DUD100027,2025-02-07,4,4,5,3,3,4,5,5,4,True,
SURV0000207,DUD100027,2025-03-19,4,5,4,5,3,4,4,4,5,True,
SURV0000208,DUD100027,2025-04-27,5,5,5,5,5,5,4,5,5,True,
SURV0000209,DUD100027,2025-05-09,4,4,5,3,4,4,3,3,3,True,
SURV0000210,DUD100027,2025-06-16,4,4,4,4,4,3,4,3,5,True,
SURV0000211,DUD100027,2025-07-22,4,3,3,3,4,5,3,4,3,True,
SURV0000212,DUD100027,2025-08-16,5,5,5,5,5,5,5,5,5,True,
SURV0000213,DUD100028,2023-08-05,4,3,3,4,5,3,4,4,3,True,
SURV0000214,DUD100028,2023-09-27,4,3,4,5,4,3,4,4,3,True,
SURV0000215,DUD100028,2023-10-11,4,4,5,4,5,3,4,4,4,True,
SURV0000216,DUD100028,2023-11-03,4,4,4,4,4,4,4,5,5,True,
SURV0000217,DUD100028,2023-12-27,4,4,4,4,4,3,4,4,4,True,
SURV0000218,DUD100028,2024-01-03,4,5,3,4,4,5,3,3,4,True,
SURV0000219,DUD100028,2024-02-06,3,2,3,3,3,4,3,2,3,False,
SURV0000220,DUD100028,2024-03-14,4,4,4,4,4,4,4,4,4,True,
SURV0000221,DUD100028,2024-04-12,2,3,3,1,1,2,1,2,2,False,
SURV0000222,DUD100028,2024-05-07,4,3,4,4,4,3,4,5,4,True,
SURV0000223,DUD100028,2024-06-06,4,4,5,4,4,3,5,5,5,True,
SURV0000224,DUD100029,2022-11-24,4,5,4,4,3,4,3,3,5,True,
SURV0000225,DUD100029,2022-12-07,4,4,4,4,5,4,5,4,3,True,
SURV0000226,DUD100029,2023-01-07,4,4,4,4,4,5,4,3,5,True,
SURV0000227,DUD100029,2023-02-28,3,3,2,4,4,2,3,3,3,False,
SURV0000228,DUD100029,2023-03-27,5,5,5,4,4,5,5,5,5,True,
SURV0000229,DUD100029,2023-04-08,4,5,4,4,3,4,5,4,4,True,
SURV0000230,DUD100029,2023-05-17,5,5,4,5,4,5,4,4,5,True,
SURV0000231,DUD100030,2023-09-05,4,3,4,4,4,4,5,5,3,True,
SURV0000232,DUD100030,2023-10-07,5,5,4,5,4,4,5,5,4,True,
SURV0000233,DUD100030,2023-11-25,4,3,5,5,4,4,4,3,3,True,
SURV0000234,DUD100030,2023-12-08,3,2,4,2,4,4,2,2,2,False,
SURV0000235,DUD100030,2024-01-24,3,3,3,3,3,3,3,3,3,False,
SURV0000236,DUD100031,2022-05-03,5,4,5,4,5,4,5,5,4,True,
SURV0000237,DUD100031,2022-06-22,5,5,5,5,5,5,4,5,5,True,
SURV0000238,DUD100031,2022-07-16,5,5,5,5,4,5,5,5,5,True,
SURV0000239,DUD100031,2022-08-01,5,4,5,5,5,5,4,5,4,True,
SURV0000240,DUD100031,2022-09-25,3,3,2,3,4,3,3,2,2,False,
SURV0000241,DUD100031,2022-10-01,4,5,4,3,4,3,4,3,3,True,
SURV0000242,DUD100031,2022-11-27,5,5,5,5,5,4,5,5,5,True,
SURV0000243,DUD100031,2022-12-13,5,4,5,4,5,5,5,5,5,True,
SURV0000244,DUD100031,2023-01-25,4,5,3,5,4,4,5,3,4,True,
SURV0000245,DUD100031,2023-02-17,3,2,3,2,3,3,3,3,2,False,
SURV0000246,DUD100031,2023-03-21,4,5,4,4,4,4,4,4,3,True,
SURV0000247,DUD100031,2023-04-10,5,5,5,5,5,5,4,5,5,True,
SURV0000248,DUD100032,2023-12-11,2,3,2,1,1,2,2,3,2,False,
SURV0000249,DUD100032,2024-01-12,1,1,1,2,1,1,1,1,2,False,
SURV0000250,DUD100032,2024-02-15,4,4,4,3,3,3,4,5,5,True,
SURV0000251,DUD100032,2024-03-17,5,5,5,5,5,4,5,4,5,True,
SURV0000252,DUD100032,2024-04-17,4,4,5,3,4,5,4,4,4,True,
SURV0000253,DUD100032,2024-05-08,5,5,5,5,5,5,5,4,4,True,
SURV0000254,DUD100032,2024-06-14,5,5,5,4,5,5,5,5,4,True,
SURV0000255,DUD100032,2024-07-25,4,4,5,5,5,5,4,3,3,True,
SURV0000256,DUD100033,2024-02-23,4,4,3,4,5,4,3,3,5,True,
SURV0000257,DUD100033,2024-03-24,2,2,2,1,2,2,2,2,2,False,
SURV0000258,DUD100033,2024-04-20,2,2,2,2,2,1,3,2,3,False,
SURV0000259,DUD100033,2024-05-23,2,1,3,2,2,1,2,2,1,False,
SURV0000260,DUD100033,2024-06-02,4,3,4,3,4,4,4,4,4,True,
SURV0000261,DUD100033,2024-07-18,3,2,3,4,3,4,3,3,3,False,
SURV0000262,DUD100033,2024-08-11,3,3,3,4,3,2,2,2,2,False,
SURV0000263,DUD100033,2024-09-19,5,5,5,5,4,5,5,5,5,True,
SURV0000264,DUD100033,2024-10-07,3,4,4,4,2,3,2,3,3,False,
SURV0000265,DUD100034,2024-03-12,3,2,2,3,3,4,4,3,2,False,
SURV0000266,DUD100034,2024-04-16,3,2,3,3,3,4,3,3,3,False,
SURV0000267,DUD100034,2024-05-22,3,3,3,3,3,4,2,3,3,False,
SURV0000268,DUD100034,2024-06-14,4,4,5,4,5,4,3,3,3,True,
SURV0000269,DUD100034,2024-07-07,3,2,4,3,2,3,3,3,2,False,
SURV0000270,DUD100035,2023-08-07,4,5,3,5,3,4,3,4,3,True,
SURV0000271,DUD100035,2023-09-27,4,4,3,3,3,5,3,4,3,True,
SURV0000272,DUD100035,2023-10-14,3,3,4,2,4,3,4,3,3,False,
SURV0000273,DUD100035,2023-11-24,3,2,3,2,3,3,2,3,3,False,
SURV0000274,DUD100035,2023-12-13,3,4,3,2,4,3,4,2,3,False,
SURV0000275,DUD100035,2024-01-06,3,3,4,4,2,2,3,3,3,False,
SURV0000276,DUD100036,2021-06-25,3,2,2,3,3,2,2,4,3,False,
SURV0000277,DUD100036,2021-07-16,4,4,4,4,3,5,5,4,5,True,
SURV0000278,DUD100036,2021-08-21,2,3,3,3,1,1,2,2,2,False,
SURV0000279,DUD100036,2021-09-06,5,5,5,5,4,5,5,5,5,True,
SURV0000280,DUD100036,2021-10-06,4,5,4,3,4,4,3,4,4,True,
SURV0000281,DUD100036,2021-11-02,5,4,5,5,4,5,4,5,5,True,
SURV0000282,DUD100037,2021-07-04,3,3,3,2,3,2,3,4,2,False,
SURV0000283,DUD100037,2021-08-22,4,3,3,5,3,4,4,4,4,True,
SURV0000284,DUD100037,2021-09-18,5,5,5,5,5,5,5,4,5,True,
SURV0000285,DUD100037,2021-10-18,4,3,5,4,5,5,5,5,4,True,
SURV0000286,DUD100037,2021-11-13,5,5,5,5,5,4,5,5,5,True,
SURV0000287,DUD100037,2021-12-16,5,4,5,5,5,5,4,4,5,True,
SURV0000288,DUD100037,2022-01-07,5,5,4,5,5,5,5,5,5,True,
SURV0000289,DUD100038,2022-05-18,3,2,3,3,3,3,3,3,3,False,
SURV0000290,DUD100038,2022-06-28,4,4,4,4,4,3,4,4,4,True,
SURV0000291,DUD100038,2022-07-12,2,2,2,2,3,3,2,2,2,False,
SURV0000292,DUD100038,2022-08-20,4,4,4,5,4,4,4,4,3,True,
SURV0000293,DUD100038,2022-09-14,4,3,5,4,5,3,5,4,4,True,
SURV0000294,DUD100038,2022-10-26,3,3,2,2,4,4,3,3,3,False,
SURV0000295,DUD100038,2022-11-28,2,2,2,3,2,2,3,1,2,False,
SURV0000296,DUD100039,2021-02-26,4,4,5,4,3,4,5,4,4,True,
SURV0000297,DUD100039,2021-03-08,4,4,5,3,3,4,5,3,4,True,
SURV0000298,DUD100039,2021-04-01,3,3,2,3,3,3,4,3,3,False,
SURV0000299,DUD100039,2021-05-14,3,3,3,4,4,3,4,4,3,False,
SURV0000300,DUD100039,2021-06-28,4,3,3,4,3,3,5,5,3,True,
SURV0000301,DUD100039,2021-07-14,4,5,4,4,5,3,4,4,5,True,
SURV0000302,DUD100039,2021-08-16,3,4,4,3,3,4,3,2,3,False,
SURV0000303,DUD100039,2021-09-17,3,3,3,2,3,4,4,3,2,False,
SURV0000304,DUD100039,2021-10-11,3,3,2,3,2,3,4,2,2,False,
SURV0000305,DUD100039,2021-11-02,4,4,4,5,4,4,4,4,5,True,
SURV0000306,DUD100040,2021-07-15,2,2,1,2,2,2,2,2,2,False,
SURV0000307,DUD100040,2021-08-03,4,3,4,3,4,4,4,5,4,True,
SURV0000308,DUD100040,2021-09-20,4,3,5,5,4,3,3,5,4,True,
SURV0000309,DUD100040,2021-10-13,4,4,4,5,4,4,5,3,4,True,
SURV0000310,DUD100040,2021-11-25,3,4,4,4,2,4,4,3,3,False,
SURV0000311,DUD100040,2021-12-14,2,2,2,2,2,3,3,2,2,False,
SURV0000312,DUD100040,2022-01-15,5,5,5,5,5,5,5,5,5,True,
SURV0000313,DUD100040,2022-02-25,5,5,5,5,5,5,4,5,5,True,
SURV0000314,DUD100040,2022-03-08,4,3,3,4,4,3,3,3,4,True,
SURV0000315,DUD100040,2022-04-21,5,5,5,5,5,4,4,5,4,True,
SURV0000316,DUD100041,2021-03-08,3,3,3,2,3,4,2,4,3,False,
SURV0000317,DUD100041,2021-04-12,3,3,3,3,2,4,4,3,2,False,
SURV0000318,DUD100041,2021-05-08,4,3,4,3,3,5,4,4,4,True,
SURV0000319,DUD100041,2021-06-06,4,5,5,5,5,4,3,4,4,True,
SURV0000320,DUD100041,2021-07-07,3,4,2,3,3,3,2,2,4,False,
SURV0000321,DUD100042,2022-08-02,4,5,4,3,4,4,5,4,4,True,
SURV0000322,DUD100042,2022-09-09,4,4,4,3,3,5,4,4,4,True,
SURV0000323,DUD100042,2022-10-04,2,3,2,3,3,1,2,3,2,False,
SURV0000324,DUD100042,2022-11-23,4,5,4,3,4,4,4,5,3,True,
SURV0000325,DUD100042,2022-12-14,4,3,5,3,5,3,4,4,4,True,
SURV0000326,DUD100042,2023-01-26,5,5,5,4,4,5,4,5,5,True,
SURV0000327,DUD100042,2023-02-25,4,3,4,4,3,5,4,5,4,True,
SURV0000328,DUD100042,2023-03-24,4,4,4,5,4,5,3,4,5,True,
SURV0000329,DUD100042,2023-04-06,3,3,2,3,3,4,3,3,3,False,
SURV0000330,DUD100043,2023-10-08,4,5,5,5,4,3,5,3,3,True,
SURV0000331,DUD100043,2023-11-15,2,1,2,2,1,2,1,1,1,False,
SURV0000332,DUD100043,2023-12-05,3,3,3,4,4,3,3,3,3,False,
SURV0000333,DUD100043,2024-01-08,5,5,4,5,5,5,4,5,5,True,
SURV0000334,DUD100043,2024-02-20,5,5,4,5,4,5,5,5,5,True,
SURV0000335,DUD100043,2024-03-22,4,4,5,4,4,4,5,3,5,True,
SURV0000336,DUD100043,2024-04-09,4,3,4,4,4,3,4,4,5,True,
