qualification_id,employee_id,qualification_name,qualification_type,issuing_organization,issue_date,expiry_date,qualification_status
QUAL000035,DUD100027,TESOL,Teaching Certification,TESOL International Association,2023-04-10,,Active
QUAL000036,DUD100028,CELTA,Teaching Certification,Cambridge English,2019-08-20,,Active
QUAL000037,DUD100029,TESOL,Teaching Certification,TESOL International Association,2024-08-26,,Active
QUAL000038,DUD100030,MA Education,Degree,University,2024-03-28,,Active
QUAL000039,DUD100030,BA Linguistics,Degree,University,2019-04-14,,Active
QUAL000040,DUD100031,BA Linguistics,Degree,University,2019-07-02,,Active
QUAL000041,DUD100032,MA Education,Degree,University,2019-04-20,,Active
QUAL000042,DUD100033,BA Linguistics,Degree,University,2018-03-26,,Active
QUAL000043,DUD100034,CELTA,Teaching Certification,Cambridge English,2023-08-10,,Active
QUAL000044,DUD100035,BA Education,Degree,University,2020-04-11,,Active
QUAL000045,DUD100035,CELTA,Teaching Certification,Cambridge English,2024-06-11,,Active
QUAL000046,DUD100036,CELTA,Teaching Certification,Cambridge English,2018-04-22,,Active
QUAL000047,DUD100037,BA Education,Degree,University,2018-03-11,,Active
QUAL000048,DUD100037,TEFL,Teaching Certification,International TEFL Academy,2020-05-03,,Active
QUAL000049,DUD100038,TESOL,Teaching Certification,TESOL International Association,2021-03-06,,Active
QUAL000050,DUD100039,BA Linguistics,Degree,University,2023-02-01,,Active
QUAL000051,DUD100039,TESOL,Teaching Certification,TESOL International Association,2023-08-09,,Active
QUAL000052,DUD100040,BA Education,Degree,University,2022-07-19,,Active
QUAL000053,DUD100040,CELTA,Teaching Certification,Cambridge English,2023-02-28,,Active
QUAL000054,DUD100041,TESOL,Teaching Certification,TESOL International Association,2024-03-04,2028-06-27,Active
QUAL000055,DUD100042,TESOL,Teaching Certification,TESOL International Association,2018-11-10,,Active
QUAL000056,DUD100043,BA English,Degree,University,2022-02-02,,Active
QUAL000057,DUD100044,CELTA,Teaching Certification,Cambridge English,2022-07-01,2026-05-13,Expired
QUAL000058,DUD100044,MA Education,Degree,University,2021-05-17,,Active
QUAL000059,DUD100045,BA English,Degree,University,2024-09-17,,Active
QUAL000060,DUD100046,CELTA,Teaching Certification,Cambridge English,2025-10-10,,Active
QUAL000061,DUD100046,TEFL,Teaching Certification,International TEFL Academy,2024-05-02,2026-09-02,Active
QUAL000062,DUD100047,BA Linguistics,Degree,University,2018-03-10,,Active
QUAL000063,DUD100048,MA Education,Degree,University,2018-06-14,,Active
QUAL000064,DUD100049,BA English,Degree,University,2018-06-22,,Active
QUAL000065,DUD100050,MA Education,Degree,University,2020-11-22,,Active
QUAL000066,DUD100051,CELTA,Teaching Certification,Cambridge English,2024-03-19,,Active
QUAL000067,DUD100052,MA Education,Degree,University,2020-11-08,,Active
QUAL000068,DUD100052,BA Linguistics,Degree,University,2019-06-26,,Active
QUAL000069,DUD100053,BA English,Degree,University,2020-06-23,,Active
QUAL000070,DUD100054,BA Education,Degree,University,2020-03-11,,Active
QUAL000071,DUD100055,BA Linguistics,Degree,University,2023-06-26,,Active
QUAL000072,DUD100055,MA Education,Degree,University,2025-09-14,,Active
QUAL000073,DUD100056,MA Education,Degree,University,2020-04-19,,Active
QUAL000074,DUD100057,BA Education,Degree,University,2025-10-12,,Active
QUAL000075,DUD100058,MA Education,Degree,University,2022-02-26,,Active
QUAL000076,DUD100058,CELTA,Teaching Certification,Cambridge English,2025-02-19,,Active
QUAL000077,DUD100059,BA Education,Degree,University,2019-10-14,,Active
QUAL000078,DUD100060,TEFL,Teaching Certification,International TEFL Academy,2020-04-22,,Active
QUAL000079,DUD100060,MA Education,Degree,University,2024-01-08,,Active
QUAL000080,DUD100061,BA Education,Degree,University,2020-04-06,,Active
QUAL000081,DUD100062,TESOL,Teaching Certification,TESOL International Association,2024-04-25,,Active
QUAL000082,DUD100063,TEFL,Teaching Certification,International TEFL Academy,2025-12-11,,Active
QUAL000083,DUD100064,BA Education,Degree,University,2022-04-23,,Active
QUAL000084,DUD100065,CELTA,Teaching Certification,Cambridge English,2023-12-04,,Active
QUAL000085,DUD100066,MA Education,Degree,University,2021-03-25,,Active
QUAL000086,DUD100066,TESOL,Teaching Certification,TESOL International Association,2025-08-07,,Active
QUAL000087,DUD100067,MA Education,Degree,University,2025-06-01,,Active
QUAL000088,DUD100067,BA Linguistics,Degree,University,2024-06-01,,Active
QUAL000089,DUD100068,TESOL,Teaching Certification,TESOL International Association,2018-03-26,,Active
QUAL000090,DUD100069,TESOL,Teaching Certification,TESOL International Association,2025-08-19,2029-11-27,Active
QUAL000091,DUD100069,CELTA,Teaching Certification,Cambridge English,2025-07-10,2028-04-13,Active
QUAL000092,DUD100070,TESOL,Teaching Certification,TESOL International Association,2018-07-04,,Active
QUAL000093,DUD100071,CELTA,Teaching Certification,Cambridge English,2022-02-27,,Active
QUAL000094,DUD100072,BA English,Degree,University,2023-12-10,,Active
QUAL000095,DUD100072,CELTA,Teaching Certification,Cambridge English,2022-07-02,,Active
QUAL000096,DUD100073,BA Education,Degree,University,2020-04-16,,Active
QUAL000097,DUD100074,TESOL,Teaching Certification,TESOL International Association,2024-12-20,,Active
QUAL000098,DUD100074,BA Education,Degree,University,2018-11-27,,Active
QUAL000099,DUD100075,TEFL,Teaching Certification,International TEFL Academy,2022-03-08,,Active
QUAL000100,DUD100075,BA Linguistics,Degree,University,2022-02-04,,Active
QUAL000101,DUD100076,TEFL,Teaching Certification,International TEFL Academy,2020-01-20,,Active
QUAL000102,DUD100077,MA Education,Degree,University,2019-10-15,,Active
QUAL000103,DUD100078,BA Education,Degree,University,2021-12-23,,Active
QUAL000104,DUD100079,MA Education,Degree,University,2023-04-13,,Active
QUAL000105,DUD100079,TESOL,Teaching Certification,TESOL International Association,2019-02-16,,Active
QUAL000106,DUD100080,BA Linguistics,Degree,University,2018-02-03,,Active
QUAL000107,DUD100081,BA Education,Degree,University,2025-04-12,,Active
QUAL000108,DUD100082,BA English,Degree,University,2023-04-01,,Active
QUAL000109,DUD100083,BA Linguistics,Degree,University,2024-03-27,,Active
QUAL000110,DUD100083,TEFL,Teaching Certification,International TEFL Academy,2018-05-23,2020-09-28,Expired
QUAL000111,DUD100084,BA English,Degree,University,2020-07-17,,Active
QUAL000112,DUD100085,CELTA,Teaching Certification,Cambridge English,2024-12-06,,Active
QUAL000113,DUD100086,BA Education,Degree,University,2024-06-23,,Active
QUAL000114,DUD100087,BA English,Degree,University,2022-11-07,,Active
QUAL000115,DUD100088,TEFL,Teaching Certification,International TEFL Academy,2024-03-05,,Active
QUAL000116,DUD100088,MA Education,Degree,University,2022-03-28,,Active
QUAL000117,DUD100089,CELTA,Teaching Certification,Cambridge English,2024-06-18,,Active
QUAL000118,DUD100090,BA English,Degree,University,2018-04-04,,Active
QUAL000119,DUD100090,BA Linguistics,Degree,University,2024-06-22,,Active
QUAL000120,DUD100091,BA Linguistics,Degree,University,2021-04-09,,Active
QUAL000121,DUD100092,TEFL,Teaching Certification,International TEFL Academy,2023-12-02,,Active
QUAL000122,DUD100093,CELTA,Teaching Certification,Cambridge English,2022-01-23,,Active
QUAL000123,DUD100094,CELTA,Teaching Certification,Cambridge English,2025-06-01,,Active
QUAL000124,DUD100094,MA Education,Degree,University,2023-12-04,,Active
QUAL000125,DUD100095,TESOL,Teaching Certification,TESOL International Association,2023-08-08,,Active
QUAL000126,DUD100096,BA English,Degree,University,2020-11-20,,Active
QUAL000127,DUD100097,CELTA,Teaching Certification,Cambridge English,2025-02-02,,Active
QUAL000128,DUD100097,BA Linguistics,Degree,University,2022-01-20,,Active
QUAL000129,DUD100098,BA Linguistics,Degree,University,2019-10-05,,Active
QUAL000130,DUD100099,CELTA,Teaching Certification,Cambridge English,2024-06-05,,Active
QUAL000131,DUD100100,MA Education,Degree,University,2023-04-27,,Active
QUAL000132,DUD100100,CELTA,Teaching Certification,Cambridge English,2020-10-12,,Active
QUAL000133,DUD100101,MA Education,Degree,University,2024-04-11,,Active
QUAL000134,DUD100101,TESOL,Teaching Certification,TESOL International Association,2020-05-02,,Active
QUAL000135,DUD100102,MA Education,Degree,University,2018-04-08,,Active
QUAL000136,DUD100103,TESOL,Teaching Certification,TESOL International Association,2024-05-02,,Active
QUAL000137,DUD100104,BA Education,Degree,University,2019-07-28,,Active
QUAL000138,DUD100105,CELTA,Teaching Certification,Cambridge English,2019-02-10,,Active
QUAL000139,DUD100106,BA Education,Degree,University,2020-11-26,,Active
QUAL000140,DUD100106,TESOL,Teaching Certification,TESOL International Association,2025-03-07,,Active
QUAL000141,DUD100107,CELTA,Teaching Certification,Cambridge English,2024-10-23,,Active
QUAL000142,DUD100108,CELTA,Teaching Certification,Cambridge English,2020-02-15,,Active
QUAL000143,DUD100109,TESOL,Teaching Certification,TESOL International Association,2021-07-17,,Active
QUAL000144,DUD100110,TEFL,Teaching Certification,International TEFL Academy,2019-07-01,,Active
QUAL000145,DUD100111,BA Linguistics,Degree,University,2024-08-27,,Active
QUAL000146,DUD100112,CELTA,Teaching Certification,Cambridge English,2025-03-23,2027-05-23,Active
QUAL000147,DUD100113,BA English,Degree,University,2021-07-08,,Active
QUAL000148,DUD100114,BA Linguistics,Degree,University,2020-01-11,,Active
QUAL000149,DUD100115,MA Education,Degree,University,2025-06-21,,Active
QUAL000150,DUD100115,TEFL,Teaching Certification,International TEFL Academy,2019-03-01,2021-08-18,Expired
QUAL000151,DUD100116,BA Education,Degree,University,2023-12-22,,Active
QUAL000152,DUD100117,BA Education,Degree,University,2018-05-28,,Active
QUAL000153,DUD100117,BA English,Degree,University,2023-01-22,,Active
QUAL000154,DUD100118,MA Education,Degree,University,2018-12-22,,Active
QUAL000155,DUD100119,CELTA,Teaching Certification,Cambridge English,2024-07-16,,Active
QUAL000156,DUD100120,BA English,Degree,University,2025-03-09,,Active
QUAL000157,DUD100120,BA Education,Degree,University,2018-01-13,,Active
QUAL000158,DUD100121,BA English,Degree,University,2025-08-13,,Active
QUAL000159,DUD100122,BA Linguistics,Degree,University,2024-07-24,,Active
QUAL000160,DUD100123,MA Education,Degree,University,2025-05-26,,Active
QUAL000161,DUD100124,CELTA,Teaching Certification,Cambridge English,2023-07-02,,Active
QUAL000162,DUD100124,BA English,Degree,University,2023-08-16,,Active
QUAL000163,DUD100125,BA Linguistics,Degree,University,2024-03-23,,Active
QUAL000164,DUD100126,BA Education,Degree,University,2021-04-05,,Active
QUAL000165,DUD100127,TESOL,Teaching Certification,TESOL International Association,2024-03-09,2026-10-04,Active
QUAL000166,DUD100127,BA Linguistics,Degree,University,2019-05-12,,Active
QUAL000167,DUD100128,MA Education,Degree,University,2025-07-21,,Active
QUAL000168,DUD100129,MA Education,Degree,University,2025-11-14,,Active
QUAL000169,DUD100129,TESOL,Teaching Certification,TESOL International Association,2021-02-28,,Active
QUAL000170,DUD100130,CELTA,Teaching Certification,Cambridge English,2020-02-12,,Active
QUAL000171,DUD100131,TESOL,Teaching Certification,TESOL International Association,2019-06-14,,Active
QUAL000172,DUD100132,TESOL,Teaching Certification,TESOL International Association,2025-06-04,,Active
QUAL000173,DUD100132,CELTA,Teaching Certification,Cambridge English,2022-05-21,,Active
QUAL000174,DUD100133,TEFL,Teaching Certification,International TEFL Academy,2018-06-20,,Active
QUAL000175,DUD100133,BA English,Degree,University,2025-07-23,,Active
QUAL000176,DUD100134,BA English,Degree,University,2025-03-21,,Active
QUAL000177,DUD100134,BA Education,Degree,University,2020-03-17,,Active
QUAL000178,DUD100135,CELTA,Teaching Certification,Cambridge English,2020-04-27,,Active
QUAL000179,DUD100136,BA Education,Degree,University,2025-06-25,,Active
QUAL000180,DUD100137,TESOL,Teaching Certification,TESOL International Association,2024-04-23,,Active
QUAL000181,DUD100137,TEFL,Teaching Certification,International TEFL Academy,2018-10-20,,Active
QUAL000182,DUD100138,TESOL,Teaching Certification,TESOL International Association,2020-01-02,,Active
QUAL000183,DUD100139,BA English,Degree,University,2020-05-04,,Active
QUAL000184,DUD100140,CELTA,Teaching Certification,Cambridge English,2021-12-05,,Active
QUAL000185,DUD100141,TESOL,Teaching Certification,TESOL International Association,2022-12-25,,Active
QUAL000186,DUD100142,BA Education,Degree,University,2024-07-23,,Active
QUAL000187,DUD100143,TEFL,Teaching Certification,International TEFL Academy,2018-03-08,,Active
QUAL000188,DUD100144,BA Education,Degree,University,2023-04-15,,Active
QUAL000189,DUD100145,TESOL,Teaching Certification,TESOL International Association,2022-08-16,,Active
QUAL000190,DUD100145,MA Education,Degree,University,2022-03-07,,Active
QUAL000191,DUD100146,BA English,Degree,University,2023-12-22,,Active
QUAL000192,DUD100146,BA Linguistics,Degree,University,2020-12-27,,Active
QUAL000193,DUD100147,MA Education,Degree,University,2019-04-08,,Active
QUAL000194,DUD100148,MA Education,Degree,University,2019-08-16,,Active
QUAL000195,DUD100149,TESOL,Teaching Certification,TESOL International Association,2019-04-27,,Active
QUAL000196,DUD100150,CELTA,Teaching Certification,Cambridge English,2021-02-11,,Active
QUAL000197,DUD100151,TESOL,Teaching Certification,TESOL International Association,2023-11-21,,Active
QUAL000198,DUD100152,MA Education,Degree,University,2025-05-22,,Active
QUAL000199,DUD100153,TESOL,Teaching Certification,TESOL International Association,2022-08-21,,Active
QUAL000200,DUD100154,BA Education,Degree,University,2018-05-11,,Active
QUAL000201,DUD100155,CELTA,Teaching Certification,Cambridge English,2022-03-05,,Active
QUAL000202,DUD100156,BA English,Degree,University,2023-01-17,,Active
QUAL000203,DUD100157,BA English,Degree,University,2021-03-28,,Active
QUAL000204,DUD100158,BA Education,Degree,University,2018-01-26,,Active
QUAL000205,DUD100158,MA Education,Degree,University,2021-05-14,,Active
QUAL000206,DUD100159,TEFL,Teaching Certification,International TEFL Academy,2020-03-19,,Active
QUAL000207,DUD100160,BA Education,Degree,University,2023-09-20,,Active
QUAL000208,DUD100161,BA Linguistics,Degree,University,2019-09-27,,Active
QUAL000209,DUD100161,BA English,Degree,University,2019-09-09,,Active
QUAL000210,DUD100162,BA English,Degree,University,2023-04-18,,Active
QUAL000211,DUD100163,TESOL,Teaching Certification,TESOL International Association,2022-06-23,,Active
QUAL000212,DUD100163,BA Linguistics,Degree,University,2020-04-15,,Active
QUAL000213,DUD100164,TESOL,Teaching Certification,TESOL International Association,2023-12-26,2026-07-06,Expired
QUAL000214,DUD100164,BA Linguistics,Degree,University,2020-11-06,,Active
QUAL000215,DUD100165,BA Education,Degree,University,2024-07-20,,Active
QUAL000216,DUD100166,TESOL,Teaching Certification,TESOL International Association,2021-04-25,,Active
QUAL000217,DUD100166,BA English,Degree,University,2018-07-10,,Active
QUAL000218,DUD100167,BA English,Degree,University,2021-02-02,,Active
QUAL000219,DUD100167,TEFL,Teaching Certification,International TEFL Academy,2018-01-03,,Active
QUAL000220,DUD100168,BA Linguistics,Degree,University,2018-11-13,,Active
QUAL000221,DUD100169,CELTA,Teaching Certification,Cambridge English,2023-07-05,,Active
QUAL000222,DUD100170,TESOL,Teaching Certification,TESOL International Association,2020-05-12,,Active
QUAL000223,DUD100171,TESOL,Teaching Certification,TESOL International Association,2022-07-27,,Active
QUAL000224,DUD100172,TESOL,Teaching Certification,TESOL International Association,2021-11-10,,Active
QUAL000225,DUD100173,TESOL,Teaching Certification,TESOL International Association,2025-05-22,,Active
QUAL000226,DUD100174,MA Education,Degree,University,2021-11-28,,Active
QUAL000227,DUD100175,BA Education,Degree,University,2023-07-04,,Active
QUAL000228,DUD100175,BA English,Degree,University,2019-05-19,,Active
QUAL000229,DUD100176,MA Education,Degree,University,2022-12-25,,Active
QUAL000230,DUD100176,BA English,Degree,University,2020-03-13,,Active
QUAL000231,DUD100177,BA Education,Degree,University,2020-12-16,,Active
QUAL000232,DUD100178,BA English,Degree,University,2020-12-07,,Active
QUAL000233,DUD100179,TEFL,Teaching Certification,International TEFL Academy,2025-03-22,,Active
QUAL000234,DUD100180,BA Education,Degree,University,2023-11-25,,Active
QUAL000235,DUD100180,TESOL,Teaching Certification,TESOL International Association,2023-02-08,,Active
QUAL000236,DUD100181,TESOL,Teaching Certification,TESOL International Association,2022-04-18,,Active
QUAL000237,DUD100182,BA Education,Degree,University,2021-05-01,,Active
QUAL000238,DUD100183,BA Linguistics,Degree,University,2025-09-10,,Active
QUAL000239,DUD100184,BA Linguistics,Degree,University,2022-07-05,,Active
QUAL000240,DUD100185,CELTA,Teaching Certification,Cambridge English,2025-04-06,,Active
QUAL000241,DUD100186,BA Education,Degree,University,2023-11-01,,Active
QUAL000242,DUD100187,MA Education,Degree,University,2019-01-26,,Active
QUAL000243,DUD100187,TESOL,Teaching Certification,TESOL International Association,2018-07-14,,Active
QUAL000244,DUD100188,BA English,Degree,University,2024-05-17,,Active
QUAL000245,DUD100188,TESOL,Teaching Certification,TESOL International Association,2022-01-11,,Active
QUAL000246,DUD100189,BA English,Degree,University,2025-10-23,,Active
QUAL000247,DUD100190,BA English,Degree,University,2024-03-20,,Active
QUAL000248,DUD100191,MA Education,Degree,University,2019-10-27,,Active
QUAL000249,DUD100191,BA Linguistics,Degree,University,2021-07-11,,Active
QUAL000250,DUD100192,BA Education,Degree,University,2022-01-14,,Active
QUAL000251,DUD100193,BA Linguistics,Degree,University,2025-02-09,,Active
QUAL000252,DUD100194,TESOL,Teaching Certification,TESOL International Association,2021-07-02,,Active
QUAL000253,DUD100195,BA English,Degree,University,2021-10-24,,Active
QUAL000254,DUD100195,MA Education,Degree,University,2020-09-27,,Active
QUAL000255,DUD100196,BA Linguistics,Degree,University,2018-02-02,,Active
QUAL000256,DUD100197,BA English,Degree,University,2021-08-17,,Active
QUAL000257,DUD100198,MA Education,Degree,University,2025-01-19,,Active
QUAL000258,DUD100199,BA Linguistics,Degree,University,2024-07-21,,Active
QUAL000259,DUD100200,BA Linguistics,Degree,University,2023-07-04,,Active
QUAL000260,DUD100201,BA English,Degree,University,2023-05-03,,Active
QUAL000261,DUD100202,MA Education,Degree,University,2022-12-23,,Active
QUAL000262,DUD100203,MA Education,Degree,University,2018-11-12,,Active
QUAL000263,DUD100203,BA Education,Degree,University,2019-02-10,,Active
QUAL000264,DUD100204,TESOL,Teaching Certification,TESOL International Association,2021-06-05,,Active
QUAL000265,DUD100205,TEFL,Teaching Certification,International TEFL Academy,2018-07-05,,Active
QUAL000266,DUD100206,CELTA,Teaching Certification,Cambridge English,2023-11-22,,Active
QUAL000267,DUD100207,TESOL,Teaching Certification,TESOL International Association,2023-06-21,,Active
QUAL000268,DUD100208,BA Education,Degree,University,2019-01-08,,Active
QUAL000269,DUD100209,BA Linguistics,Degree,University,2024-04-14,,Active
QUAL000270,DUD100209,BA Education,Degree,University,2020-03-12,,Active
QUAL000271,DUD100210,MA Education,Degree,University,2021-08-28,,Active
QUAL000272,DUD100211,TEFL,Teaching Certification,International TEFL Academy,2020-08-14,,Active
QUAL000273,DUD100211,BA English,Degree,University,2019-12-27,,Active
QUAL000274,DUD100212,BA Linguistics,Degree,University,2023-04-26,,Active
QUAL000275,DUD100213,TEFL,Teaching Certification,International TEFL Academy,2019-04-05,,Active
QUAL000276,DUD100214,CELTA,Teaching Certification,Cambridge English,2022-05-22,,Active
QUAL000277,DUD100215,BA English,Degree,University,2023-01-01,,Active
QUAL000278,DUD100215,BA Linguistics,Degree,University,2023-09-24,,Active
QUAL000279,DUD100216,BA English,Degree,University,2024-06-11,,Active
QUAL000280,DUD100217,BA Education,Degree,University,2020-02-26,,Active
QUAL000281,DUD100218,CELTA,Teaching Certification,Cambridge English,2021-05-21,,Active
QUAL000282,DUD100218,TESOL,Teaching Certification,TESOL International Association,2022-10-21,,Active
QUAL000283,DUD100219,TEFL,Teaching Certification,International TEFL Academy,2018-11-13,2020-11-06,Expired
QUAL000284,DUD100219,TESOL,Teaching Certification,TESOL International Association,2019-08-13,,Active
QUAL000285,DUD100220,MA Education,Degree,University,2025-04-01,,Active
QUAL000286,DUD100221,TESOL,Teaching Certification,TESOL International Association,2018-06-26,,Active
QUAL000287,DUD100221,MA Education,Degree,University,2020-04-12,,Active
QUAL000288,DUD100222,TEFL,Teaching Certification,International TEFL Academy,2018-01-13,,Active
QUAL000289,DUD100223,TEFL,Teaching Certification,International TEFL Academy,2022-08-09,,Active
QUAL000290,DUD100224,TESOL,Teaching Certification,TESOL International Association,2025-08-09,,Active
QUAL000291,DUD100225,MA Education,Degree,University,2021-08-13,,Active
QUAL000292,DUD100225,BA Linguistics,Degree,University,2024-06-01,,Active
QUAL000293,DUD100226,MA Education,Degree,University,2021-10-11,,Active
QUAL000294,DUD100226,TEFL,Teaching Certification,International TEFL Academy,2021-01-03,,Active
QUAL000295,DUD100227,TESOL,Teaching Certification,TESOL International Association,2024-12-12,,Active
QUAL000296,DUD100227,BA Linguistics,Degree,University,2023-09-10,,Active
QUAL000297,DUD100228,BA Education,Degree,University,2022-08-15,,Active
QUAL000298,DUD100229,MA Education,Degree,University,2023-05-26,,Active
QUAL000299,DUD100230,BA Linguistics,Degree,University,2018-12-03,,Active
QUAL000300,DUD100231,BA Education,Degree,University,2024-04-18,,Active
QUAL000301,DUD100232,BA English,Degree,University,2020-03-25,,Active
QUAL000302,DUD100233,CELTA,Teaching Certification,Cambridge English,2019-11-25,,Active
QUAL000303,DUD100234,BA Linguistics,Degree,University,2019-02-19,,Active
QUAL000304,DUD100235,BA Linguistics,Degree,University,2024-01-11,,Active
QUAL000305,DUD100235,BA Education,Degree,University,2020-09-25,,Active
QUAL000306,DUD100236,BA Linguistics,Degree,University,2021-01-10,,Active
QUAL000307,DUD100236,MA Education,Degree,University,2024-09-04,,Active
QUAL000308,DUD100237,CELTA,Teaching Certification,Cambridge English,2025-12-06,,Active
QUAL000309,DUD100238,TEFL,Teaching Certification,International TEFL Academy,2022-10-04,2024-10-07,Expired
QUAL000310,DUD100239,BA Linguistics,Degree,University,2025-11-09,,Active
QUAL000311,DUD100239,BA Education,Degree,University,2020-01-05,,Active
QUAL000312,DUD100240,BA English,Degree,University,2025-05-21,,Active
QUAL000313,DUD100240,BA Linguistics,Degree,University,2025-02-22,,Active
QUAL000314,DUD100241,BA Education,Degree,University,2022-02-10,,Active
QUAL000315,DUD100241,TEFL,Teaching Certification,International TEFL Academy,2022-04-26,2025-12-06,Expired
QUAL000316,DUD100242,TEFL,Teaching Certification,International TEFL Academy,2022-09-08,,Active
QUAL000317,DUD100243,BA English,Degree,University,2022-10-12,,Active
QUAL000318,DUD100244,BA Education,Degree,University,2021-08-10,,Active
QUAL000319,DUD100245,BA Linguistics,Degree,University,2020-08-17,,Active
QUAL000320,DUD100246,BA English,Degree,University,2020-06-03,,Active
QUAL000321,DUD100247,BA English,Degree,University,2024-06-27,,Active
QUAL000322,DUD100248,BA English,Degree,University,2021-12-26,,Active
QUAL000323,DUD100249,TEFL,Teaching Certification,International TEFL Academy,2023-07-02,,Active
QUAL000324,DUD100249,BA Linguistics,Degree,University,2023-03-07,,Active
QUAL000325,DUD100250,MA Education,Degree,University,2020-11-14,,Active
QUAL000326,DUD100250,BA English,Degree,University,2019-02-18,,Active
QUAL000327,DUD100251,BA Education,Degree,University,2023-01-12,,Active
QUAL000328,DUD100252,BA Linguistics,Degree,University,2019-04-22,,Active
QUAL000329,DUD100252,CELTA,Teaching Certification,Cambridge English,2023-06-20,2026-08-04,Expired
QUAL000330,DUD100253,CELTA,Teaching Certification,Cambridge English,2020-01-03,,Active
QUAL000331,DUD100253,BA English,Degree,University,2022-11-09,,Active
QUAL000332,DUD100254,TESOL,Teaching Certification,TESOL International Association,2018-03-14,,Active
QUAL000333,DUD100254,BA English,Degree,University,2019-02-23,,Active
QUAL000334,DUD100255,BA Education,Degree,University,2019-01-13,,Active
QUAL000335,DUD100256,TESOL,Teaching Certification,TESOL International Association,2021-04-14,,Active
QUAL000336,DUD100257,BA English,Degree,University,2023-09-02,,Active
QUAL000337,DUD100258,CELTA,Teaching Certification,Cambridge English,2023-01-21,,Active
QUAL000338,DUD100259,BA Education,Degree,University,2022-12-16,,Active
QUAL000339,DUD100260,BA Education,Degree,University,2020-02-28,,Active
QUAL000340,DUD100261,CELTA,Teaching Certification,Cambridge English,2022-01-01,,Active
QUAL000341,DUD100261,TESOL,Teaching Certification,TESOL International Association,2024-09-08,,Active
QUAL000342,DUD100262,CELTA,Teaching Certification,Cambridge English,2021-12-06,,Active
QUAL000343,DUD100263,TEFL,Teaching Certification,International TEFL Academy,2021-08-03,2023-12-06,Expired
QUAL000344,DUD100263,BA Linguistics,Degree,University,2018-11-16,,Active
QUAL000345,DUD100264,BA English,Degree,University,2020-11-01,,Active
QUAL000346,DUD100265,TESOL,Teaching Certification,TESOL International Association,2019-05-11,,Active
QUAL000347,DUD100265,TEFL,Teaching Certification,International TEFL Academy,2022-04-01,2025-01-09,Expired
QUAL000348,DUD100266,TEFL,Teaching Certification,International TEFL Academy,2018-02-03,,Active
QUAL000349,DUD100267,BA Education,Degree,University,2023-12-28,,Active
