school_id,client_id,school_name,school_type,prefecture,city,opening_date,school_status
SCH00063,CLI0041,Asahi Itabashi Private School,Private School,Tokyo,Itabashi,2018-03-19,Inactive
SCH00064,CLI0042,Seiwa Kawasaki Kindergarten,Kindergarten,Kanagawa,Kawasaki,2013-05-11,Active
SCH00065,CLI0043,Asahi Ichikawa Public Junior High School,Public Junior High School,Chiba,Ichikawa,2012-11-27,Active
SCH00066,CLI0044,Midori Warabi Private School,Private School,Saitama,Warabi,2022-08-12,Active
SCH00067,CLI0044,Haruka Yokohama High School,High School,Kanagawa,Yokohama,1984-10-18,Active
SCH00068,CLI0045,Haruka Soka Private School,Private School,Saitama,Soka,2003-01-26,Active
SCH00069,CLI0045,Midori Funabashi English School,English School,Chiba,Funabashi,1987-10-19,Active
SCH00070,CLI0046,Tsubaki Ichikawa High School,High School,Chiba,Ichikawa,1996-04-18,Active
SCH00071,CLI0046,Midori Saitama Private School,Private School,Saitama,Saitama,1986-07-25,Active
SCH00072,CLI0046,Koyo Sagamihara Education Center,Education Center,Kanagawa,Sagamihara,1983-11-18,Active
SCH00073,CLI0047,Tsubaki Warabi High School,High School,Saitama,Warabi,2017-05-07,Active
SCH00074,CLI0047,Mirai Funabashi High School,High School,Chiba,Funabashi,1992-04-26,Inactive
SCH00075,CLI0047,Midori Chiba Public Elementary School,Public Elementary School,Chiba,Chiba,2001-06-23,Inactive
SCH00076,CLI0048,Seiwa Sagamihara Kindergarten,Kindergarten,Kanagawa,Sagamihara,1998-09-23,Active
SCH00077,CLI0048,Tsubaki Yamato Education Center,Education Center,Kanagawa,Yamato,2018-04-28,Active
SCH00078,CLI0049,Asahi Soka English School,English School,Saitama,Soka,1988-07-09,Active
SCH00079,CLI0049,Midori Yokohama Education Center,Education Center,Kanagawa,Yokohama,1983-03-01,Active
SCH00080,CLI0050,Seiwa Chiba High School,High School,Chiba,Chiba,1981-05-09,Active
SCH00081,CLI0050,Hikari Kawaguchi Private School,Private School,Saitama,Kawaguchi,1996-02-11,Active
SCH00082,CLI0050,Seiwa Toda Public Elementary School,Public Elementary School,Saitama,Toda,1984-04-10,Active
SCH00083,CLI0051,Hikari Matsudo English School,English School,Chiba,Matsudo,1994-08-28,Active
SCH00084,CLI0051,Seiwa Hachioji High School,High School,Tokyo,Hachioji,2008-07-13,Active
SCH00085,CLI0052,Koyo Funabashi Public Elementary School,Public Elementary School,Chiba,Funabashi,1998-12-02,Active
SCH00086,CLI0052,Kizuna Fujisawa High School,High School,Kanagawa,Fujisawa,2024-10-14,Active
SCH00087,CLI0053,Sakura Kawasaki High School,High School,Kanagawa,Kawasaki,1988-11-05,Inactive
SCH00088,CLI0054,Sakura Yokohama Education Center,Education Center,Kanagawa,Yokohama,2003-05-07,Active
SCH00089,CLI0054,Haruka Ota English School,English School,Tokyo,Ota,2011-08-03,Active
SCH00090,CLI0054,Haruka Koshigaya Private School,Private School,Saitama,Koshigaya,2011-09-03,Active
SCH00091,CLI0055,Hikari Katsushika Public Elementary School,Public Elementary School,Tokyo,Katsushika,1997-11-11,Active
SCH00092,CLI0055,Midori Matsudo Private School,Private School,Chiba,Matsudo,2012-08-13,Active
SCH00093,CLI0056,Sakura Toda Education Center,Education Center,Saitama,Toda,1997-10-23,Active
SCH00094,CLI0056,Tsubaki Kashiwa Education Center,Education Center,Chiba,Kashiwa,2013-05-09,Active
SCH00095,CLI0057,Koyo Toda High School,High School,Saitama,Toda,2013-03-07,Active
SCH00096,CLI0058,Mirai Fujisawa Public Elementary School,Public Elementary School,Kanagawa,Fujisawa,2021-12-15,Active
SCH00097,CLI0058,Mirai Chiba High School,High School,Chiba,Chiba,1997-03-28,Active
SCH00098,CLI0058,Hikari Koshigaya Public Elementary School,Public Elementary School,Saitama,Koshigaya,1980-08-12,Active
SCH00099,CLI0059,Koyo Koshigaya Kindergarten,Kindergarten,Saitama,Koshigaya,1985-06-15,Active
SCH00100,CLI0059,Tsubaki Chiba Public Junior High School,Public Junior High School,Chiba,Chiba,2024-03-24,Inactive
SCH00101,CLI0060,Mirai Itabashi Public Elementary School,Public Elementary School,Tokyo,Itabashi,1996-03-11,Active
SCH00102,CLI0060,Asahi Kawasaki Kindergarten,Kindergarten,Kanagawa,Kawasaki,2000-07-04,Active
SCH00103,CLI0061,Seiwa Soka Private School,Private School,Saitama,Soka,1986-02-18,Active
SCH00104,CLI0062,Seiwa Koganei High School,High School,Tokyo,Koganei,2015-04-27,Active
SCH00105,CLI0063,Kizuna Funabashi Kindergarten,Kindergarten,Chiba,Funabashi,2002-02-19,Active
SCH00106,CLI0064,Hikari Yamato Public Junior High School,Public Junior High School,Kanagawa,Yamato,2023-04-17,Active
SCH00107,CLI0064,Koyo Saitama High School,High School,Saitama,Saitama,2018-01-19,Active
SCH00108,CLI0065,Mirai Tachikawa High School,High School,Tokyo,Tachikawa,2020-06-22,Active
SCH00109,CLI0065,Hikari Yamato English School,English School,Kanagawa,Yamato,2018-02-20,Active
SCH00110,CLI0066,Mirai Hachioji Public Junior High School,Public Junior High School,Tokyo,Hachioji,2008-02-05,Active
SCH00111,CLI0067,Kizuna Warabi Kindergarten,Kindergarten,Saitama,Warabi,2019-10-12,Active
SCH00112,CLI0067,Sakura Koshigaya High School,High School,Saitama,Koshigaya,2003-12-09,Active
SCH00113,CLI0068,Midori Katsushika Private School,Private School,Tokyo,Katsushika,1990-11-08,Inactive
SCH00114,CLI0068,Hikari Yokohama Kindergarten,Kindergarten,Kanagawa,Yokohama,2012-04-20,Active
SCH00115,CLI0069,Tsubaki Tachikawa High School,High School,Tokyo,Tachikawa,1986-07-22,Active
SCH00116,CLI0070,Mirai Kawasaki Kindergarten,Kindergarten,Kanagawa,Kawasaki,2014-07-19,Active
SCH00117,CLI0071,Koyo Itabashi Kindergarten,Kindergarten,Tokyo,Itabashi,1984-07-02,Active
SCH00118,CLI0071,Koyo Matsudo English School,English School,Chiba,Matsudo,2013-12-27,Active
SCH00119,CLI0072,Asahi Toda High School,High School,Saitama,Toda,1985-03-05,Active
SCH00120,CLI0073,Haruka Koshigaya Kindergarten,Kindergarten,Saitama,Koshigaya,1998-10-16,Active
SCH00121,CLI0073,Kizuna Kawasaki Public Elementary School,Public Elementary School,Kanagawa,Kawasaki,2016-01-23,Active
SCH00122,CLI0074,Midori Warabi Private School,Private School,Saitama,Warabi,2019-07-04,Active
SCH00123,CLI0075,Mirai Koshigaya High School,High School,Saitama,Koshigaya,1993-03-10,Active
SCH00124,CLI0076,Tsubaki Kawasaki Public Junior High School,Public Junior High School,Kanagawa,Kawasaki,1996-02-10,Active
SCH00125,CLI0076,Haruka Adachi Kindergarten,Kindergarten,Tokyo,Adachi,1983-09-17,Active
SCH00126,CLI0076,Tsubaki Funabashi Public Elementary School,Public Elementary School,Chiba,Funabashi,1988-10-10,Active
SCH00127,CLI0077,Sakura Kita Private School,Private School,Tokyo,Kita,2012-03-21,Active
SCH00128,CLI0077,Tsubaki Fujisawa High School,High School,Kanagawa,Fujisawa,2005-04-01,Active
SCH00129,CLI0078,Hikari Kawaguchi Public Elementary School,Public Elementary School,Saitama,Kawaguchi,1995-06-07,Inactive
SCH00130,CLI0079,Asahi Sagamihara Public Elementary School,Public Elementary School,Kanagawa,Sagamihara,2021-03-28,Inactive
SCH00131,CLI0080,Kizuna Adachi Public Elementary School,Public Elementary School,Tokyo,Adachi,1992-03-10,Active
SCH00132,CLI0080,Seiwa Sagamihara Private School,Private School,Kanagawa,Sagamihara,1989-02-01,Active
SCH00133,CLI0081,Seiwa Funabashi English School,English School,Chiba,Funabashi,1981-02-11,Inactive
SCH00134,CLI0082,Haruka Nerima Public Junior High School,Public Junior High School,Tokyo,Nerima,1997-05-21,Active
SCH00135,CLI0082,Mirai Ichikawa High School,High School,Chiba,Ichikawa,2012-06-11,Active
SCH00136,CLI0083,Asahi Kawagoe Private School,Private School,Saitama,Kawagoe,2011-11-19,Active
SCH00137,CLI0084,Haruka Edogawa Education Center,Education Center,Tokyo,Edogawa,2004-12-09,Active
SCH00138,CLI0085,Seiwa Saitama Education Center,Education Center,Saitama,Saitama,1991-05-12,Inactive
SCH00139,CLI0085,Hikari Yokohama English School,English School,Kanagawa,Yokohama,1990-10-22,Active
SCH00140,CLI0086,Mirai Yamato Education Center,Education Center,Kanagawa,Yamato,2002-02-16,Active
SCH00141,CLI0086,Midori Koshigaya Kindergarten,Kindergarten,Saitama,Koshigaya,2003-10-19,Active
SCH00142,CLI0086,Hikari Warabi Kindergarten,Kindergarten,Saitama,Warabi,2017-07-09,Inactive
SCH00143,CLI0087,Haruka Soka English School,English School,Saitama,Soka,1999-07-09,Active
SCH00144,CLI0087,Koyo Koshigaya Education Center,Education Center,Saitama,Koshigaya,1985-01-23,Active
SCH00145,CLI0088,Haruka Nerima English School,English School,Tokyo,Nerima,2022-09-12,Active
SCH00146,CLI0088,Hikari Soka English School,English School,Saitama,Soka,2002-08-02,Active
SCH00147,CLI0088,Seiwa Toda Public Junior High School,Public Junior High School,Saitama,Toda,2023-01-01,Active
SCH00148,CLI0089,Seiwa Katsushika Education Center,Education Center,Tokyo,Katsushika,2006-11-03,Active
SCH00149,CLI0090,Midori Ichikawa Kindergarten,Kindergarten,Chiba,Ichikawa,2012-03-24,Active
SCH00150,CLI0090,Koyo Itabashi Education Center,Education Center,Tokyo,Itabashi,1981-06-28,Active
SCH00151,CLI0091,Tsubaki Katsushika Kindergarten,Kindergarten,Tokyo,Katsushika,2007-11-18,Active
SCH00152,CLI0092,Midori Kita English School,English School,Tokyo,Kita,1996-10-20,Active
SCH00153,CLI0092,Koyo Kawasaki High School,High School,Kanagawa,Kawasaki,1982-12-28,Active
SCH00154,CLI0093,Midori Koshigaya English School,English School,Saitama,Koshigaya,2006-05-25,Active
SCH00155,CLI0094,Mirai Ichikawa Private School,Private School,Chiba,Ichikawa,2008-01-01,Active
SCH00156,CLI0094,Kizuna Kawagoe High School,High School,Saitama,Kawagoe,1985-09-03,Active
SCH00157,CLI0095,Midori Matsudo High School,High School,Chiba,Matsudo,1980-02-19,Active
SCH00158,CLI0095,Sakura Soka English School,English School,Saitama,Soka,1985-10-10,Inactive
SCH00159,CLI0095,Mirai Urayasu Public Elementary School,Public Elementary School,Chiba,Urayasu,2000-02-18,Active
SCH00160,CLI0096,Tsubaki Fujisawa Public Elementary School,Public Elementary School,Kanagawa,Fujisawa,2019-02-16,Active
SCH00161,CLI0097,Tsubaki Yamato Private School,Private School,Kanagawa,Yamato,2020-09-21,Active
SCH00162,CLI0098,Koyo Saitama Private School,Private School,Saitama,Saitama,1987-02-05,Inactive
SCH00163,CLI0098,Sakura Koshigaya English School,English School,Saitama,Koshigaya,1995-05-01,Active
SCH00164,CLI0098,Hikari Koganei English School,English School,Tokyo,Koganei,2016-12-03,Active
SCH00165,CLI0099,Koyo Kawaguchi Private School,Private School,Saitama,Kawaguchi,2021-11-23,Active
SCH00166,CLI0100,Asahi Ichikawa Private School,Private School,Chiba,Ichikawa,1990-05-28,Active
SCH00167,CLI0100,Seiwa Yokohama Education Center,Education Center,Kanagawa,Yokohama,1999-02-08,Active
SCH00168,CLI0100,Mirai Kawasaki High School,High School,Kanagawa,Kawasaki,2023-12-08,Active
SCH00169,CLI0101,Midori Sagamihara Public Junior High School,Public Junior High School,Kanagawa,Sagamihara,1992-04-12,Active
SCH00170,CLI0101,Mirai Urayasu Public Elementary School,Public Elementary School,Chiba,Urayasu,2015-03-02,Active
SCH00171,CLI0102,Tsubaki Soka Kindergarten,Kindergarten,Saitama,Soka,1984-08-05,Active
SCH00172,CLI0102,Hikari Funabashi Public Elementary School,Public Elementary School,Chiba,Funabashi,1984-04-23,Active
SCH00173,CLI0103,Asahi Kita Education Center,Education Center,Tokyo,Kita,1980-10-20,Inactive
SCH00174,CLI0103,Tsubaki Kawasaki Kindergarten,Kindergarten,Kanagawa,Kawasaki,2017-02-01,Active
SCH00175,CLI0103,Mirai Hachioji Public Elementary School,Public Elementary School,Tokyo,Hachioji,1983-04-08,Active
SCH00176,CLI0104,Mirai Koganei English School,English School,Tokyo,Koganei,2007-08-16,Active
SCH00177,CLI0105,Sakura Kawaguchi Public Junior High School,Public Junior High School,Saitama,Kawaguchi,1994-09-17,Active
SCH00178,CLI0106,Sakura Tachikawa English School,English School,Tokyo,Tachikawa,2014-10-06,Active
SCH00179,CLI0107,Mirai Matsudo High School,High School,Chiba,Matsudo,2015-12-02,Active
SCH00180,CLI0107,Midori Hachioji Public Junior High School,Public Junior High School,Tokyo,Hachioji,2003-09-23,Active
SCH00181,CLI0108,Haruka Kawaguchi High School,High School,Saitama,Kawaguchi,1991-05-21,Active
SCH00182,CLI0108,Koyo Tachikawa Education Center,Education Center,Tokyo,Tachikawa,2018-05-27,Active
SCH00183,CLI0109,Hikari Yokohama Education Center,Education Center,Kanagawa,Yokohama,1980-05-15,Inactive
SCH00184,CLI0110,Seiwa Yokohama English School,English School,Kanagawa,Yokohama,2009-08-11,Active
SCH00185,CLI0111,Kizuna Sagamihara English School,English School,Kanagawa,Sagamihara,2015-10-04,Active
SCH00186,CLI0111,Kizuna Nerima Education Center,Education Center,Tokyo,Nerima,1986-06-16,Active
SCH00187,CLI0111,Mirai Chiba Public Elementary School,Public Elementary School,Chiba,Chiba,1984-11-18,Active
SCH00188,CLI0112,Sakura Koshigaya Public Elementary School,Public Elementary School,Saitama,Koshigaya,2023-11-25,Active
SCH00189,CLI0112,Hikari Yokohama High School,High School,Kanagawa,Yokohama,2009-03-23,Active
SCH00190,CLI0113,Haruka Itabashi Public Junior High School,Public Junior High School,Tokyo,Itabashi,1980-04-09,Active
SCH00191,CLI0113,Hikari Ota Public Junior High School,Public Junior High School,Tokyo,Ota,2004-04-20,Active
SCH00192,CLI0114,Asahi Sagamihara Education Center,Education Center,Kanagawa,Sagamihara,1993-02-18,Active
SCH00193,CLI0115,Mirai Toda High School,High School,Saitama,Toda,1982-10-11,Active
SCH00194,CLI0116,Sakura Kawasaki English School,English School,Kanagawa,Kawasaki,1985-04-04,Active
SCH00195,CLI0116,Sakura Yokohama Private School,Private School,Kanagawa,Yokohama,2021-10-14,Active
SCH00196,CLI0117,Midori Nerima Kindergarten,Kindergarten,Tokyo,Nerima,1982-09-24,Active
SCH00197,CLI0118,Kizuna Chiba Kindergarten,Kindergarten,Chiba,Chiba,1990-03-07,Active
SCH00198,CLI0118,Haruka Nerima Public Junior High School,Public Junior High School,Tokyo,Nerima,2004-11-21,Active
SCH00199,CLI0118,Asahi Yamato Education Center,Education Center,Kanagawa,Yamato,1987-12-09,Active
SCH00200,CLI0119,Hikari Koganei English School,English School,Tokyo,Koganei,1980-04-27,Active
SCH00201,CLI0119,Tsubaki Yamato Public Junior High School,Public Junior High School,Kanagawa,Yamato,2001-10-22,Active
SCH00202,CLI0120,Asahi Saitama Kindergarten,Kindergarten,Saitama,Saitama,2005-04-08,Active
SCH00203,CLI0120,Seiwa Yokohama High School,High School,Kanagawa,Yokohama,2003-12-18,Active
SCH00204,CLI0121,Seiwa Funabashi Public Junior High School,Public Junior High School,Chiba,Funabashi,1983-10-05,Active
SCH00205,CLI0121,Mirai Nerima Private School,Private School,Tokyo,Nerima,1990-10-19,Active
SCH00206,CLI0122,Kizuna Nerima Kindergarten,Kindergarten,Tokyo,Nerima,1983-05-11,Active
SCH00207,CLI0123,Mirai Kawagoe Public Junior High School,Public Junior High School,Saitama,Kawagoe,1997-02-28,Active
SCH00208,CLI0124,Asahi Matsudo Public Elementary School,Public Elementary School,Chiba,Matsudo,2010-08-08,Active
SCH00209,CLI0125,Sakura Funabashi Kindergarten,Kindergarten,Chiba,Funabashi,2018-07-16,Active
SCH00210,CLI0126,Midori Koganei Public Elementary School,Public Elementary School,Tokyo,Koganei,2020-01-11,Active
SCH00211,CLI0127,Asahi Urayasu Education Center,Education Center,Chiba,Urayasu,2008-08-20,Inactive
SCH00212,CLI0128,Tsubaki Urayasu High School,High School,Chiba,Urayasu,2018-04-22,Active
SCH00213,CLI0129,Tsubaki Sagamihara High School,High School,Kanagawa,Sagamihara,1987-07-10,Active
SCH00214,CLI0130,Kizuna Toda Education Center,Education Center,Saitama,Toda,1985-07-04,Active
SCH00215,CLI0130,Tsubaki Kawagoe Education Center,Education Center,Saitama,Kawagoe,1985-11-11,Active
SCH00216,CLI0131,Seiwa Warabi High School,High School,Saitama,Warabi,1990-02-11,Active
SCH00217,CLI0132,Kizuna Kawasaki Kindergarten,Kindergarten,Kanagawa,Kawasaki,2011-11-10,Active
SCH00218,CLI0132,Midori Adachi Public Elementary School,Public Elementary School,Tokyo,Adachi,1993-10-09,Active
SCH00219,CLI0133,Mirai Sagamihara Private School,Private School,Kanagawa,Sagamihara,1982-10-10,Active
SCH00220,CLI0134,Hikari Koshigaya Private School,Private School,Saitama,Koshigaya,1997-06-18,Active
SCH00221,CLI0134,Midori Funabashi Public Junior High School,Public Junior High School,Chiba,Funabashi,2006-08-08,Active
SCH00222,CLI0135,Koyo Itabashi Kindergarten,Kindergarten,Tokyo,Itabashi,1990-10-20,Active
SCH00223,CLI0135,Mirai Fujisawa English School,English School,Kanagawa,Fujisawa,2017-05-08,Active
SCH00224,CLI0136,Asahi Kawaguchi English School,English School,Saitama,Kawaguchi,2018-02-18,Active
SCH00225,CLI0137,Midori Matsudo Public Junior High School,Public Junior High School,Chiba,Matsudo,1986-10-07,Active
SCH00226,CLI0137,Hikari Ichikawa English School,English School,Chiba,Ichikawa,1998-01-27,Active
SCH00227,CLI0138,Sakura Kita English School,English School,Tokyo,Kita,1980-09-20,Active
SCH00228,CLI0139,Haruka Nerima Kindergarten,Kindergarten,Tokyo,Nerima,2011-04-26,Active
SCH00229,CLI0139,Kizuna Warabi English School,English School,Saitama,Warabi,2002-12-28,Inactive
SCH00230,CLI0140,Kizuna Sagamihara English School,English School,Kanagawa,Sagamihara,1980-06-27,Active
SCH00231,CLI0141,Mirai Toda Private School,Private School,Saitama,Toda,2012-12-05,Active
SCH00232,CLI0141,Asahi Edogawa Public Elementary School,Public Elementary School,Tokyo,Edogawa,2011-05-13,Active
SCH00233,CLI0142,Sakura Soka Education Center,Education Center,Saitama,Soka,2003-04-15,Active
SCH00234,CLI0142,Hikari Tachikawa High School,High School,Tokyo,Tachikawa,2018-05-08,Active
SCH00235,CLI0142,Hikari Kawasaki Private School,Private School,Kanagawa,Kawasaki,2002-12-14,Active
SCH00236,CLI0143,Koyo Sagamihara Public Elementary School,Public Elementary School,Kanagawa,Sagamihara,2014-10-06,Active
SCH00237,CLI0144,Haruka Kawasaki English School,English School,Kanagawa,Kawasaki,1984-12-13,Active
SCH00238,CLI0145,Asahi Warabi High School,High School,Saitama,Warabi,1983-09-25,Active
SCH00239,CLI0145,Haruka Kashiwa English School,English School,Chiba,Kashiwa,1991-09-09,Active
SCH00240,CLI0146,Haruka Koganei Public Elementary School,Public Elementary School,Tokyo,Koganei,1991-12-13,Active
SCH00241,CLI0147,Asahi Soka Education Center,Education Center,Saitama,Soka,2019-04-22,Active
SCH00242,CLI0147,Hikari Hachioji Public Junior High School,Public Junior High School,Tokyo,Hachioji,1997-08-24,Active
SCH00243,CLI0148,Haruka Yamato Kindergarten,Kindergarten,Kanagawa,Yamato,1994-09-25,Active
SCH00244,CLI0149,Sakura Yamato Kindergarten,Kindergarten,Kanagawa,Yamato,2005-01-22,Active
SCH00245,CLI0150,Seiwa Nerima Kindergarten,Kindergarten,Tokyo,Nerima,1995-10-24,Active
SCH00246,CLI0150,Asahi Sagamihara Kindergarten,Kindergarten,Kanagawa,Sagamihara,1980-05-14,Active
SCH00247,CLI0151,Haruka Toda Kindergarten,Kindergarten,Saitama,Toda,2021-03-04,Active
SCH00248,CLI0151,Sakura Fujisawa Education Center,Education Center,Kanagawa,Fujisawa,1990-01-02,Active
SCH00249,CLI0152,Asahi Sagamihara English School,English School,Kanagawa,Sagamihara,1994-06-18,Active
SCH00250,CLI0152,Mirai Kawasaki Kindergarten,Kindergarten,Kanagawa,Kawasaki,2015-06-22,Inactive
SCH00251,CLI0153,Mirai Matsudo Public Junior High School,Public Junior High School,Chiba,Matsudo,2005-06-18,Active
SCH00252,CLI0154,Koyo Katsushika Public Junior High School,Public Junior High School,Tokyo,Katsushika,1981-11-13,Active
SCH00253,CLI0155,Seiwa Matsudo Kindergarten,Kindergarten,Chiba,Matsudo,2007-09-07,Active
SCH00254,CLI0155,Midori Kawaguchi Private School,Private School,Saitama,Kawaguchi,2008-02-09,Inactive
SCH00255,CLI0156,Mirai Urayasu English School,English School,Chiba,Urayasu,2014-05-28,Active
SCH00256,CLI0156,Hikari Koganei High School,High School,Tokyo,Koganei,2021-03-01,Active
SCH00257,CLI0157,Tsubaki Fujisawa English School,English School,Kanagawa,Fujisawa,1997-10-26,Active
SCH00258,CLI0157,Koyo Koganei Public Junior High School,Public Junior High School,Tokyo,Koganei,2003-05-07,Active
SCH00259,CLI0158,Koyo Fujisawa Public Elementary School,Public Elementary School,Kanagawa,Fujisawa,2005-06-28,Active
SCH00260,CLI0158,Seiwa Saitama Public Junior High School,Public Junior High School,Saitama,Saitama,1988-11-26,Active
