attendance_id,employee_id,assignment_id,attendance_date,attendance_status,absence_reason,approved_flag
ATD0000043,DUD100004,ASG000005,2021-11-25,Present,,True
ATD0000044,DUD100004,ASG000005,2022-01-03,Present,,True
ATD0000045,DUD100004,ASG000005,2022-02-12,Present,,True
ATD0000046,DUD100004,ASG000005,2022-03-31,Absent,Personal Reasons,True
ATD0000047,DUD100004,ASG000005,2022-04-05,Present,,True
ATD0000048,DUD100004,ASG000005,2022-05-01,Present,,True
ATD0000049,DUD100004,ASG000005,2022-05-03,Present,,True
ATD0000050,DUD100004,ASG000005,2022-07-07,Present,,True
ATD0000051,DUD100004,ASG000005,2022-09-17,Present,,True
ATD0000052,DUD100005,ASG000006,2023-02-02,Present,,True
ATD0000053,DUD100005,ASG000006,2023-02-21,Sick Leave,Illness,True
ATD0000054,DUD100005,ASG000006,2023-03-19,Present,,True
ATD0000055,DUD100005,ASG000006,2023-05-01,Present,,True
ATD0000056,DUD100005,ASG000006,2023-05-16,Absent,Unreported Absence,False
ATD0000057,DUD100005,ASG000006,2023-06-07,Present,,True
ATD0000058,DUD100005,ASG000006,2023-09-30,Present,,True
ATD0000059,DUD100005,ASG000006,2023-10-13,Present,,True
ATD0000060,DUD100005,ASG000006,2023-11-09,Present,,True
ATD0000061,DUD100005,ASG000006,2023-11-28,Present,,True
ATD0000062,DUD100005,ASG000006,2023-12-22,Present,,True
ATD0000063,DUD100006,ASG000007,2023-07-31,Present,,True
ATD0000064,DUD100006,ASG000007,2023-12-16,Absent,Personal Reasons,True
ATD0000065,DUD100006,ASG000007,2024-12-18,Present,,True
ATD0000066,DUD100006,ASG000007,2025-04-04,Present,,True
ATD0000067,DUD100006,ASG000007,2025-06-03,Present,,True
ATD0000068,DUD100006,ASG000007,2025-06-19,Present,,True
ATD0000069,DUD100006,ASG000007,2025-08-23,Present,,True
ATD0000070,DUD100006,ASG000007,2025-10-26,Present,,True
ATD0000071,DUD100006,ASG000007,2025-10-27,Present,,True
ATD0000072,DUD100006,ASG000007,2025-10-29,Absent,Transportation Issue,True
ATD0000073,DUD100006,ASG000007,2025-11-21,Present,,True
ATD0000074,DUD100006,ASG000007,2026-07-06,Present,,True
ATD0000075,DUD100007,ASG000008,2025-09-11,Present,,True
ATD0000076,DUD100007,ASG000008,2025-09-19,Present,,True
ATD0000077,DUD100007,ASG000008,2025-10-05,Present,,True
ATD0000078,DUD100007,ASG000008,2025-11-07,Present,,True
ATD0000079,DUD100007,ASG000008,2025-11-19,Absent,Unreported Absence,False
ATD0000080,DUD100007,ASG000008,2026-05-02,Present,,True
ATD0000081,DUD100007,ASG000008,2026-08-27,Present,,True
ATD0000082,DUD100007,ASG000008,2026-10-20,Present,,True
ATD0000083,DUD100007,ASG000008,2026-11-02,Present,,True
ATD0000084,DUD100007,ASG000008,2026-11-09,Present,,True
ATD0000085,DUD100007,ASG000008,2026-11-27,Present,,True
ATD0000086,DUD100007,ASG000008,2027-01-27,Present,,True
ATD0000087,DUD100007,ASG000009,2027-03-07,Paid Leave,Annual Leave,True
ATD0000088,DUD100007,ASG000009,2027-03-25,Present,,True
ATD0000089,DUD100007,ASG000009,2027-04-26,Present,,True
ATD0000090,DUD100007,ASG000009,2027-05-17,Present,,True
ATD0000091,DUD100007,ASG000009,2027-05-31,Present,,True
ATD0000092,DUD100007,ASG000009,2027-06-16,Present,,True
ATD0000093,DUD100007,ASG000009,2027-08-07,Present,,True
ATD0000094,DUD100007,ASG000009,2027-10-09,Present,,True
ATD0000095,DUD100007,ASG000009,2027-12-18,Present,,True
ATD0000096,DUD100007,ASG000009,2028-01-03,Present,,True
ATD0000097,DUD100007,ASG000009,2028-06-18,Present,,True
ATD0000098,DUD100007,ASG000009,2028-07-25,Present,,True
ATD0000099,DUD100007,ASG000010,2028-08-20,Present,,True
ATD0000100,DUD100008,ASG000011,2025-01-31,Present,,True
ATD0000101,DUD100008,ASG000011,2025-04-19,Present,,True
ATD0000102,DUD100008,ASG000011,2025-05-27,Present,,True
ATD0000103,DUD100008,ASG000011,2025-07-13,Sick Leave,Illness,True
ATD0000104,DUD100008,ASG000011,2025-08-09,Present,,True
ATD0000105,DUD100008,ASG000011,2025-10-28,Present,,True
ATD0000106,DUD100008,ASG000011,2025-11-09,Present,,True
ATD0000107,DUD100008,ASG000011,2025-12-13,Paid Leave,Annual Leave,True
ATD0000108,DUD100008,ASG000011,2026-02-11,Present,,True
ATD0000109,DUD100008,ASG000011,2026-05-02,Present,,True
ATD0000110,DUD100008,ASG000011,2026-05-12,Present,,True
ATD0000111,DUD100008,ASG000011,2026-08-12,Absent,Unreported Absence,False
ATD0000112,DUD100009,ASG000012,2023-09-29,Present,,True
ATD0000113,DUD100009,ASG000012,2023-12-05,Present,,True
ATD0000114,DUD100009,ASG000012,2023-12-22,Present,,True
ATD0000115,DUD100009,ASG000012,2023-12-23,Present,,True
ATD0000116,DUD100009,ASG000012,2024-01-09,Present,,True
ATD0000117,DUD100009,ASG000012,2024-02-04,Present,,True
ATD0000118,DUD100009,ASG000012,2024-03-29,Present,,True
ATD0000119,DUD100009,ASG000012,2024-04-09,Present,,True
ATD0000120,DUD100009,ASG000012,2024-06-04,Present,,True
ATD0000121,DUD100009,ASG000012,2024-07-12,Present,,True
ATD0000122,DUD100009,ASG000012,2024-08-04,Present,,True
ATD0000123,DUD100009,ASG000012,2024-09-06,Absent,Personal Reasons,True
ATD0000124,DUD100010,ASG000013,2023-07-09,Present,,True
ATD0000125,DUD100010,ASG000013,2023-08-09,Present,,True
ATD0000126,DUD100010,ASG000013,2023-10-24,Present,,True
ATD0000127,DUD100010,ASG000013,2023-11-07,Sick Leave,Illness,True
ATD0000128,DUD100010,ASG000013,2024-08-27,Present,,True
ATD0000129,DUD100010,ASG000013,2024-10-16,Present,,True
ATD0000130,DUD100010,ASG000013,2024-11-06,Present,,True
ATD0000131,DUD100010,ASG000013,2025-05-06,Present,,True
ATD0000132,DUD100010,ASG000013,2025-08-08,Present,,True
ATD0000133,DUD100010,ASG000013,2025-10-16,Sick Leave,Illness,True
ATD0000134,DUD100010,ASG000013,2026-02-25,Present,,True
ATD0000135,DUD100010,ASG000013,2026-05-29,Sick Leave,Illness,True
ATD0000136,DUD100011,ASG000014,2025-10-22,Absent,Transportation Issue,True
ATD0000137,DUD100011,ASG000014,2025-12-06,Present,,True
ATD0000138,DUD100011,ASG000014,2026-01-03,Present,,True
ATD0000139,DUD100011,ASG000014,2026-03-12,Present,,True
ATD0000140,DUD100011,ASG000014,2026-03-17,Present,,True
ATD0000141,DUD100011,ASG000014,2026-03-23,Present,,True
ATD0000142,DUD100011,ASG000014,2026-03-24,Present,,True
ATD0000143,DUD100011,ASG000014,2026-03-30,Present,,True
ATD0000144,DUD100011,ASG000014,2026-05-14,Present,,True
ATD0000145,DUD100011,ASG000014,2026-08-17,Present,,True
ATD0000146,DUD100012,ASG000015,2024-12-12,Present,,True
ATD0000147,DUD100012,ASG000015,2025-01-20,Present,,True
ATD0000148,DUD100012,ASG000015,2025-01-29,Present,,True
ATD0000149,DUD100012,ASG000015,2025-02-24,Absent,Unreported Absence,False
ATD0000150,DUD100012,ASG000015,2025-05-26,Present,,True
ATD0000151,DUD100012,ASG000015,2025-06-30,Sick Leave,Illness,True
ATD0000152,DUD100012,ASG000015,2025-08-22,Present,,True
ATD0000153,DUD100012,ASG000015,2025-10-22,Present,,True
ATD0000154,DUD100012,ASG000015,2026-01-29,Present,,True
ATD0000155,DUD100012,ASG000015,2026-06-19,Present,,True
ATD0000156,DUD100012,ASG000015,2026-06-21,Present,,True
ATD0000157,DUD100012,ASG000015,2026-08-03,Present,,True
ATD0000158,DUD100013,ASG000016,2022-07-23,Absent,Personal Reasons,True
ATD0000159,DUD100013,ASG000016,2022-09-27,Present,,True
ATD0000160,DUD100013,ASG000016,2022-10-17,Paid Leave,Annual Leave,True
ATD0000161,DUD100013,ASG000016,2022-11-14,Present,,True
ATD0000162,DUD100013,ASG000016,2022-11-18,Present,,True
ATD0000163,DUD100013,ASG000016,2022-11-25,Present,,True
ATD0000164,DUD100013,ASG000016,2022-12-11,Present,,True
ATD0000165,DUD100013,ASG000016,2022-12-15,Present,,True
ATD0000166,DUD100013,ASG000016,2023-03-14,Sick Leave,Illness,True
ATD0000167,DUD100013,ASG000017,2023-07-30,Present,,True
ATD0000168,DUD100013,ASG000017,2023-08-15,Present,,True
ATD0000169,DUD100013,ASG000017,2023-08-26,Present,,True
ATD0000170,DUD100013,ASG000017,2023-11-08,Present,,True
ATD0000171,DUD100013,ASG000017,2023-11-20,Present,,True
ATD0000172,DUD100013,ASG000017,2023-11-21,Present,,True
ATD0000173,DUD100013,ASG000017,2023-12-14,Present,,True
ATD0000174,DUD100014,ASG000018,2026-04-03,Present,,True
ATD0000175,DUD100014,ASG000018,2026-04-08,Present,,True
ATD0000176,DUD100014,ASG000018,2026-07-02,Present,,True
ATD0000177,DUD100014,ASG000018,2026-08-09,Present,,True
ATD0000178,DUD100014,ASG000018,2026-10-13,Present,,True
ATD0000179,DUD100014,ASG000018,2026-10-24,Present,,True
ATD0000180,DUD100014,ASG000018,2026-10-31,Present,,True
ATD0000181,DUD100014,ASG000018,2026-11-02,Present,,True
ATD0000182,DUD100014,ASG000018,2026-11-14,Present,,True
ATD0000183,DUD100014,ASG000018,2027-01-03,Sick Leave,Illness,True
ATD0000184,DUD100014,ASG000018,2027-01-11,Present,,True
ATD0000185,DUD100014,ASG000018,2027-02-16,Present,,True
ATD0000186,DUD100014,ASG000019,2027-08-23,Present,,True
ATD0000187,DUD100014,ASG000019,2027-09-18,Present,,True
ATD0000188,DUD100014,ASG000019,2027-10-14,Present,,True
ATD0000189,DUD100014,ASG000019,2027-11-02,Present,,True
ATD0000190,DUD100014,ASG000019,2027-11-30,Absent,Personal Reasons,True
ATD0000191,DUD100014,ASG000019,2028-01-30,Sick Leave,Illness,True
ATD0000192,DUD100014,ASG000019,2028-02-28,Present,,True
ATD0000193,DUD100014,ASG000019,2028-03-13,Present,,True
ATD0000194,DUD100014,ASG000019,2028-04-10,Present,,True
ATD0000195,DUD100014,ASG000019,2028-05-02,Present,,True
ATD0000196,DUD100014,ASG000019,2028-05-26,Present,,True
ATD0000197,DUD100014,ASG000019,2028-06-03,Present,,True
ATD0000198,DUD100015,ASG000020,2022-02-14,Sick Leave,Illness,True
ATD0000199,DUD100015,ASG000020,2022-02-17,Present,,True
ATD0000200,DUD100015,ASG000020,2022-04-03,Present,,True
ATD0000201,DUD100015,ASG000020,2022-04-19,Present,,True
ATD0000202,DUD100015,ASG000020,2022-05-03,Present,,True
ATD0000203,DUD100015,ASG000020,2022-05-08,Present,,True
ATD0000204,DUD100015,ASG000020,2022-05-27,Present,,True
ATD0000205,DUD100015,ASG000020,2022-06-01,Present,,True
ATD0000206,DUD100015,ASG000020,2022-06-11,Present,,True
ATD0000207,DUD100015,ASG000020,2022-10-05,Present,,True
ATD0000208,DUD100015,ASG000020,2022-10-06,Present,,True
ATD0000209,DUD100015,ASG000020,2022-10-12,Present,,True
ATD0000210,DUD100015,ASG000021,2022-11-26,Present,,True
ATD0000211,DUD100015,ASG000021,2023-02-02,Present,,True
ATD0000212,DUD100015,ASG000021,2023-02-13,Absent,Unreported Absence,False
ATD0000213,DUD100015,ASG000021,2023-02-23,Present,,True
ATD0000214,DUD100015,ASG000021,2023-03-13,Present,,True
ATD0000215,DUD100015,ASG000021,2023-03-23,Present,,True
ATD0000216,DUD100015,ASG000021,2023-04-06,Paid Leave,Annual Leave,True
ATD0000217,DUD100015,ASG000021,2023-04-30,Absent,Unreported Absence,False
ATD0000218,DUD100015,ASG000021,2023-05-10,Present,,True
ATD0000219,DUD100015,ASG000021,2023-09-12,Present,,True
ATD0000220,DUD100015,ASG000021,2023-10-01,Present,,True
ATD0000221,DUD100015,ASG000021,2023-10-14,Present,,True
ATD0000222,DUD100016,ASG000022,2022-03-31,Present,,True
ATD0000223,DUD100016,ASG000022,2022-04-11,Present,,True
ATD0000224,DUD100016,ASG000022,2022-05-14,Present,,True
ATD0000225,DUD100016,ASG000022,2022-06-13,Present,,True
ATD0000226,DUD100016,ASG000022,2022-08-23,Sick Leave,Illness,True
ATD0000227,DUD100016,ASG000022,2022-09-26,Present,,True
ATD0000228,DUD100016,ASG000022,2022-10-10,Sick Leave,Illness,True
ATD0000229,DUD100016,ASG000022,2022-10-15,Present,,True
ATD0000230,DUD100016,ASG000022,2022-10-22,Present,,True
ATD0000231,DUD100016,ASG000023,2023-02-25,Present,,True
ATD0000232,DUD100016,ASG000023,2023-03-16,Present,,True
ATD0000233,DUD100016,ASG000023,2023-05-31,Sick Leave,Illness,True
ATD0000234,DUD100016,ASG000023,2024-01-14,Present,,True
ATD0000235,DUD100016,ASG000023,2024-02-22,Paid Leave,Annual Leave,True
ATD0000236,DUD100016,ASG000023,2024-06-12,Present,,True
ATD0000237,DUD100016,ASG000023,2024-08-23,Present,,True
ATD0000238,DUD100016,ASG000023,2025-09-19,Present,,True
ATD0000239,DUD100016,ASG000023,2026-01-27,Present,,True
ATD0000240,DUD100016,ASG000023,2026-03-18,Present,,True
ATD0000241,DUD100016,ASG000023,2026-05-06,Present,,True
ATD0000242,DUD100016,ASG000023,2026-06-18,Present,,True
ATD0000243,DUD100017,ASG000024,2023-10-30,Present,,True
ATD0000244,DUD100017,ASG000024,2024-02-12,Present,,True
ATD0000245,DUD100017,ASG000024,2024-03-21,Present,,True
ATD0000246,DUD100017,ASG000024,2024-11-02,Paid Leave,Annual Leave,True
ATD0000247,DUD100017,ASG000024,2024-12-02,Present,,True
ATD0000248,DUD100017,ASG000024,2024-12-05,Present,,True
ATD0000249,DUD100017,ASG000024,2025-02-09,Present,,True
ATD0000250,DUD100017,ASG000024,2025-04-10,Absent,Personal Reasons,True
ATD0000251,DUD100017,ASG000024,2025-08-28,Present,,True
ATD0000252,DUD100017,ASG000024,2025-10-07,Absent,Transportation Issue,True
ATD0000253,DUD100017,ASG000024,2026-01-28,Present,,True
ATD0000254,DUD100017,ASG000024,2026-05-15,Paid Leave,Annual Leave,True
ATD0000255,DUD100018,ASG000025,2025-07-14,Paid Leave,Annual Leave,True
ATD0000256,DUD100018,ASG000025,2025-08-05,Paid Leave,Annual Leave,True
ATD0000257,DUD100018,ASG000025,2025-09-20,Present,,True
ATD0000258,DUD100018,ASG000025,2025-10-06,Present,,True
ATD0000259,DUD100018,ASG000025,2025-11-23,Present,,True
ATD0000260,DUD100018,ASG000025,2025-12-06,Present,,True
ATD0000261,DUD100018,ASG000025,2025-12-12,Present,,True
ATD0000262,DUD100018,ASG000025,2026-02-22,Present,,True
ATD0000263,DUD100018,ASG000025,2026-03-04,Present,,True
ATD0000264,DUD100018,ASG000025,2026-05-21,Present,,True
ATD0000265,DUD100018,ASG000025,2026-06-13,Present,,True
ATD0000266,DUD100018,ASG000025,2026-08-05,Present,,True
ATD0000267,DUD100019,ASG000026,2022-08-16,Present,,True
ATD0000268,DUD100019,ASG000026,2022-09-10,Present,,True
ATD0000269,DUD100019,ASG000026,2022-11-09,Present,,True
ATD0000270,DUD100019,ASG000026,2022-11-21,Absent,Transportation Issue,True
ATD0000271,DUD100019,ASG000026,2022-12-23,Present,,True
ATD0000272,DUD100019,ASG000026,2023-02-07,Present,,True
ATD0000273,DUD100019,ASG000026,2023-02-12,Absent,Unreported Absence,False
ATD0000274,DUD100019,ASG000026,2023-04-12,Present,,True
ATD0000275,DUD100019,ASG000026,2023-04-29,Present,,True
ATD0000276,DUD100019,ASG000026,2023-05-22,Present,,True
ATD0000277,DUD100019,ASG000026,2023-06-05,Present,,True
ATD0000278,DUD100019,ASG000026,2023-09-07,Present,,True
ATD0000279,DUD100019,ASG000027,2024-02-06,Present,,True
ATD0000280,DUD100019,ASG000027,2024-05-07,Present,,True
ATD0000281,DUD100019,ASG000027,2024-05-08,Paid Leave,Annual Leave,True
ATD0000282,DUD100019,ASG000027,2024-11-17,Present,,True
ATD0000283,DUD100019,ASG000027,2025-02-05,Present,,True
ATD0000284,DUD100019,ASG000027,2025-07-27,Present,,True
ATD0000285,DUD100019,ASG000027,2025-07-29,Present,,True
ATD0000286,DUD100019,ASG000027,2025-08-14,Present,,True
ATD0000287,DUD100019,ASG000027,2025-08-25,Paid Leave,Annual Leave,True
ATD0000288,DUD100019,ASG000027,2026-03-02,Present,,True
ATD0000289,DUD100019,ASG000027,2026-05-23,Absent,Transportation Issue,True
ATD0000290,DUD100019,ASG000027,2026-08-14,Paid Leave,Annual Leave,True
ATD0000291,DUD100020,ASG000028,2023-02-11,Paid Leave,Annual Leave,True
ATD0000292,DUD100020,ASG000028,2023-03-07,Absent,Unreported Absence,False
ATD0000293,DUD100020,ASG000028,2023-05-28,Present,,True
ATD0000294,DUD100020,ASG000028,2023-06-15,Present,,True
ATD0000295,DUD100020,ASG000028,2023-08-14,Present,,True
ATD0000296,DUD100020,ASG000028,2023-10-06,Present,,True
ATD0000297,DUD100020,ASG000028,2023-11-07,Sick Leave,Illness,True
ATD0000298,DUD100020,ASG000028,2023-11-22,Present,,True
ATD0000299,DUD100020,ASG000028,2023-12-05,Present,,True
ATD0000300,DUD100020,ASG000028,2024-01-14,Present,,True
ATD0000301,DUD100020,ASG000028,2024-01-22,Present,,True
ATD0000302,DUD100020,ASG000028,2024-02-01,Present,,True
ATD0000303,DUD100020,ASG000029,2024-06-29,Present,,True
ATD0000304,DUD100020,ASG000029,2024-07-14,Present,,True
ATD0000305,DUD100020,ASG000029,2024-07-26,Present,,True
ATD0000306,DUD100020,ASG000029,2024-10-16,Present,,True
ATD0000307,DUD100020,ASG000029,2025-01-05,Present,,True
ATD0000308,DUD100020,ASG000029,2025-04-07,Present,,True
ATD0000309,DUD100020,ASG000029,2026-01-12,Sick Leave,Illness,True
ATD0000310,DUD100020,ASG000029,2026-02-15,Present,,True
ATD0000311,DUD100020,ASG000029,2026-02-23,Present,,True
ATD0000312,DUD100020,ASG000029,2026-02-27,Present,,True
ATD0000313,DUD100020,ASG000029,2026-05-25,Present,,True
ATD0000314,DUD100020,ASG000029,2026-06-01,Present,,True
ATD0000315,DUD100021,ASG000030,2025-04-26,Present,,True
ATD0000316,DUD100021,ASG000030,2025-05-04,Present,,True
ATD0000317,DUD100021,ASG000030,2025-06-10,Present,,True
ATD0000318,DUD100021,ASG000030,2025-07-05,Absent,Unreported Absence,False
ATD0000319,DUD100021,ASG000030,2025-07-11,Present,,True
ATD0000320,DUD100021,ASG000030,2025-08-25,Present,,True
ATD0000321,DUD100021,ASG000030,2025-10-10,Present,,True
ATD0000322,DUD100021,ASG000030,2025-12-07,Present,,True
ATD0000323,DUD100021,ASG000030,2026-01-24,Paid Leave,Annual Leave,True
ATD0000324,DUD100021,ASG000030,2026-03-13,Present,,True
ATD0000325,DUD100021,ASG000030,2026-05-17,Paid Leave,Annual Leave,True
ATD0000326,DUD100021,ASG000030,2026-06-29,Paid Leave,Annual Leave,True
ATD0000327,DUD100021,ASG000031,2026-08-05,Present,,True
ATD0000328,DUD100021,ASG000031,2026-08-10,Present,,True
ATD0000329,DUD100021,ASG000031,2026-08-13,Present,,True
ATD0000330,DUD100022,ASG000032,2025-05-01,Present,,True
ATD0000331,DUD100022,ASG000032,2025-05-22,Present,,True
ATD0000332,DUD100022,ASG000032,2025-07-24,Present,,True
ATD0000333,DUD100022,ASG000032,2025-09-09,Present,,True
ATD0000334,DUD100022,ASG000032,2025-09-18,Present,,True
ATD0000335,DUD100023,ASG000033,2025-08-19,Present,,True
ATD0000336,DUD100023,ASG000033,2025-09-01,Present,,True
ATD0000337,DUD100023,ASG000033,2025-10-28,Present,,True
ATD0000338,DUD100023,ASG000033,2025-11-03,Paid Leave,Annual Leave,True
ATD0000339,DUD100023,ASG000033,2025-11-05,Present,,True
ATD0000340,DUD100023,ASG000033,2025-11-11,Present,,True
ATD0000341,DUD100023,ASG000033,2025-12-02,Present,,True
ATD0000342,DUD100023,ASG000033,2026-02-17,Present,,True
ATD0000343,DUD100023,ASG000033,2026-03-28,Sick Leave,Illness,True
ATD0000344,DUD100023,ASG000033,2026-04-14,Sick Leave,Illness,True
ATD0000345,DUD100023,ASG000033,2026-05-11,Present,,True
ATD0000346,DUD100023,ASG000033,2026-06-08,Present,,True
ATD0000347,DUD100024,ASG000034,2022-07-19,Present,,True
ATD0000348,DUD100024,ASG000034,2022-12-12,Present,,True
ATD0000349,DUD100024,ASG000034,2023-07-04,Present,,True
ATD0000350,DUD100024,ASG000034,2023-09-30,Present,,True
ATD0000351,DUD100024,ASG000034,2023-10-22,Present,,True
ATD0000352,DUD100024,ASG000034,2024-07-13,Present,,True
ATD0000353,DUD100024,ASG000034,2024-10-01,Present,,True
ATD0000354,DUD100024,ASG000034,2025-02-18,Absent,Transportation Issue,True
ATD0000355,DUD100024,ASG000034,2025-05-28,Present,,True
ATD0000356,DUD100024,ASG000034,2025-08-21,Present,,True
ATD0000357,DUD100024,ASG000034,2025-09-21,Present,,True
ATD0000358,DUD100024,ASG000034,2026-07-12,Absent,Personal Reasons,True
ATD0000359,DUD100025,ASG000035,2023-02-01,Present,,True
ATD0000360,DUD100025,ASG000035,2023-08-19,Present,,True
ATD0000361,DUD100025,ASG000035,2023-09-09,Present,,True
ATD0000362,DUD100025,ASG000035,2024-04-13,Sick Leave,Illness,True
ATD0000363,DUD100025,ASG000035,2024-09-09,Present,,True
ATD0000364,DUD100025,ASG000035,2024-10-15,Present,,True
ATD0000365,DUD100025,ASG000035,2025-03-07,Paid Leave,Annual Leave,True
ATD0000366,DUD100025,ASG000035,2025-04-12,Present,,True
ATD0000367,DUD100025,ASG000035,2025-06-05,Present,,True
ATD0000368,DUD100025,ASG000035,2025-11-25,Present,,True
ATD0000369,DUD100025,ASG000035,2026-01-26,Present,,True
ATD0000370,DUD100025,ASG000035,2026-03-03,Absent,Personal Reasons,True
ATD0000371,DUD100026,ASG000036,2022-11-21,Present,,True
ATD0000372,DUD100026,ASG000036,2022-12-17,Present,,True
ATD0000373,DUD100026,ASG000036,2023-01-19,Present,,True
ATD0000374,DUD100026,ASG000037,2023-03-16,Present,,True
ATD0000375,DUD100026,ASG000037,2023-04-23,Present,,True
ATD0000376,DUD100026,ASG000037,2023-04-26,Present,,True
ATD0000377,DUD100026,ASG000037,2023-04-30,Present,,True
ATD0000378,DUD100026,ASG000037,2023-06-06,Present,,True
ATD0000379,DUD100026,ASG000037,2023-06-09,Present,,True
ATD0000380,DUD100026,ASG000037,2023-07-17,Present,,True
ATD0000381,DUD100026,ASG000037,2023-08-26,Present,,True
ATD0000382,DUD100026,ASG000037,2023-10-11,Present,,True
ATD0000383,DUD100026,ASG000037,2023-10-18,Present,,True
ATD0000384,DUD100026,ASG000037,2023-10-22,Absent,Transportation Issue,True
ATD0000385,DUD100026,ASG000037,2023-12-30,Present,,True
ATD0000386,DUD100027,ASG000038,2024-04-21,Present,,True
ATD0000387,DUD100027,ASG000038,2024-05-21,Present,,True
ATD0000388,DUD100027,ASG000038,2024-05-25,Present,,True
ATD0000389,DUD100027,ASG000038,2024-07-03,Present,,True
ATD0000390,DUD100027,ASG000038,2024-08-04,Paid Leave,Annual Leave,True
ATD0000391,DUD100028,ASG000039,2025-10-14,Paid Leave,Annual Leave,True
ATD0000392,DUD100028,ASG000039,2026-01-05,Present,,True
ATD0000393,DUD100028,ASG000039,2026-02-12,Present,,True
ATD0000394,DUD100028,ASG000039,2026-02-22,Sick Leave,Illness,True
ATD0000395,DUD100028,ASG000039,2026-02-28,Present,,True
ATD0000396,DUD100028,ASG000040,2026-05-01,Present,,True
ATD0000397,DUD100028,ASG000040,2026-05-04,Sick Leave,Illness,True
ATD0000398,DUD100028,ASG000040,2026-05-31,Present,,True
ATD0000399,DUD100028,ASG000040,2026-07-11,Absent,Personal Reasons,True
ATD0000400,DUD100028,ASG000040,2026-07-21,Present,,True
ATD0000401,DUD100028,ASG000040,2026-12-16,Present,,True
ATD0000402,DUD100028,ASG000040,2026-12-22,Present,,True
ATD0000403,DUD100028,ASG000040,2027-02-24,Sick Leave,Illness,True
ATD0000404,DUD100028,ASG000040,2027-03-12,Paid Leave,Annual Leave,True
ATD0000405,DUD100028,ASG000040,2027-03-18,Absent,Personal Reasons,True
ATD0000406,DUD100028,ASG000040,2027-03-30,Present,,True
ATD0000407,DUD100028,ASG000040,2027-05-09,Present,,True
ATD0000408,DUD100028,ASG000041,2027-06-14,Paid Leave,Annual Leave,True
ATD0000409,DUD100029,ASG000042,2025-01-14,Present,,True
ATD0000410,DUD100029,ASG000042,2025-02-11,Absent,Transportation Issue,True
ATD0000411,DUD100029,ASG000042,2025-02-24,Paid Leave,Annual Leave,True
ATD0000412,DUD100029,ASG000042,2025-04-11,Present,,True
ATD0000413,DUD100029,ASG000042,2025-04-26,Present,,True
ATD0000414,DUD100029,ASG000042,2025-06-20,Present,,True
ATD0000415,DUD100029,ASG000042,2025-08-09,Present,,True
