assignment_id,employee_id,client_id,assignment_start_date,assignment_end_date,assignment_status,position,commute_minutes,contract_type,renewal_flag,replacement_flag,assignment_reason
ASG000123,DUD100087,CLI0059,2022-07-29,NULL,Active,ALT / English Teacher,31,Three-Month,0,0,Replacement
ASG000124,DUD100088,CLI0161,2023-04-13,NULL,Active,ALT / English Teacher,117,Annual,0,0,Staffing Demand
ASG000125,DUD100089,CLI0276,2025-08-10,2026-01-12,Completed,Experienced Teacher,108,Three-Month,0,0,Transfer
ASG000126,DUD100089,CLI0286,2026-02-02,NULL,Active,ALT / English Teacher,46,Three-Month,0,0,Staffing Demand
ASG000127,DUD100090,CLI0087,2021-09-12,2022-05-01,Renewed,Experienced Teacher,59,Monthly,0,0,Staffing Demand
ASG000128,DUD100091,CLI0145,2024-03-14,2025-01-13,Renewed,Experienced Teacher,18,Annual,0,0,Transfer
ASG000129,DUD100092,CLI0195,2024-05-19,2025-07-06,Renewed,Senior Teacher,37,Six-Month,0,0,Client Request
ASG000130,DUD100093,CLI0153,2022-02-10,NULL,Active,Trainer,109,Monthly,0,0,Staffing Demand
ASG000131,DUD100094,CLI0110,2021-04-12,2021-08-05,Ended,ALT / English Teacher,100,Annual,0,0,Replacement
ASG000132,DUD100095,CLI0014,2025-08-23,2026-10-20,Completed,ALT / English Teacher,44,Six-Month,0,0,Client Request
ASG000133,DUD100095,CLI0081,2026-11-11,2027-10-08,Renewed,Experienced Teacher,61,Monthly,0,0,Replacement
ASG000134,DUD100096,CLI0134,2022-08-27,2023-07-10,Renewed,Experienced Teacher,107,Monthly,0,0,Initial Assignment
ASG000135,DUD100096,CLI0154,2023-07-29,2023-12-18,Renewed,ALT / English Teacher,89,Three-Month,0,0,Transfer
ASG000136,DUD100096,CLI0215,2024-01-12,NULL,Active,ALT / English Teacher,41,Three-Month,0,0,Staffing Demand
ASG000137,DUD100097,CLI0083,2022-10-19,2023-05-11,Ended,Experienced Teacher,37,Annual,0,0,Initial Assignment
ASG000138,DUD100097,CLI0079,2023-05-23,2024-10-26,Ended,ALT / English Teacher,92,Monthly,0,0,Staffing Demand
ASG000139,DUD100098,CLI0071,2025-12-06,2027-05-06,Ended,ALT / English Teacher,35,Three-Month,0,0,Initial Assignment
ASG000140,DUD100098,CLI0107,2027-05-14,NULL,Active,ALT / English Teacher,60,Annual,0,0,Transfer
ASG000141,DUD100099,CLI0155,2025-02-18,2026-06-19,Ended,ALT / English Teacher,58,Monthly,0,0,Staffing Demand
ASG000142,DUD100099,CLI0087,2026-06-24,2026-10-06,Transferred,ALT / English Teacher,51,Annual,0,0,Initial Assignment
ASG000143,DUD100100,CLI0148,2025-02-19,2025-06-24,Completed,Senior Teacher,62,Six-Month,0,0,Replacement
ASG000144,DUD100101,CLI0254,2025-09-29,NULL,Active,Senior Teacher,118,Annual,0,0,Staffing Demand
ASG000145,DUD100102,CLI0211,2025-08-06,NULL,Active,ALT / English Teacher,51,Monthly,0,0,Transfer
ASG000146,DUD100103,CLI0061,2022-12-30,2023-08-08,Completed,Senior Teacher,72,Six-Month,0,0,Replacement
ASG000147,DUD100103,CLI0011,2023-08-29,2023-12-05,Ended,ALT / English Teacher,45,Six-Month,0,0,Client Request
ASG000148,DUD100104,CLI0158,2024-05-04,2025-10-25,Completed,Experienced Teacher,66,Six-Month,0,0,Initial Assignment
ASG000149,DUD100104,CLI0046,2025-11-21,2027-05-05,Ended,Senior Teacher,116,Six-Month,0,0,Staffing Demand
ASG000150,DUD100104,CLI0007,2027-06-01,2028-03-14,Transferred,Senior Teacher,114,Monthly,0,0,Replacement
ASG000151,DUD100105,CLI0023,2022-03-02,NULL,Active,Experienced Teacher,120,Monthly,0,0,Replacement
ASG000152,DUD100106,CLI0080,2024-02-18,2024-06-27,Ended,ALT / English Teacher,37,Three-Month,0,0,Staffing Demand
ASG000153,DUD100106,CLI0185,2024-07-19,2025-09-16,Renewed,Experienced Teacher,60,Six-Month,0,0,Initial Assignment
ASG000154,DUD100106,CLI0211,2025-09-30,NULL,Active,ALT / English Teacher,33,Monthly,0,0,Staffing Demand
ASG000155,DUD100107,CLI0032,2022-08-08,2023-04-05,Ended,Trainer,113,Three-Month,0,0,Transfer
ASG000156,DUD100107,CLI0083,2023-04-26,NULL,Active,ALT / English Teacher,77,Six-Month,0,0,Client Request
ASG000157,DUD100108,CLI0107,2025-05-16,2025-08-26,Completed,Senior Teacher,51,Monthly,0,0,Replacement
ASG000158,DUD100108,CLI0011,2025-09-02,2025-12-19,Transferred,ALT / English Teacher,16,Three-Month,0,0,Transfer
ASG000159,DUD100109,CLI0273,2023-04-14,2023-08-19,Transferred,Experienced Teacher,52,Annual,0,0,Initial Assignment
ASG000160,DUD100109,CLI0144,2023-09-18,2024-03-15,Renewed,ALT / English Teacher,100,Three-Month,0,0,Staffing Demand
ASG000161,DUD100110,CLI0056,2023-06-09,2024-02-08,Completed,ALT / English Teacher,91,Three-Month,0,0,Staffing Demand
ASG000162,DUD100110,CLI0101,2024-02-09,NULL,Active,ALT / English Teacher,20,Monthly,0,0,Client Request
ASG000163,DUD100111,CLI0069,2021-01-23,2021-05-30,Ended,Senior Teacher,96,Monthly,0,0,Replacement
ASG000164,DUD100111,CLI0147,2021-06-22,NULL,Active,ALT / English Teacher,94,Three-Month,0,0,Client Request
ASG000165,DUD100112,CLI0158,2021-12-24,NULL,Active,ALT / English Teacher,35,Annual,0,0,Staffing Demand
ASG000166,DUD100113,CLI0200,2025-07-18,NULL,Active,Experienced Teacher,71,Annual,0,0,Initial Assignment
ASG000167,DUD100114,CLI0038,2021-12-14,2023-03-20,Ended,ALT / English Teacher,20,Six-Month,0,0,Client Request
ASG000168,DUD100115,CLI0121,2025-03-02,2025-07-12,Ended,ALT / English Teacher,99,Monthly,0,0,Replacement
ASG000169,DUD100115,CLI0046,2025-08-08,NULL,Active,Senior Teacher,98,Six-Month,0,0,Replacement
ASG000170,DUD100116,CLI0023,2022-11-13,2023-03-14,Ended,Experienced Teacher,24,Monthly,0,0,Replacement
ASG000171,DUD100116,CLI0246,2023-04-07,NULL,Active,Senior Teacher,97,Annual,0,0,Transfer
ASG000172,DUD100117,CLI0242,2021-01-10,2022-06-12,Completed,ALT / English Teacher,113,Annual,0,0,Transfer
ASG000173,DUD100118,CLI0115,2021-08-12,NULL,Active,ALT / English Teacher,39,Three-Month,0,0,Client Request
ASG000174,DUD100119,CLI0200,2021-05-28,2022-03-18,Ended,ALT / English Teacher,78,Three-Month,0,0,Client Request
ASG000175,DUD100119,CLI0020,2022-03-23,2023-01-07,Renewed,ALT / English Teacher,92,Three-Month,0,0,Initial Assignment
ASG000176,DUD100119,CLI0271,2023-02-04,NULL,Active,ALT / English Teacher,80,Annual,0,0,Staffing Demand
ASG000177,DUD100120,CLI0078,2025-05-21,2025-10-27,Completed,Experienced Teacher,75,Annual,0,0,Replacement
ASG000178,DUD100120,CLI0092,2025-11-16,2026-07-30,Transferred,Experienced Teacher,83,Annual,0,0,Staffing Demand
ASG000179,DUD100121,CLI0278,2025-01-14,NULL,Active,ALT / English Teacher,104,Six-Month,0,0,Client Request
ASG000180,DUD100122,CLI0150,2023-12-30,NULL,Active,ALT / English Teacher,106,Annual,0,0,Transfer
ASG000181,DUD100123,CLI0223,2021-05-25,2022-01-30,Completed,ALT / English Teacher,34,Three-Month,0,0,Initial Assignment
ASG000182,DUD100123,CLI0268,2022-02-28,NULL,Active,Experienced Teacher,99,Monthly,0,0,Replacement
ASG000183,DUD100124,CLI0125,2024-07-04,2025-03-15,Transferred,Experienced Teacher,33,Six-Month,0,0,Staffing Demand
ASG000184,DUD100125,CLI0246,2023-09-20,2024-03-28,Ended,ALT / English Teacher,58,Annual,0,0,Replacement
ASG000185,DUD100125,CLI0212,2024-04-24,NULL,Active,Experienced Teacher,27,Six-Month,0,0,Replacement
ASG000186,DUD100126,CLI0140,2025-02-27,2025-08-01,Ended,ALT / English Teacher,45,Six-Month,0,0,Transfer
ASG000187,DUD100127,CLI0171,2023-10-04,2024-03-10,Completed,ALT / English Teacher,29,Annual,0,0,Transfer
ASG000188,DUD100128,CLI0297,2024-01-31,NULL,Active,Experienced Teacher,63,Three-Month,0,0,Staffing Demand
ASG000189,DUD100129,CLI0297,2023-08-20,NULL,Active,Experienced Teacher,116,Six-Month,0,0,Client Request
ASG000190,DUD100130,CLI0021,2026-03-11,2027-05-26,Transferred,ALT / English Teacher,116,Three-Month,0,0,Transfer
ASG000191,DUD100131,CLI0061,2023-03-14,NULL,Active,Trainer,48,Annual,0,0,Transfer
ASG000192,DUD100132,CLI0128,2025-06-22,NULL,Active,Experienced Teacher,41,Six-Month,0,0,Replacement
ASG000193,DUD100133,CLI0066,2022-12-13,NULL,Active,ALT / English Teacher,116,Three-Month,0,0,Staffing Demand
ASG000194,DUD100134,CLI0149,2021-07-01,2022-02-12,Ended,Senior Teacher,42,Three-Month,0,0,Initial Assignment
ASG000195,DUD100134,CLI0163,2022-02-16,2023-03-28,Ended,ALT / English Teacher,111,Six-Month,0,0,Client Request
ASG000196,DUD100134,CLI0169,2023-04-25,NULL,Active,Senior Teacher,62,Monthly,0,0,Transfer
ASG000197,DUD100135,CLI0257,2021-10-28,2022-11-06,Transferred,Experienced Teacher,52,Annual,0,0,Replacement
ASG000198,DUD100135,CLI0016,2022-11-20,NULL,Active,ALT / English Teacher,46,Annual,0,0,Transfer
ASG000199,DUD100136,CLI0175,2025-11-13,2026-05-18,Ended,ALT / English Teacher,19,Annual,0,0,Staffing Demand
ASG000200,DUD100136,CLI0244,2026-05-23,2027-08-02,Transferred,ALT / English Teacher,117,Monthly,0,0,Initial Assignment
ASG000201,DUD100137,CLI0006,2025-01-01,2025-09-08,Completed,ALT / English Teacher,69,Monthly,0,0,Initial Assignment
ASG000202,DUD100138,CLI0187,2022-12-01,NULL,Active,Experienced Teacher,97,Monthly,0,0,Initial Assignment
ASG000203,DUD100139,CLI0246,2023-06-05,2024-08-06,Completed,ALT / English Teacher,108,Three-Month,0,0,Staffing Demand
ASG000204,DUD100140,CLI0216,2021-07-09,2022-01-23,Ended,Experienced Teacher,63,Three-Month,0,0,Replacement
ASG000205,DUD100140,CLI0079,2022-01-27,2023-04-04,Transferred,Experienced Teacher,30,Annual,0,0,Replacement
ASG000206,DUD100141,CLI0157,2022-11-23,NULL,Active,Experienced Teacher,31,Six-Month,0,0,Transfer
ASG000207,DUD100142,CLI0171,2025-10-12,NULL,Active,Senior Teacher,109,Three-Month,0,0,Transfer
ASG000208,DUD100143,CLI0039,2021-04-13,NULL,Active,ALT / English Teacher,50,Three-Month,0,0,Transfer
ASG000209,DUD100144,CLI0025,2024-02-19,2025-01-19,Transferred,Experienced Teacher,109,Monthly,0,0,Client Request
ASG000210,DUD100144,CLI0011,2025-01-21,2025-10-04,Renewed,ALT / English Teacher,64,Monthly,0,0,Staffing Demand
ASG000211,DUD100144,CLI0077,2025-10-29,NULL,Active,ALT / English Teacher,88,Annual,0,0,Client Request
ASG000212,DUD100145,CLI0144,2022-08-29,2023-03-20,Renewed,Experienced Teacher,38,Annual,0,0,Client Request
ASG000213,DUD100145,CLI0033,2023-03-31,NULL,Active,ALT / English Teacher,90,Monthly,0,0,Client Request
ASG000214,DUD100146,CLI0257,2021-04-03,NULL,Active,Experienced Teacher,98,Six-Month,0,0,Client Request
ASG000215,DUD100147,CLI0001,2024-08-05,2025-01-26,Renewed,Experienced Teacher,20,Monthly,0,0,Transfer
ASG000216,DUD100148,CLI0268,2021-11-15,2023-03-16,Ended,ALT / English Teacher,66,Annual,0,0,Client Request
ASG000217,DUD100148,CLI0023,2023-03-22,2024-07-31,Completed,Experienced Teacher,63,Six-Month,0,0,Staffing Demand
ASG000218,DUD100149,CLI0174,2021-03-12,2022-09-01,Completed,Senior Teacher,101,Monthly,0,0,Transfer
ASG000219,DUD100149,CLI0097,2022-09-29,2023-05-19,Transferred,ALT / English Teacher,82,Three-Month,0,0,Staffing Demand
ASG000220,DUD100150,CLI0208,2023-06-28,2024-10-26,Ended,Experienced Teacher,116,Six-Month,0,0,Staffing Demand
ASG000221,DUD100150,CLI0015,2024-10-30,2026-02-22,Ended,Experienced Teacher,38,Three-Month,0,0,Initial Assignment
ASG000222,DUD100150,CLI0075,2026-02-28,NULL,Active,ALT / English Teacher,113,Three-Month,0,0,Client Request
ASG000223,DUD100151,CLI0152,2023-05-12,2023-09-26,Ended,ALT / English Teacher,66,Annual,0,0,Initial Assignment
ASG000224,DUD100152,CLI0231,2022-11-25,NULL,Active,Senior Teacher,117,Six-Month,0,0,Replacement
ASG000225,DUD100153,CLI0201,2024-04-02,2025-06-16,Ended,ALT / English Teacher,80,Three-Month,0,0,Client Request
ASG000226,DUD100153,CLI0297,2025-07-16,2026-07-16,Transferred,ALT / English Teacher,41,Annual,0,0,Staffing Demand
